"sample.depths","sample.ages","upland.sum","Cephalanthus","Asteraceae.undiff.","Quercus","Salix","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Polygonaceae","Bursera.simaruba","Justicia","Ambrosia","Fabaceae","Casuarina","Cupressaceae.Taxaceae","Myrica","Carya","Ilex","Iva","Acacia","Vitis","Bumelia"
0.5,-44,98,10,2,8,4,12,34,2,12,2,12,0,0,0,0,0,0,0,0,0,0,0,0
4.5,-2,172,12,2,0,8,22,94,0,26,0,2,6,0,0,0,0,0,0,0,0,0,0,0
9.5,50,216,4,14,4,4,16,108,2,52,0,0,6,2,2,2,0,0,0,0,0,0,0,0
14.5,73,272,22,6,0,10,22,184,0,14,0,4,4,0,4,0,2,0,0,0,0,0,0,0
21,103,136,22,6,0,6,6,88,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0
25,122,392,10,8,2,4,14,278,4,20,0,4,6,4,26,0,0,0,2,2,2,6,0,0
27,131,422,12,6,2,2,6,364,0,14,0,4,6,2,0,0,2,0,0,0,0,0,2,0
31,149,666,0,6,2,0,14,636,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2
35,1472,506,0,10,0,0,94,394,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2133,756,0,4,0,2,20,718,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2
41,3455,660,0,6,0,0,6,638,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3555,620,0,0,0,0,10,604,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3704,1046,0,2,0,0,34,976,2,28,0,0,0,0,2,0,0,2,0,0,0,0,0,0
55,3803,708,0,2,0,0,28,664,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3952,608,0,2,2,0,36,558,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4052,652,0,0,0,0,62,576,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
71,4201,252,0,0,2,0,12,220,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
