"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Betula","Carya","Amaranthaceae.undiff.","Asteraceae.undiff.","Corylus","Cyperaceae","Poaceae.undiff.","Ostrya.Carpinus","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Alnus","Acer","Rosaceae.undiff.","Fraxinus","Juglans","Pinus","Lamiaceae","Rhamnaceae.Vitaceae","Artemisia","Apiaceae","Larix","Polygonum","Rubiaceae","Thalictrum","Caryophyllaceae","Fagus","Platanus","Ranunculaceae.undiff.","Prunus.Sorbus","Rumex","Plantago","Ranunculus","Elaeagnus","Scrophulariaceae","Humulus","Malvaceae","Shepherdia.canadensis","Ephedra","Cornus","Saxifragaceae","Epilobium","Elymus"
20,149,503,2,28,10,3,10,10,9,166,21,4,7,68,7,1,3,2,15,8,2,4,1,2,116,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,269,523,0,25,13,1,7,15,3,218,15,1,4,76,1,0,0,0,11,11,4,0,0,3,94,0,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,473,514,0,36,11,2,10,17,3,189,16,0,11,59,9,0,0,0,4,0,2,0,0,0,125,2,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,686,532,1,21,14,0,14,7,18,144,18,1,3,103,7,0,0,3,7,6,4,0,1,1,133,0,0,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,911,541,0,17,9,1,5,6,1,260,25,1,1,121,7,0,0,1,1,6,1,2,1,0,61,0,0,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1151,571,1,44,22,0,13,15,3,152,42,1,2,134,1,1,0,0,6,12,1,0,2,2,87,0,2,23,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1410,496,0,22,17,1,5,9,4,99,32,3,14,161,3,0,1,0,7,17,0,0,1,2,69,0,0,26,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1691,425,2,30,20,1,5,18,5,19,30,6,3,213,3,1,0,0,11,8,1,0,0,3,24,0,0,19,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1995,410,0,10,33,4,11,18,5,7,30,3,2,208,0,0,3,0,12,7,3,0,1,2,14,0,0,26,0,7,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2319,398,0,16,19,1,8,10,7,7,29,2,1,226,1,0,1,0,8,12,3,0,3,2,14,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2658,411,1,33,14,0,4,9,3,5,24,5,2,217,2,0,0,0,15,17,0,0,3,2,19,1,0,25,1,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,3010,408,0,21,20,3,5,10,4,18,34,1,0,218,4,0,0,0,11,13,5,0,0,2,18,0,0,18,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,3370,445,0,35,20,0,12,7,3,16,47,6,2,218,4,1,0,0,14,12,0,0,1,5,13,0,0,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,3735,509,0,46,9,3,25,13,1,27,68,1,8,204,4,2,1,0,4,11,0,0,0,1,43,0,0,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,4102,517,2,48,10,0,25,20,5,16,65,2,10,208,6,0,1,0,6,5,1,0,1,1,42,1,0,35,1,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
385,4465,478,0,45,9,1,14,8,0,20,55,2,2,234,4,0,0,0,2,10,4,0,1,2,29,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,4823,506,0,36,9,0,30,17,2,27,62,0,15,220,2,0,0,0,3,12,2,0,3,1,31,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,5171,495,0,37,10,0,27,16,0,14,56,0,3,224,8,2,0,0,8,7,1,0,2,1,36,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,5505,510,2,41,7,1,31,12,1,16,58,5,3,220,15,1,1,0,12,5,0,0,4,2,22,0,0,44,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
485,5822,631,0,73,7,5,79,23,1,29,77,4,8,185,3,3,0,0,19,10,1,0,0,1,56,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,6119,574,1,64,8,2,39,17,0,28,70,3,13,187,11,2,3,1,20,10,5,0,4,3,30,0,0,50,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,6391,628,1,59,7,4,111,24,0,24,87,6,9,129,13,1,1,0,20,8,8,0,1,2,51,0,0,60,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
560,6638,507,1,55,9,1,65,11,1,28,81,2,18,84,6,1,0,0,9,5,1,0,7,2,57,0,0,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
585,6861,617,0,63,8,1,101,14,1,18,111,3,14,103,19,0,1,0,27,4,8,0,2,2,52,0,0,62,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
610,7060,585,0,81,18,4,61,14,4,19,119,20,10,85,15,0,2,0,33,7,4,0,2,2,32,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,7237,633,2,84,16,5,72,21,3,18,114,9,8,97,16,0,1,0,49,10,8,0,2,4,40,0,0,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,7392,544,0,65,11,2,44,11,8,22,118,16,8,67,31,0,2,0,23,5,0,0,8,2,31,0,0,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
685,7527,630,0,120,16,4,61,23,5,12,113,10,2,101,7,1,4,0,54,7,7,0,4,4,20,0,0,51,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
710,7642,603,2,86,67,5,39,13,7,16,98,9,13,69,3,0,1,0,44,16,3,0,1,1,60,1,0,47,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,7739,706,0,119,17,5,58,13,5,27,115,11,7,97,7,2,4,0,74,5,6,0,2,3,57,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,7818,646,0,122,8,5,47,13,6,19,149,7,8,68,17,1,3,0,53,1,0,0,2,0,37,1,0,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
770,7845,663,0,193,10,4,36,12,3,3,112,10,1,80,11,0,1,0,58,6,0,0,1,0,22,0,0,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,7869,701,1,70,23,7,88,17,4,13,127,21,4,125,1,1,2,0,43,3,13,0,4,2,47,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,7891,652,0,68,15,5,81,13,3,45,85,18,8,148,5,2,1,0,47,6,9,0,1,2,32,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,7913,523,2,58,29,2,56,8,1,2,60,12,1,129,11,0,1,0,54,6,2,0,2,1,47,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,7936,551,1,53,13,3,53,11,4,24,56,9,8,149,7,1,2,0,51,7,2,0,2,2,42,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,7962,517,1,35,19,5,39,15,2,17,62,15,5,131,4,0,0,0,65,7,4,0,3,2,37,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,7994,559,5,48,23,2,44,6,4,19,72,11,2,125,6,1,2,0,70,9,6,0,4,4,47,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,8034,590,0,56,18,7,34,10,4,22,102,18,11,108,10,2,0,0,53,10,5,0,6,3,46,0,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
850,8083,648,1,76,28,3,59,9,5,46,90,12,4,134,15,0,2,0,55,7,2,0,4,3,25,0,0,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
855,8112,574,0,71,17,4,34,15,1,12,75,12,4,115,12,4,3,0,65,10,6,0,1,1,49,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,8144,526,1,34,14,6,25,2,19,8,81,14,13,112,11,1,1,0,50,11,0,0,8,3,46,1,0,63,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,8179,539,1,59,13,3,31,9,5,13,79,15,5,120,5,4,2,0,72,9,4,0,1,2,44,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,8218,477,1,41,12,1,19,9,2,11,62,8,1,128,6,1,2,0,100,5,1,0,5,4,24,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,8261,467,2,41,24,4,20,9,1,7,59,16,4,113,1,0,3,0,82,1,1,1,4,2,42,0,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
880,8308,483,1,58,18,3,28,6,7,5,49,13,5,101,0,1,4,0,87,6,4,0,1,3,46,0,0,34,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,8360,494,0,55,24,4,13,8,5,11,57,12,7,107,4,0,2,0,86,11,1,0,4,0,33,1,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
890,8416,447,0,37,12,7,15,12,8,6,63,12,9,102,4,3,5,0,82,4,3,0,6,6,39,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,8477,480,1,39,28,4,17,6,2,12,69,8,7,87,3,0,3,0,97,3,2,0,3,3,49,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,8543,463,1,46,23,3,18,6,3,12,51,12,6,83,4,0,1,0,101,2,2,0,3,1,55,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,8615,497,1,48,21,3,17,5,4,14,78,14,11,95,2,0,2,0,76,7,0,0,0,6,57,3,1,29,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
910,8692,477,1,35,19,2,15,3,7,14,67,20,5,113,4,1,3,0,80,7,1,0,3,2,38,0,0,33,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
915,8775,471,2,39,20,5,17,4,11,17,69,24,11,89,5,0,2,0,83,4,1,0,5,2,35,3,2,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,8865,408,2,24,8,8,9,4,1,6,50,11,3,84,4,2,2,0,121,5,3,0,6,5,36,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,8960,443,1,24,21,3,15,4,3,2,78,12,7,87,3,0,3,0,100,4,4,0,3,4,45,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
930,9059,471,0,40,10,5,18,6,3,6,79,9,2,87,6,1,2,0,112,4,7,0,4,3,46,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935,9164,389,1,24,25,5,12,0,6,9,24,20,4,68,4,0,2,0,87,5,0,0,14,1,58,1,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
940,9272,403,5,6,30,5,4,1,13,12,9,12,2,65,4,0,4,0,107,9,2,0,10,2,86,2,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955,9612,346,2,4,19,5,1,5,3,9,15,17,5,46,2,0,3,0,92,9,3,0,6,2,85,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
