"sample.depths","sample.ages","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Ostrya.Carpinus","Picea","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Xanthium","Zea.mays","Alnus","Ambrosia","Populus","Brassicaceae","Plantago","Acer.saccharum","Abies","Corylus","Thalictrum","Fraxinus.nigra","Fraxinus.americana","Cupressaceae","Juglans.nigra","Arceuthobium","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Acer.rubrum","Rosaceae","Sarcobatus.vermiculatus","Iva.annua","Humulus","Pinus.strobus","Pinus.banksiana.P..resinosa","Shepherdia.canadensis"
3,53,0.0231481481481481,0.0601851851851852,0.00462962962962963,0.0185185185185185,0.00462962962962963,0.0509259259259259,0.00462962962962963,0.101851851851852,0.00462962962962963,0.00462962962962963,0.0277777777777778,0.00462962962962963,0.0324074074074074,0.0138888888888889,0.00462962962962963,0.00462962962962963,0.0138888888888889,0.0185185185185185,0.0416666666666667,0.00462962962962963,0.00925925925925926,0.00462962962962963,0.0185185185185185,0.476851851851852,0.00925925925925926,0.00462962962962963,0.0138888888888889,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,235,0,0.0901960784313725,0.0117647058823529,0,0.0549019607843137,0.0901960784313725,0.0901960784313725,0.00392156862745098,0.0431372549019608,0.0392156862745098,0.133333333333333,0.00392156862745098,0.117647058823529,0,0.0509803921568627,0,0.0901960784313725,0,0.0745098039215686,0,0,0,0.0196078431372549,0,0,0,0,0.0509803921568627,0.0117647058823529,0.00392156862745098,0.00392156862745098,0.0117647058823529,0.00392156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,480,0,0.141025641025641,0.00427350427350427,0,0,0.132478632478632,0.106837606837607,0.00427350427350427,0.0170940170940171,0.0213675213675214,0.136752136752137,0,0.0897435897435897,0,0.0128205128205128,0.00427350427350427,0.153846153846154,0,0.0854700854700855,0,0,0,0,0.0128205128205128,0,0,0,0.0555555555555556,0,0.00854700854700855,0,0.00427350427350427,0.00854700854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,724,0,0.115207373271889,0.00460829493087558,0,0.0506912442396313,0,0.115207373271889,0,0.0138248847926267,0.0460829493087558,0.142857142857143,0.00460829493087558,0.129032258064516,0,0,0.00921658986175115,0.138248847926267,0,0.0599078341013825,0,0,0,0.0230414746543779,0.00460829493087558,0,0,0,0.0691244239631336,0.032258064516129,0,0.00460829493087558,0.0184331797235023,0.00921658986175115,0.00460829493087558,0.00460829493087558,0,0,0,0,0,0,0,0,0,0,0,0
40,969,0,0.210526315789474,0.0043859649122807,0.0043859649122807,0.0131578947368421,0.0964912280701754,0.12719298245614,0,0.0131578947368421,0.0175438596491228,0.12719298245614,0,0.0570175438596491,0,0,0,0.0789473684210526,0,0.114035087719298,0,0,0,0.0131578947368421,0,0,0,0,0.087719298245614,0.0043859649122807,0,0,0.0219298245614035,0,0,0,0.0043859649122807,0.0043859649122807,0,0,0,0,0,0,0,0,0,0
50,1213,0,0.145539906103286,0.0140845070422535,0,0.00938967136150235,0.0469483568075117,0.112676056338028,0,0.028169014084507,0.028169014084507,0.0938967136150235,0.00469483568075117,0.122065727699531,0,0,0.0140845070422535,0.112676056338028,0.00469483568075117,0.131455399061033,0,0,0,0,0.00469483568075117,0,0,0,0.0751173708920188,0.0140845070422535,0,0,0.00938967136150235,0.00469483568075117,0,0,0.0187793427230047,0,0.00469483568075117,0,0,0,0,0,0,0,0,0
60,1458,0,0.155,0,0,0,0,0.22,0,0.06,0.035,0.075,0,0.115,0,0,0.01,0.145,0,0.12,0,0,0,0,0,0,0,0,0.015,0.005,0,0,0.01,0.01,0,0,0.01,0,0.015,0,0,0,0,0,0,0,0,0
70,1702,0,0.107843137254902,0,0.00490196078431373,0.00980392156862745,0.00490196078431373,0.0931372549019608,0,0.053921568627451,0.112745098039216,0.191176470588235,0,0.088235294117647,0,0,0.00980392156862745,0.0980392156862745,0.00490196078431373,0.102941176470588,0,0,0,0.00490196078431373,0.00490196078431373,0,0,0,0.0588235294117647,0.0147058823529412,0,0,0.00490196078431373,0.0196078431372549,0,0,0,0,0.00490196078431373,0.00490196078431373,0,0,0,0,0,0,0,0
80,1947,0,0.104477611940299,0.0298507462686567,0,0,0,0.129353233830846,0,0.0199004975124378,0.0497512437810945,0.213930348258706,0,0.054726368159204,0,0,0.0099502487562189,0.124378109452736,0.00497512437810945,0.124378109452736,0,0,0,0.00497512437810945,0,0,0,0,0.0796019900497512,0.0149253731343284,0.00497512437810945,0,0,0.0149253731343284,0,0,0,0.0099502487562189,0,0,0.00497512437810945,0,0,0,0,0,0,0
90,2191,0.00485436893203883,0.0970873786407767,0.0194174757281553,0,0.00485436893203883,0.00485436893203883,0.0825242718446602,0.00485436893203883,0.0339805825242718,0.0339805825242718,0.203883495145631,0.00970873786407767,0.0776699029126214,0,0,0.0145631067961165,0.0533980582524272,0.00485436893203883,0.174757281553398,0,0,0,0.0242718446601942,0.0145631067961165,0,0,0,0.0728155339805825,0.0145631067961165,0,0,0.0145631067961165,0.0194174757281553,0,0,0,0.00485436893203883,0.00970873786407767,0,0,0,0,0,0,0,0,0
100,2435,0,0.131707317073171,0.0097560975609756,0,0.0195121951219512,0,0.097560975609756,0.0146341463414634,0.0292682926829268,0.0390243902439024,0.136585365853659,0.0048780487804878,0.121951219512195,0,0,0.0195121951219512,0.0829268292682927,0.0048780487804878,0.185365853658537,0,0,0,0.0048780487804878,0.0097560975609756,0,0,0,0.0634146341463415,0.0097560975609756,0,0,0.0048780487804878,0.0048780487804878,0,0,0,0.0048780487804878,0,0,0,0,0,0,0,0,0,0
