"sample.depths","sample.ages","Alnus","Amaranthaceae","Ambrosia","Anacardiaceae","Apiaceae","Asteraceae.undiff.","Betula","Bumelia","Bursera.simaruba","Carya","Casuarina","Celtis","Cephalanthus","Cupressaceae.Taxaceae","Cyperaceae","Decodon.verticillatus","Ericaceae","Euphorbiaceae","Fabaceae","Fraxinus","Ilex","Liquidambar","Magnolia","Melastomataceae","Myrica","Nuphar","Nymphaea","Pinus","Poaceae","Polygonaceae","Quercus","Sagittaria","Salix","Thalictrum","Typha","Ulmus","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..triporate.","Unknown.undiff.","Utricularia"
41,1851,0,72,0,0,0,2,0,0,0,0,0,0,0,0,4,0,6,0,2,0,0,0,0,2,14,0,40,50,2,4,8,76,0,0,0,0,0,0,0,0,0
43,1889,0,102,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,10,0,120,44,0,4,4,18,0,0,4,0,0,0,0,2,2
45,1928,0,122,0,0,0,2,0,0,0,2,0,0,0,0,12,0,2,0,2,0,2,0,0,0,0,0,112,116,0,0,8,20,0,0,0,0,0,2,0,2,2
47,1967,0,102,0,0,0,6,0,0,0,0,0,2,0,0,2,0,6,0,0,0,0,0,0,0,8,0,144,72,0,0,8,18,2,0,0,2,0,0,2,0,2
49,2006,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,24,0,0,2,2,0,0,0,0,0,0,0,12,0
51,2044,0,86,0,0,0,2,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,64,68,0,4,0,0,0,0,2,0,0,0,0,0,0
53,2083,0,150,0,0,0,10,0,0,0,2,0,0,0,0,10,0,0,0,4,0,0,0,0,0,10,0,44,100,2,0,22,30,2,0,0,0,0,0,0,2,2
55,2122,0,168,0,0,0,4,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,6,0,22,76,0,2,6,22,0,0,0,0,0,0,0,0,2
57,2161,0,150,0,0,0,10,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,10,0,66,128,6,0,12,12,0,0,0,0,0,0,0,2,4
59,2199,0,272,0,0,0,4,2,0,0,0,0,0,0,2,6,2,0,2,2,0,0,0,0,0,2,0,22,62,2,4,4,8,0,0,0,0,0,0,6,14,4
61,2238,0,288,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,28,78,0,2,18,18,0,0,4,0,0,0,4,14,2
63,NA,0,256,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,34,2,2,4,18,0,0,2,0,0,0,0,4,2
65,NA,0,246,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,38,42,0,0,10,10,0,0,0,0,0,0,0,12,4
67,NA,0,142,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,18,36,4,2,4,18,0,0,0,0,0,0,0,6,0
69,NA,0,206,0,0,0,10,2,0,0,0,0,0,2,0,10,0,0,2,2,0,0,0,0,0,6,0,28,54,0,0,10,10,0,0,4,0,0,2,0,16,0
71,NA,2,160,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,22,34,6,0,8,6,0,0,4,0,0,0,0,6,0
