"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Abies","Ostrya.Carpinus","Carya","Castanea","Celtis","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Fabaceae","Impatiens","Ericaceae","Huperzia.lucidula","Morus","Myrica","Parnassia","Potentilla","Nyssa","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Pediastrum","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.viviparum","Polypodiaceae","Populus","Pinaceae.undiff.","Potamogeton.Triglochin","Pteridium","Quercus","Rosaceae.undiff.","Rumex","Rhamnus","Salix","Selaginella.selaginoides","Sphagnum","Juniperus.Thuja","Tilia","Tsuga","Typha","Typha.Sparganium.undiff.","Ulmus","Apiaceae","Verbena","Viburnum","Vitis","Indeterminable","Unknown","Botrychium.undiff.","Caryophyllaceae","Charcoal","Cerealia","Brassicaceae","Glomus","Spore..trilete.","Urticaceae","Tilletia","Thalictrum","Botrychium.multifidum","Caltha","Rhus","Liquidambar","Eucalyptus.spike..number.counted.","Sample.volume..ml."
6,119,0,0,2,1,76,0,15,0,2,4,0,0,5,2,7,2,0,0,4,0,1,28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,92,0,1,0,3,0,0,0,6,1,0,0,0,1,0,19,34,7,14,1,0,16,0,0,0,0,94,4,0,0,1257,1,0,0,3,0,0,0,0,1,1,0,315,1
10,228,0,0,8,0,118,0,12,0,0,2,0,0,2,4,5,0,0,0,0,0,0,34,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,78,1,0,0,2,0,0,0,6,3,0,0,0,0,0,20,40,9,8,0,0,18,0,0,0,0,123,1,0,0,4081,0,0,0,1,0,0,0,0,0,0,0,515,1
20,501,0,0,17,0,45,1,20,0,0,2,0,0,0,0,6,0,1,0,6,0,0,16,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,10,81,1,1,0,1,0,0,0,1,4,1,0,0,0,0,9,47,8,9,0,0,27,0,0,0,0,88,4,0,0,1294,1,0,0,1,0,0,0,0,0,0,0,616,1
40,1056,1,0,43,4,8,3,20,0,3,1,0,0,0,0,10,0,1,0,15,0,0,2,0,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,64,0,2,0,3,0,0,0,1,4,1,0,0,0,0,0,48,15,8,0,0,62,0,0,0,0,203,2,0,0,489,0,0,0,0,0,0,0,0,0,0,0,707,1
60,1632,2,0,28,4,3,2,39,0,5,3,1,0,1,0,0,4,4,0,37,0,1,3,0,1,0,5,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,2,67,0,4,0,2,0,0,0,3,9,0,0,0,0,0,18,25,12,39,0,1,46,0,0,0,0,168,3,0,0,261,0,0,0,0,0,0,1,0,0,0,0,546,1
80,2240,2,0,28,5,4,1,34,0,2,5,0,0,0,0,3,0,0,0,24,2,2,6,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,86,0,6,0,3,0,0,0,2,7,0,0,0,0,0,3,8,11,30,1,0,33,0,0,0,0,172,1,0,0,376,0,0,0,3,0,0,1,0,0,0,1,945,1
95,2724,1,0,36,4,11,2,13,0,6,8,0,0,0,0,4,0,1,0,7,0,2,6,0,0,0,4,0,0,1,2,1,3,0,0,0,0,0,0,0,1,0,4,90,0,8,0,2,0,0,0,5,5,0,0,0,0,0,4,7,6,31,0,0,53,0,0,0,0,159,1,0,0,583,0,0,0,8,0,0,0,0,0,0,0,1237,1
115,3414,3,0,40,2,7,0,23,0,1,5,3,0,1,0,2,11,27,0,8,0,2,5,0,1,0,3,0,0,2,2,0,1,0,0,0,0,0,0,0,2,0,7,74,0,1,0,0,0,0,1,1,13,0,0,0,0,0,21,89,12,25,0,0,13,0,0,0,0,143,11,1,0,210,0,0,1,2,0,0,0,0,0,0,0,337,0
135,4156,1,0,20,1,7,0,15,0,1,7,2,0,0,1,2,1,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,44,0,1,0,8,0,0,3,1,2,0,0,0,0,0,0,204,8,5,0,0,20,0,0,0,0,147,3,0,0,79,0,0,0,0,0,0,1,0,0,0,0,278,0
155,4899,3,0,17,3,3,0,18,0,3,5,0,0,2,0,1,1,3,0,10,4,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,40,0,1,0,9,0,0,0,0,7,0,0,0,0,0,0,167,9,16,0,0,21,0,0,0,0,132,3,0,0,53,0,0,0,1,0,1,0,0,0,0,0,166,0
