"sample.depths","sample.ages","Abies","Alnus","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Ericaceae","Fagus","Gordonia","Ilex.type","Liquidambar.styraciflua","Liriodendron.tulipifera","Magnolia","Nyssa","Picea","Pinus","Quercus","Rosaceae","Salix","Serenoa","Smilax","Juniperus","Tilia","Toxicodendron","Ulmus","Viburnum.type","cf..Vitis","Apiaceae","Asteraceae","Chenopodiaceae","Cyperaceae","Poaceae","Botrychium","Larix","Lycopodium","Osmunda","Polypodiaceae","Sphagnum","Spore","Indeterminable","Eucalyptus.spike..number.counted.","X.s.Pollen.Sum"
9,102,0,7,0,5,0,4,0,2,6,0,1,17,7,0,6,8,0,183,59,0,3,0,0,1,0,0,0,2,3,0,17,0,0,9,0,0,0,4,0,15,0,4,31,411
25,366,0,2,6,7,0,4,0,13,4,2,1,9,1,0,4,4,0,185,45,4,2,0,0,1,0,0,0,0,9,0,8,0,0,15,0,0,0,9,0,5,0,10,35,403
41,630,0,6,1,12,0,0,0,10,0,0,0,11,3,0,0,4,0,277,68,3,0,0,0,0,0,0,0,4,12,0,1,1,0,18,0,0,0,14,0,17,0,8,23,577
57,894,0,2,2,5,0,2,0,5,4,0,1,8,1,0,0,5,0,230,61,0,3,0,0,0,0,0,0,3,6,0,3,0,0,13,0,0,0,9,0,18,0,10,6,450
73,1410,0,2,0,6,0,3,0,3,5,0,0,0,4,0,3,7,0,190,41,0,3,0,0,0,0,0,0,2,52,0,1,0,1,8,0,0,0,3,0,11,0,5,8,416
89,2011,0,1,0,7,0,2,3,1,8,1,1,5,8,0,0,32,0,222,55,4,0,0,0,0,0,0,0,10,18,0,0,2,0,14,0,0,0,4,0,27,0,13,4,463
105,2611,0,7,3,8,0,4,0,11,10,0,2,3,0,1,0,28,0,190,58,0,4,0,0,0,0,0,0,2,11,0,2,0,0,12,0,0,0,2,0,10,0,6,24,472
121,3212,0,10,0,10,0,4,2,0,10,1,0,15,5,1,2,42,0,187,84,3,0,0,0,1,0,0,0,0,17,0,5,0,0,15,0,0,0,7,0,11,0,18,22,500
137,3812,0,1,3,3,0,1,0,3,2,2,0,33,6,1,0,56,0,120,111,7,7,0,0,0,0,0,0,1,6,0,2,1,0,17,0,0,0,10,0,4,0,11,28,470
153,4413,0,6,0,5,0,1,4,4,0,2,0,13,1,0,1,124,0,85,137,3,1,0,0,0,2,0,0,0,12,0,1,0,0,10,0,0,0,20,0,5,0,12,4,457
