"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Equisetum","Fabaceae.undiff.","Fraxinus","Galium","Herbs.undiff.","Ilex","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Parthenocissus","Picea","Pinus","Platanus","Poaceae","Polygonum.lapathifolium.type","Populus","Potamogetonaceae","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Scrophulariaceae","Selaginella","Solanaceae","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Typha.Sparganium","Ulmus","Unknown..trilete.","Urtica.type","Utricularia","Vitis"
5,352,0,3,2,255,52,0,0,16,12,1,1,5,0,1,3,172,0,0,1,0,1,0,1,0,65,0,3,0,0,0,0,12,1,2,0,2,37,10,29,1,0,0,75,0,0,2,0,1,0,1,0,0,0,2,1,0,8,4,0,1,0,2
10,693,0,3,0,271,48,1,0,11,21,2,0,6,0,0,6,118,0,1,1,2,0,0,4,0,81,0,1,0,0,1,0,5,2,2,0,1,34,2,35,0,1,3,61,2,0,3,1,1,1,0,0,2,0,0,0,1,7,5,1,0,0,1
15,1034,0,4,2,235,42,1,0,18,14,3,1,9,0,0,1,222,0,6,0,0,2,0,0,0,50,2,2,0,1,1,0,12,1,5,0,0,37,11,86,0,0,0,75,1,0,3,0,1,0,0,1,0,0,0,2,1,9,5,1,2,0,0
20,1375,0,1,0,271,50,2,0,14,12,1,0,3,1,0,0,130,0,1,0,0,2,0,1,0,64,0,1,0,1,1,0,3,0,0,0,1,30,6,28,0,1,1,86,3,0,8,2,1,0,1,0,0,0,0,2,4,1,3,0,2,0,1
25,1716,0,2,0,271,55,1,0,12,8,4,0,8,0,0,1,185,0,7,0,1,1,0,0,0,78,1,1,0,0,0,0,4,0,7,0,0,41,4,27,0,0,0,82,0,0,0,0,1,0,0,0,0,0,0,1,1,1,4,0,0,0,0
30,2057,0,3,4,259,50,0,0,4,19,0,2,4,0,0,6,120,1,2,0,0,3,0,0,0,75,1,2,0,0,2,0,1,0,1,1,4,30,7,42,3,1,0,65,3,0,0,0,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0
35,2397,0,1,2,59,51,1,0,23,18,3,0,8,0,0,9,150,0,3,2,4,0,0,1,0,23,1,5,1,0,0,2,73,10,2,0,0,50,3,207,1,2,0,82,0,0,4,0,1,0,0,0,0,0,0,0,0,52,6,0,0,0,2
40,2644,0,1,0,136,50,0,0,7,2,0,0,4,0,0,3,153,1,6,3,0,1,0,1,0,34,3,2,0,0,1,0,14,0,4,3,3,27,3,216,3,0,3,62,0,1,4,0,1,2,1,0,0,1,0,0,0,8,0,2,0,0,0
45,2797,0,1,0,186,46,2,0,24,18,2,0,1,1,0,3,111,0,4,0,0,2,0,0,0,26,7,1,0,0,0,5,0,0,1,2,2,35,7,66,4,0,0,90,1,2,6,1,3,1,0,0,0,0,0,2,0,9,6,0,0,0,1
50,2950,0,2,5,160,47,2,0,17,28,4,0,15,0,0,1,73,2,1,2,0,2,0,0,0,25,3,6,0,0,0,4,0,0,5,0,1,25,5,106,4,1,0,140,1,0,2,3,1,0,0,0,0,0,0,2,1,9,12,1,0,0,0
60,3255,0,5,1,156,37,2,0,19,17,1,0,8,2,0,4,47,0,1,1,3,1,1,0,0,22,2,5,0,0,0,1,0,0,4,0,3,20,6,91,6,1,0,101,0,2,30,0,0,0,0,0,1,0,0,1,0,9,15,0,0,1,0
70,3624,0,2,2,259,54,1,0,20,11,3,0,5,0,1,2,73,1,1,0,0,1,0,0,0,20,2,2,0,0,0,30,0,0,3,0,1,20,1,90,2,0,0,55,0,0,0,2,1,1,0,0,0,0,0,0,1,12,4,0,0,0,0
80,4183,0,3,0,336,27,0,0,9,10,0,1,2,1,2,2,69,0,0,0,1,1,0,0,1,19,2,0,0,0,0,17,0,0,2,0,0,20,2,45,1,0,1,43,0,0,1,2,1,0,0,0,0,0,1,0,0,6,5,0,0,0,0
90,4742,0,2,1,624,15,0,0,16,2,2,0,0,1,0,0,44,0,0,1,0,1,0,0,0,12,0,2,0,0,0,3,0,0,1,0,0,4,0,47,0,0,0,18,1,0,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
100,5300,0,0,1,448,24,0,0,10,9,0,0,1,0,0,3,48,0,0,1,0,0,0,1,0,26,1,2,0,0,0,0,3,0,1,0,1,20,4,50,2,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
110,5943,0,0,0,516,29,3,0,4,6,1,0,0,0,0,1,19,0,4,0,0,0,0,1,0,23,0,1,0,0,0,4,0,0,2,1,1,14,2,19,0,0,0,20,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0
120,6836,0,4,0,620,29,3,0,6,8,1,0,0,1,0,1,27,0,0,1,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,11,1,12,4,0,0,26,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0
130,7730,0,1,2,930,21,0,0,9,16,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,3,19,0,18,0,0,0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
140,8623,1,4,3,313,94,3,1,11,32,3,0,0,1,0,1,38,0,6,1,0,0,0,0,0,35,0,0,1,0,0,0,0,0,3,0,29,23,0,24,1,0,0,30,0,2,4,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0
150,9517,0,2,2,318,70,0,0,8,14,2,0,1,1,1,0,40,0,5,1,0,0,0,1,0,39,0,1,0,2,0,0,0,0,1,0,22,20,0,22,0,0,0,29,0,0,2,1,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0
160,10410,0,0,2,545,24,0,0,11,10,1,0,0,0,0,1,23,0,4,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,2,0,20,6,0,22,0,0,0,16,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
