"sample.depths","sample.ages","upland.sum","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Quercus","Ulmus","Fraxinus.nigra.type","Larix.laricina","Betula","Salix","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Myrica.gale","Corylus.cornuta","Ericaceae","Cyperaceae","Poaceae","Artemisia","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Rosaceae.undiff.","Caryophyllaceae","Brassicaceae","Thalictrum","Rubus.chamaemorus","Potentilla.palustris.type"
0,-45,301,32,9,11,0,1,0,0,0,5,99,0,44,0,0,0,18,66,8,5,3,0,0,0,0,0,0,0,0
5,125,349,44,3,3,0,0,0,0,0,3,51,0,18,0,0,1,10,204,1,4,0,0,0,1,0,0,0,1,5
10,332,319,8,4,3,0,0,0,0,0,2,28,0,5,1,0,0,1,12,1,0,0,1,0,0,0,0,1,0,252
20,747,382,76,7,6,1,1,0,0,0,12,153,0,12,0,1,0,5,92,6,0,1,0,0,0,0,0,0,0,9
30,898,319,91,7,24,1,2,0,1,1,3,50,1,21,0,0,0,3,39,9,1,7,0,2,0,0,0,0,0,56
40,1049,341,51,15,2,0,1,0,0,0,7,46,0,18,0,0,0,3,17,4,3,2,1,0,0,0,0,0,0,171
50,1200,386,77,3,11,0,0,0,0,0,0,31,1,24,1,0,0,8,110,8,3,0,6,0,11,1,1,0,0,90
60,1320,308,82,24,12,0,2,0,0,0,5,12,0,11,1,0,0,4,119,2,4,1,0,0,0,0,0,0,0,29
70,1440,358,77,6,7,0,1,1,0,1,7,13,1,10,0,0,0,0,224,4,4,0,1,0,1,0,0,0,0,0
80,1561,314,34,6,7,0,0,0,1,1,1,15,0,14,1,0,0,4,206,6,2,4,0,0,1,0,0,0,0,11
90,1681,344,146,4,6,0,0,0,0,0,3,10,1,8,0,0,0,4,160,1,0,1,0,0,0,0,0,0,0,0
100,NA,315,118,19,6,0,2,0,0,0,1,42,0,23,0,0,0,16,81,0,2,0,0,0,0,0,0,0,0,5
110,NA,398,126,5,5,0,0,0,0,0,6,13,1,9,0,2,0,1,226,2,2,0,0,0,0,0,0,0,0,0
120,NA,302,57,10,2,0,0,0,0,0,0,8,0,5,0,0,0,1,219,0,0,0,0,0,0,0,0,0,0,0
130,NA,387,102,4,3,1,1,0,0,1,1,5,0,7,1,0,0,3,254,0,2,0,0,1,1,0,0,0,0,0
135,NA,325,103,24,6,0,3,0,0,0,0,11,0,9,0,0,0,3,162,0,1,1,0,0,0,0,0,0,0,2
