"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Arceuthobium","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Ephedra.torreyana.type","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Lamiaceae","Plantago","Poaceae","Polygonum.persicaria","Rumex","Thalictrum","Urtica"
110,3523,769,0,0,38,4,0,43,4,1,0,0,1,0,0,79,2,19,0,1,1,0,19,0,113,0,0,52,0,0,0,5,31,25,0,2,0,3,0,0,0,1,0,0,0,325,0,0,0,0
120,3932,656,2,4,15,6,0,57,6,0,0,1,6,0,0,100,9,4,0,0,0,0,8,1,78,0,0,75,3,0,0,11,29,33,0,1,0,0,0,0,0,0,1,0,0,202,0,4,0,0
130,4364,612,0,0,49,5,0,40,6,0,0,1,5,0,0,101,9,11,0,0,0,0,14,2,88,0,0,44,1,0,0,7,24,26,1,2,0,0,0,0,0,2,0,0,0,173,0,0,0,1
140,4820,564,0,0,24,8,1,44,6,1,0,0,0,0,0,53,17,7,0,0,1,0,14,5,106,0,1,66,6,0,0,3,18,24,0,2,0,0,0,0,1,0,3,0,0,153,0,0,0,0
150,5304,474,1,0,29,3,0,30,0,0,0,0,0,0,0,38,4,12,0,1,1,0,15,0,98,0,0,69,0,0,0,9,76,21,0,1,0,1,0,0,0,1,0,0,0,64,0,0,0,0
155,5555,479,0,0,25,4,0,34,6,1,0,0,9,0,0,50,3,10,1,0,3,0,17,0,86,0,0,70,2,0,0,15,43,24,0,0,0,2,0,0,0,0,0,0,0,74,0,0,0,0
160,5809,496,2,0,27,5,0,24,8,0,0,0,2,0,0,63,16,0,0,0,0,0,6,0,94,0,0,91,0,0,0,13,44,20,0,2,0,0,2,0,0,0,0,0,0,77,0,0,0,0
165,6065,527,0,0,58,2,0,32,1,1,0,0,9,0,0,93,5,9,1,0,1,0,23,0,82,0,0,55,2,0,0,12,48,16,0,4,0,2,1,0,0,2,0,0,0,68,0,0,0,0
170,6319,516,1,0,25,3,0,29,1,0,0,0,0,0,0,54,10,13,0,0,0,0,23,0,99,0,0,81,0,0,0,10,60,26,0,3,0,3,1,0,0,0,0,0,0,74,0,0,0,0
171,6370,498,0,0,27,0,0,40,7,0,0,0,10,0,0,61,0,6,3,0,0,0,10,0,125,1,0,45,0,0,0,15,51,21,1,3,0,0,0,0,0,0,0,0,0,72,0,0,0,0
