"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Indeterminable","Iva.xanthifolia","Larix","Lycopodium.type","Myrica","Osmunda","Picea","Pinus","Plantago","Poaceae","Populus","Pteridium","Quercus","Rosaceae","Salix","Selaginella.selaginoides","Sphagnum","Triglochin","Ulmus","Unknown"
1,-14,2,1,0,2,0,0,0,10,0,42,1,0,2,0,0,1,0,0,0,1,0,57,27,0,3,0,0,0,1,0,0,106,0,0,0
5,48,0,3,1,0,0,0,0,2,0,1,0,0,7,0,0,0,0,0,0,1,0,68,18,0,0,0,0,1,0,0,0,82,0,0,1
10,125,0,0,1,3,0,0,0,13,0,27,0,0,3,0,0,2,1,0,0,1,1,55,27,0,1,0,0,1,0,0,0,195,0,0,1
15,203,0,0,0,5,0,0,0,9,0,15,0,1,1,0,0,1,0,0,0,0,0,66,23,0,0,0,0,0,1,1,0,784,0,0,2
19,265,1,1,0,1,1,0,0,7,0,18,0,0,4,0,0,2,0,1,0,1,1,58,26,0,1,0,0,1,0,0,0,161,0,0,0
21,296,0,2,0,1,1,0,0,0,0,5,0,0,1,0,0,3,0,2,0,0,0,70,24,0,0,0,0,1,0,0,9,52,0,0,0
25,392,1,0,0,0,0,0,0,4,0,23,0,0,0,0,0,3,0,3,0,0,0,74,18,0,0,0,0,0,0,0,0,18,0,0,0
30,639,1,1,0,0,0,0,0,3,2,14,0,0,1,0,0,2,0,2,0,0,0,72,18,0,0,0,0,0,0,0,0,10,0,0,1
35,886,1,1,0,0,0,0,0,2,0,8,0,0,0,0,0,2,0,5,0,1,0,70,19,0,2,0,0,1,0,0,0,11,0,0,0
38,1035,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,67,28,0,0,0,0,0,0,0,0,5,0,0,0
40,1133,1,1,0,0,0,1,0,11,0,9,0,1,4,2,1,3,0,4,1,5,0,42,29,0,5,0,0,0,0,0,0,54,0,0,0
45,1381,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,80,16,0,0,0,0,0,0,0,0,288,0,0,0
48,1529,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,70,19,0,0,0,0,0,0,0,0,44,0,0,0
50,1628,6,2,0,1,1,1,0,7,6,1,0,0,1,0,0,3,0,1,0,0,0,62,14,0,1,1,0,0,0,0,0,8,0,0,0
55,1875,3,6,0,0,1,0,0,3,14,7,0,0,0,0,0,14,0,0,0,0,0,64,9,0,1,0,0,1,0,0,10,10,0,0,0
60,2078,5,6,0,0,1,0,0,6,0,14,0,0,0,0,0,3,0,3,0,0,0,61,19,0,1,0,0,0,0,0,5,10,0,0,0
65,2214,4,1,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,1,0,0,1,72,20,0,1,0,0,0,0,0,6,8,0,0,0
70,2351,4,1,1,0,0,0,0,8,1,26,0,0,0,0,0,2,0,8,1,0,0,58,20,0,2,0,0,0,0,0,0,2,0,0,0
75,2488,1,2,0,0,2,0,0,2,0,5,0,0,0,0,0,1,0,9,0,0,0,66,15,0,1,1,0,3,0,0,0,28,0,1,0
80,2624,0,7,0,0,0,0,0,8,1,19,1,1,0,0,0,3,0,4,0,0,0,53,25,0,1,0,0,2,0,0,0,13,1,0,0
85,2761,0,1,0,0,0,0,0,5,0,25,0,0,0,0,0,2,0,2,0,0,0,59,33,0,2,0,0,0,0,0,0,11,0,0,0
90,2897,4,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,5,0,0,0,75,12,0,1,0,0,0,0,0,1,11,0,0,0
95,NA,0,2,0,0,0,0,0,6,1,9,0,0,0,0,0,6,0,9,0,0,0,61,21,0,0,0,0,0,0,0,0,15,0,0,0
97,NA,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,6,0,0,1,0,0,49,50,0,2,0,1,0,0,0,1,18,0,0,0
100,NA,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,2,0,0,6,0,0,39,60,2,1,0,1,0,0,0,0,28,0,0,1
