"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Artemisia","Asteraceae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Elaeagnaceae","Ephedra","Ericaceae","Fraxinus","Larix","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Poaceae","Populus","Quercus","Salix","Typha.Sparganium","Ulmus"
120,150,30,5,40,0,30,15,188,0,0,0,0,0,0,0,0,35,0,0,17,89,534,0,0,42,0,0,0
140,474,16,8,43,0,24,24,258,0,0,0,10,0,0,0,10,35,0,0,5,82,461,0,0,24,0,0,0
160,798,28,7,28,0,23,46,379,0,0,0,0,0,0,0,11,35,0,0,17,93,382,0,0,37,0,0,14
180,1122,24,8,49,0,0,24,254,0,0,0,15,0,0,0,10,41,0,0,18,64,412,20,0,49,0,0,12
200,1446,24,10,53,0,0,24,193,0,0,0,20,0,0,0,24,45,0,0,17,62,484,5,0,41,0,0,12
220,1770,30,15,20,0,20,15,100,0,0,0,0,0,0,0,10,32,0,0,0,50,630,20,0,40,0,0,0
240,2094,38,5,28,0,0,19,153,0,0,0,0,0,0,3,0,17,0,0,10,43,633,17,0,34,0,0,0
260,2418,29,5,15,0,5,0,144,0,0,0,0,0,0,0,10,16,0,0,17,49,672,17,0,21,0,0,0
280,2742,20,8,24,0,5,0,133,0,0,0,0,0,0,0,9,8,9,0,5,30,711,18,0,20,0,0,0
300,3066,15,5,34,11,19,0,120,0,0,0,0,0,0,0,10,11,8,0,11,19,692,5,0,40,0,0,0
320,3390,17,8,34,0,30,10,135,0,0,0,0,0,0,0,0,11,17,0,8,29,670,0,0,41,0,0,0
340,3714,23,5,20,0,5,10,122,0,0,0,0,0,0,3,0,20,0,0,10,34,694,20,0,34,0,0,0
360,4038,15,8,28,0,10,24,113,0,0,0,0,0,0,0,0,24,0,0,18,24,683,12,0,32,0,0,10
380,4362,0,12,42,0,32,19,170,0,0,0,0,0,0,0,17,21,0,0,10,24,584,14,0,46,0,0,14
400,4686,21,14,56,0,23,23,261,0,0,0,5,0,0,0,19,19,11,0,17,28,410,28,0,56,0,0,9
420,5010,19,8,58,0,30,30,240,0,0,0,0,0,0,0,19,11,0,0,16,14,470,10,0,65,0,0,10
440,5334,0,10,42,7,18,37,204,0,0,0,0,0,0,0,18,12,0,0,13,10,501,23,0,93,0,0,12
460,5658,0,0,81,12,14,30,233,0,0,0,14,0,0,0,0,15,0,0,10,0,504,29,0,56,0,0,12
480,5982,12,0,81,9,38,24,191,0,11,0,15,0,0,3,0,18,0,0,16,0,469,0,0,98,0,0,15
500,6306,9,0,78,12,39,24,165,0,0,0,8,0,0,0,0,0,0,0,15,5,543,19,0,68,0,0,15
520,6630,25,0,95,0,20,18,155,0,15,0,10,0,0,0,18,0,0,0,0,20,498,20,0,77,0,0,29
540,6954,10,0,56,18,37,30,130,0,10,0,18,0,0,0,11,0,0,0,14,5,503,18,0,95,0,0,28
560,7278,0,0,52,10,24,24,119,0,10,0,5,0,0,0,10,13,0,0,15,0,581,48,0,78,0,0,11
580,7602,0,0,29,10,24,19,112,0,0,0,12,0,0,0,12,10,0,0,19,0,670,15,0,58,0,0,10
600,7926,0,15,43,17,34,19,77,0,0,0,12,0,0,3,19,8,0,0,27,0,633,14,0,62,0,0,17
620,8250,0,0,19,8,43,29,69,0,6,0,0,0,0,0,11,8,0,0,33,0,658,38,0,57,0,0,21
640,8574,0,0,19,8,39,48,52,0,11,0,11,0,0,0,11,8,0,0,19,5,648,38,0,76,0,0,17
660,8898,19,0,47,9,37,28,70,0,9,0,7,0,0,0,11,9,0,0,14,9,577,42,0,86,0,0,19
675,9141,0,0,48,18,44,62,53,0,5,0,22,0,0,0,7,18,0,0,9,4,539,62,0,40,11,0,25
695,9465,0,0,80,31,33,24,56,0,11,0,9,0,0,0,17,17,0,0,11,5,583,33,0,47,14,0,28
715,9789,0,0,57,18,57,44,66,0,8,0,9,0,0,0,19,35,0,0,13,13,518,22,0,44,11,0,31
735,10113,0,0,27,10,25,41,191,0,0,0,11,0,0,0,16,32,0,0,9,6,527,16,0,50,2,0,20
755,10437,0,0,41,9,9,45,121,0,0,0,0,0,0,0,14,31,0,0,0,58,540,22,0,18,11,0,45
765,10599,0,0,38,11,17,17,140,11,0,0,0,0,0,0,0,23,0,0,9,70,572,0,0,47,0,0,26
775,10761,0,0,92,8,19,19,135,2,0,0,0,0,0,0,0,24,0,0,44,53,523,0,0,34,8,0,39
785,11076,9,0,57,8,11,0,124,14,0,0,0,0,0,0,9,24,0,0,5,161,494,14,0,24,8,0,38
795,11392,11,0,11,8,23,8,94,11,0,0,8,0,0,0,8,37,0,0,8,194,528,0,0,33,0,0,28
805,11708,0,0,14,0,36,10,75,0,0,0,0,0,0,0,10,43,0,0,14,134,569,10,0,52,0,0,43
815,12024,0,14,0,10,23,14,57,0,0,0,0,0,0,0,14,39,0,0,10,190,554,10,0,39,0,0,26
825,12339,7,0,0,0,0,11,44,0,0,0,0,0,0,0,19,39,0,0,0,242,571,9,0,39,0,0,39
835,12655,5,8,6,0,30,13,26,8,0,0,8,0,0,0,19,34,0,13,0,359,331,33,0,43,0,0,56
850,13129,0,10,0,0,33,8,41,8,0,0,33,0,0,0,10,38,0,0,8,358,384,8,4,27,8,0,22
860,13445,0,0,0,0,9,9,19,0,0,0,33,0,0,0,19,39,0,0,7,472,324,11,5,15,9,0,39
870,13761,0,0,0,0,30,8,58,0,0,0,30,0,0,0,30,19,0,0,5,476,224,11,8,30,9,8,43
880,14076,0,0,4,0,53,8,97,0,0,0,35,0,0,0,7,14,0,0,4,595,79,7,15,24,19,10,14
890,14392,0,0,9,0,94,14,142,0,0,7,42,0,0,0,0,14,0,0,7,581,28,17,18,18,9,0,0
900,14708,0,0,4,0,88,0,195,0,0,10,44,0,0,0,0,10,0,0,0,595,29,7,0,0,18,0,0
910,15024,0,0,0,0,68,15,88,0,0,4,34,0,0,0,0,9,0,0,0,738,9,18,9,0,18,0,0
915,15182,0,0,0,2,90,33,133,0,0,7,63,0,0,0,7,14,0,0,0,609,12,18,0,7,14,0,0
920,15339,0,0,11,4,114,19,72,0,0,0,86,0,0,0,7,0,0,0,14,581,10,34,0,18,19,0,0
925,15497,0,0,0,9,170,42,66,0,0,0,109,0,0,0,7,0,0,0,0,500,0,56,0,14,18,0,0
930,15655,0,0,0,7,189,37,85,0,0,0,133,0,0,0,28,0,0,0,0,379,4,47,0,37,34,0,11
935,15813,0,0,0,9,55,23,21,0,0,0,93,0,0,4,26,0,0,0,11,686,18,11,7,16,13,0,7
940,15971,0,0,0,6,78,52,30,0,0,6,314,0,0,17,26,0,0,0,0,350,17,26,6,15,17,6,0
945,16129,0,0,0,0,105,45,27,0,0,2,293,0,0,11,9,0,0,0,0,402,16,27,14,16,14,10,0
950,16287,0,0,0,0,97,50,46,0,0,7,184,0,0,3,11,0,0,0,11,496,23,28,0,16,11,0,0
955,NA,0,0,0,7,84,60,19,0,0,4,305,0,0,11,9,0,0,0,4,416,9,19,9,16,9,0,0
960,NA,0,0,0,0,120,37,18,0,0,4,371,0,0,5,13,0,0,0,18,296,29,37,0,26,23,0,0
965,NA,0,0,0,12,134,74,19,0,0,6,358,0,3,3,12,0,0,0,8,192,17,70,17,23,29,0,14
970,NA,0,0,0,0,62,62,30,0,0,8,357,0,0,17,48,0,0,0,13,302,20,26,8,24,13,0,0
975,NA,0,0,0,0,109,37,28,0,0,7,312,0,0,0,20,0,0,0,4,388,22,43,7,7,8,0,0
980,NA,0,0,0,0,132,28,9,0,0,4,224,2,0,3,17,0,0,0,9,464,24,24,17,11,9,0,9
985,NA,0,0,0,0,74,41,18,0,0,0,503,0,0,9,0,0,0,0,0,289,4,11,27,0,0,0,0
