"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus","Carya","Casuarina","Cephalanthus.occidentalis","Citrus","Clematis.type","Conocarpus","Cornus","Diospyros","Ficus.aurea","Fraxinus.caroliniana","Ilex","Juglandaceae.undiff.","Magnolia.virginiana","Myrica.cerifera","Ostrya","Arecaceae","Picea","Pinus.elliottii","Psychotria","Quercus","Myrsine.cubana","Rhamnaceae","Rhizophora.mangle","Salix.caroliniana.type","Sideroxylon","Taxodium","Trema.micrantha","Ulmus","Vitis","Zanthoxylum.fagara","Amaranthaceae","Salicornia.type","Chenopodium.album.type","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Iva.frutescens","Anacardiaceae","Apiaceae","Brassicaceae","Euphorbiaceae","Fabaceae.undiff.","Crotalaria.type","Hippocratea.type","Hypericum","Lamiaceae","Polygalaceae","Polygonum","Rumex","Sabatia.type","Solanaceae","Urticaceae","Verbenaceae","Waltheria.indica","Cerealia","Cyperaceae.undiff.","Vaccinium.type","Poaceae.undiff."
1.5,-48,312,2,0,0,0,0,0,0,1,0,0,0,11,0,0,0,5,1,0,0,8,0,6,0,0,0,4,0,260,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,-47,301,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,2,0,0,2,16,0,25,0,1,0,3,1,218,0,0,1,0,10,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,4
8.5,-43,277,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,5,0,1,0,4,0,248,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
12,-35,257,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0,7,0,12,1,0,0,1,0,212,0,0,0,0,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
17,-13,278,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,250,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
21,18,293,1,1,0,0,1,0,0,0,0,0,0,6,0,0,0,3,0,9,0,12,0,2,0,0,0,1,0,224,0,0,0,0,26,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,49,317,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,3,0,0,0,2,0,259,0,0,0,1,19,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1
32,180,339,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,2,0,294,0,0,1,0,22,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
36,273,333,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,8,0,0,0,1,0,300,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,378,296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,266,0,0,0,0,9,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
44,488,294,1,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,262,1,0,0,0,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
47.5,583,304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,2,0,0,0,1,0,265,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5
51,669,281,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,20,0,3,0,0,0,2,0,232,0,0,0,0,10,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
56,754,318,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,21,0,4,0,0,0,9,0,258,0,0,0,0,1,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
60,779,253,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,3,0,0,0,32,0,5,2,0,0,2,0,167,0,0,0,0,15,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
64,786,279,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,0,0,0,0,0,1,0,245,0,0,0,0,10,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
71,845,330,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,3,0,0,0,16,0,6,1,0,0,5,0,265,0,0,0,0,8,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
71.5,855,278,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,14,0,3,0,0,0,4,0,237,0,0,0,0,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
77.5,1038,336,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,3,0,1,0,2,0,280,0,0,0,0,14,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
