"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus","Betula","Cupressaceae","Ephedra.torreyana.type","Ericaceae","Fagus","Larix","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae.undiff.","Cyperaceae","Poaceae","Rosaceae","Urtica"
0,-27,0,0,0,0.104,0.084,0,0,0,0,0,0,0.424,0.288,0,0.012,0.008,0,0,0.004,0.008,0,0.032,0.008,0.008,0.004,0.016,0,0
10,118,0.004,0,0,0.12,0.068,0,0,0.008,0,0,0,0.376,0.356,0,0,0.004,0,0,0.004,0.028,0,0.024,0,0.008,0,0,0,0
20,263,0,0,0,0.105932203389831,0.0932203389830508,0,0,0,0.00423728813559322,0,0,0.402542372881356,0.351694915254237,0,0,0,0,0,0.00423728813559322,0.00423728813559322,0,0.0296610169491525,0,0.00423728813559322,0,0,0,0
30,408,0.016260162601626,0,0,0.113821138211382,0.121951219512195,0,0,0,0,0.0203252032520325,0,0.382113821138211,0.284552845528455,0,0.008130081300813,0.0040650406504065,0,0,0,0.0203252032520325,0,0.016260162601626,0.0040650406504065,0,0.0040650406504065,0.0040650406504065,0,0
40,553,0.0132743362831858,0,0,0.084070796460177,0.0973451327433628,0,0.00442477876106195,0,0,0.00442477876106195,0,0.513274336283186,0.243362831858407,0,0,0,0,0,0.00442477876106195,0.00442477876106195,0,0.0265486725663717,0,0,0.00442477876106195,0,0,0
50,698,0,0,0,0.0590909090909091,0.1,0,0,0,0,0.00909090909090909,0,0.413636363636364,0.359090909090909,0,0.0136363636363636,0.00454545454545455,0,0,0.00454545454545455,0.0136363636363636,0,0.0181818181818182,0,0.00454545454545455,0,0,0,0
60,843,0.0135746606334842,0,0,0.090497737556561,0.14027149321267,0,0,0,0,0.00904977375565611,0.00452488687782805,0.407239819004525,0.32579185520362,0,0,0,0,0,0,0.00452488687782805,0,0,0.00452488687782805,0,0,0,0,0
70,987,0,0,0,0.0642201834862385,0.0504587155963303,0,0,0,0,0.00458715596330275,0.00458715596330275,0.431192660550459,0.426605504587156,0,0.00458715596330275,0,0,0,0,0,0.00458715596330275,0,0,0,0,0.00458715596330275,0,0.00458715596330275
80,1132,0.0091324200913242,0,0,0.0639269406392694,0.0684931506849315,0,0,0,0,0.0045662100456621,0,0.484018264840183,0.365296803652968,0,0,0,0,0,0,0,0,0.0045662100456621,0,0,0,0,0,0
90,1277,0.0182648401826484,0,0,0.0502283105022831,0.114155251141553,0,0,0,0,0.0045662100456621,0,0.410958904109589,0.351598173515982,0,0.0091324200913242,0.0091324200913242,0,0,0,0.0045662100456621,0,0.0182648401826484,0,0.0045662100456621,0.0045662100456621,0,0,0
100,1422,0.0135746606334842,0,0,0.0588235294117647,0.090497737556561,0,0,0,0,0.0135746606334842,0,0.479638009049774,0.30316742081448,0,0.00452488687782805,0.00452488687782805,0,0,0,0.00452488687782805,0,0.0135746606334842,0,0.00452488687782805,0.00452488687782805,0,0,0.00452488687782805
110,1567,0.014018691588785,0,0,0.0373831775700935,0.0841121495327103,0,0,0,0,0.014018691588785,0,0.462616822429907,0.355140186915888,0,0.00467289719626168,0,0,0.00467289719626168,0,0.00934579439252336,0,0.00934579439252336,0,0,0,0,0,0.00467289719626168
120,1712,0.00444444444444444,0,0,0.08,0.106666666666667,0,0,0,0,0.0133333333333333,0,0.471111111111111,0.266666666666667,0,0.00888888888888889,0.00444444444444444,0.00444444444444444,0.00444444444444444,0.00444444444444444,0,0,0.0133333333333333,0,0,0.00888888888888889,0,0,0.00888888888888889
130,1857,0,0,0,0.0495495495495495,0.108108108108108,0,0,0,0,0.0045045045045045,0,0.432432432432432,0.355855855855856,0,0.009009009009009,0.0045045045045045,0,0,0,0,0,0.0315315315315315,0.0045045045045045,0,0,0,0,0
235,3379,0.0241545893719807,0,0,0.0241545893719807,0.0628019323671498,0.00483091787439614,0,0.00483091787439614,0,0,0,0.545893719806763,0.323671497584541,0,0.00483091787439614,0,0,0,0,0.00483091787439614,0,0,0,0,0,0,0,0
245,3524,0.0241545893719807,0,0,0.0241545893719807,0.0821256038647343,0,0,0,0,0.00966183574879227,0,0.550724637681159,0.29951690821256,0,0,0,0,0,0,0,0,0.00483091787439614,0,0,0.00483091787439614,0,0,0
255,3669,0.0191387559808612,0,0,0.0334928229665072,0.062200956937799,0,0,0.00478468899521531,0,0.00956937799043062,0,0.516746411483254,0.349282296650718,0,0,0,0,0,0,0.00478468899521531,0,0,0,0,0,0,0,0
