"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Betula","Carya","Corylus","Ericaceae","Fraxinus","Juglans","Juniperus","Larix","Ostrya","Picea","Pinus.banksiana","Pinus.strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae","Eupatorium","Poaceae","Rosaceae","Thalictrum","Dryopteris","Equisetum","Polypodium","Thelypteris","Sphagnum","Myriophyllum","Nuphar","Typha"
10,867,0,15,16,104,0,10,0,4,0,0,1,18,3,4,46,73,3,0,4,39,7,4,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0
20,1777,0,16,13,106,0,5,0,2,0,0,0,20,2,5,45,93,2,0,1,42,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2688,0,27,12,76,0,3,0,4,0,0,0,3,2,2,48,138,0,1,0,37,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,3598,0,27,19,52,0,10,0,4,0,0,0,5,2,4,46,172,4,11,1,4,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2
50,4509,0,19,9,57,0,3,0,7,0,0,0,5,1,5,45,165,3,2,3,15,9,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,5420,0,24,11,50,0,11,0,14,2,0,0,9,1,2,48,194,5,3,0,6,16,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,6330,0,25,7,47,0,7,0,5,0,0,1,4,1,8,42,170,1,3,5,1,10,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,7241,0,25,11,63,0,15,0,4,1,0,0,4,0,2,48,156,3,2,4,0,13,6,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,8151,0,6,6,23,0,4,0,2,0,0,0,1,7,4,46,236,0,3,0,0,2,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,NA,0,6,11,23,0,3,0,0,0,0,0,0,4,4,46,237,0,0,1,0,6,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
