"sample.depths","sample.ages","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Plantago.major","Quercus","Rubus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Iva.annua","Poaceae","Acer.saccharum","Pinus.strobus","Fraxinus.nigra","Cornus","Iva.xanthifolia","Corylus","Rhamnus","Ericaceae.undiff.","Populus.tremuloides","Abies","Larix","Tilia","Juniperus.Thuja","Acer.spicatum","Juglans.cinerea","Fraxinus.pennsylvanica.F..americana.type","Sarcobatus.vermiculatus","Carya","Caryophyllaceae","Ledum.Chamaedaphne.calyculata","Prunus.Sorbus","Populus.balsamifera","Galium","Gaultheria","Potentilla","Urtica","Rosaceae.herbs.undiff.","Xanthium","Platanus","Humulus.Cannabis.sativa","Juglans.undiff.","Asteraceae.subf..Cichorioideae","Myrica"
0,-29,0.0303030303030303,0.212121212121212,0.0202020202020202,0.0303030303030303,0.0101010101010101,0.0101010101010101,0.0202020202020202,0.0505050505050505,0.0505050505050505,0.0101010101010101,0.101010101010101,0.0202020202020202,0.0101010101010101,0.0303030303030303,0.0404040404040404,0.0303030303030303,0.0606060606060606,0.141414141414141,0.0101010101010101,0.0404040404040404,0.0303030303030303,0.0303030303030303,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,40,0,0.414814814814815,0.00740740740740741,0.0222222222222222,0,0.0148148148148148,0.0222222222222222,0.00740740740740741,0.0666666666666667,0,0,0,0.00740740740740741,0.185185185185185,0.00740740740740741,0.0148148148148148,0.0296296296296296,0.0962962962962963,0,0.0222222222222222,0.0222222222222222,0.0148148148148148,0,0.00740740740740741,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,617,0.00684931506849315,0.315068493150685,0,0,0,0.0205479452054795,0,0.00684931506849315,0.404109589041096,0,0.0136986301369863,0,0,0.0410958904109589,0,0.0205479452054795,0.0410958904109589,0.0205479452054795,0,0.00684931506849315,0.0342465753424658,0.0342465753424658,0.00684931506849315,0,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.00684931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1701,0,0.243243243243243,0.009009009009009,0,0,0.018018018018018,0.009009009009009,0.009009009009009,0.432432432432432,0,0.009009009009009,0.009009009009009,0,0.171171171171171,0,0.009009009009009,0.009009009009009,0.009009009009009,0,0,0.009009009009009,0.036036036036036,0,0,0,0,0,0.009009009009009,0.009009009009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2784,0.0072992700729927,0.394160583941606,0,0,0.0218978102189781,0.0072992700729927,0,0,0.416058394160584,0,0.0072992700729927,0,0,0,0.0145985401459854,0.0218978102189781,0.0072992700729927,0.0145985401459854,0,0,0.0072992700729927,0.072992700729927,0,0,0,0,0,0,0,0.0072992700729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3868,0,0.0916666666666667,0,0,0,0.00833333333333333,0,0.0416666666666667,0.591666666666667,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0.0583333333333333,0.183333333333333,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4952,0.0240963855421687,0.0421686746987952,0,0.00602409638554217,0,0,0,0,0.602409638554217,0,0.0240963855421687,0,0,0,0.00602409638554217,0.0120481927710843,0.102409638554217,0.0421686746987952,0,0.0180722891566265,0.0301204819277108,0.072289156626506,0,0,0.00602409638554217,0.00602409638554217,0,0,0.00602409638554217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5529,0,0.0677966101694915,0.00847457627118644,0,0.00847457627118644,0.0169491525423729,0,0.00847457627118644,0.584745762711864,0,0.0508474576271186,0,0,0,0.00847457627118644,0.0254237288135593,0.00847457627118644,0,0,0,0,0.194915254237288,0,0,0,0,0,0,0,0,0,0.00847457627118644,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,6066,0,0.105769230769231,0,0.0192307692307692,0,0.134615384615385,0,0,0.5,0,0.0288461538461538,0,0,0,0,0.0288461538461538,0,0.00961538461538462,0,0.00961538461538462,0.0480769230769231,0.00961538461538462,0.00961538461538462,0,0,0,0,0,0,0,0.0192307692307692,0.0192307692307692,0,0.0384615384615385,0.00961538461538462,0.00961538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6602,0.0181818181818182,0.0545454545454545,0,0.0363636363636364,0,0.0272727272727273,0.00909090909090909,0.00909090909090909,0.472727272727273,0,0.00909090909090909,0,0,0,0,0.0272727272727273,0.00909090909090909,0,0.00909090909090909,0,0.00909090909090909,0.281818181818182,0,0,0,0,0,0,0,0,0.00909090909090909,0.00909090909090909,0,0,0,0,0.00909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
