"sample.depths","sample.ages","upland.sum","Picea.undiff.","Picea.mariana","Picea.glauca","Pinus.undiff.","Pinus.strobus","Pinus.banksiana.P..divaricata","Abies.undiff.","Tsuga.undiff.","Larix.undiff.","Betula","Populus","Quercus","Ulmus","Fagus.undiff.","Carya","Acer.undiff.","Acer.saccharum","Acer.rubrum","Acer.pensylvanicum","Acer.spicatum","Acer.nigrum","Fraxinus.undiff.","Fraxinus.nigra","Fraxinus.pennsylvanica","Tilia","Ostrya.Carpinus","Juglans","Juniperus","Alnus.undiff.","Alnus.viridis.subsp..crispa","Alnus.incana.type","Salix","Corylus","Shepherdia.canadensis","Myrica.undiff.","Myrica.gale","Viburnum","Cornus","Castanea","Ericaceae","Taxus.undiff.","Poaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Chenopodiineae","Rosaceae.undiff.","Polygonaceae.undiff.","Caryophyllaceae","Ranunculaceae.undiff.","Thalictrum","Potentilla","Saxifragaceae","Impatiens","Epilobium","Androsace","Rumex","Urticaceae","Campanulaceae","Fabaceae","Dryas","Apiaceae","Rubiaceae","Cyperaceae","Oxyria.digyna","Ilex.Nemopanthus","Abies.Balsamea","Larix.Laricina","Tsuga.canadensis","Fagus.Grandifolia","Taxus.canadensis","Plantaginaceae","Cerealia"
2.5,6,500,26,0,0,32,12,7,12,0,0,321,0,5,2,16,0,0,2,1,0,1,0,0,3,1,0,1,0,1,0,4,16,0,5,0,14,0,0,0,0,3,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0
12.5,207,532,34,0,0,42,20,6,12,2,1,332,0,7,0,11,0,0,0,1,0,0,0,0,1,1,0,1,0,11,0,3,16,1,1,0,4,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1
22.5,408,499,47,0,0,34,23,9,21,1,1,303,1,3,0,11,0,0,2,0,0,0,0,0,2,1,0,0,0,8,0,5,11,0,1,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
35,659,1007,63,0,0,44,95,8,30,10,1,621,1,8,4,36,0,0,6,1,3,1,0,0,3,0,0,2,0,13,0,6,18,1,2,0,7,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
45,860,487,26,0,0,27,60,2,10,0,0,274,2,3,1,30,0,0,3,1,0,0,0,0,4,1,0,1,0,3,0,1,17,2,0,0,5,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
55,1060,523,21,0,0,20,42,3,5,4,0,383,0,7,0,20,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0
65,1261,505,15,0,0,28,33,1,16,2,2,330,0,5,4,23,0,0,1,1,1,0,0,0,6,0,0,1,0,4,0,3,6,0,1,0,4,0,1,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
85,1663,503,26,0,0,16,32,1,15,1,0,360,0,2,2,21,0,0,2,1,1,1,0,0,4,0,0,1,0,1,0,1,7,0,0,0,3,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2064,582,21,0,0,19,91,2,11,2,0,361,0,8,1,32,0,0,1,0,2,0,0,0,1,1,1,0,0,1,0,1,15,1,2,0,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,2466,504,28,0,0,21,71,0,13,0,0,305,1,9,1,17,0,0,3,0,1,0,0,0,4,2,0,0,0,0,0,3,10,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
