"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Aralia.hispida","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Dryopteris","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Onagraceae","Osmunda.cinnamomea","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae","Salix","Saxifragaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule"
20,665,67,0,0,1,0,8,17,0,0,0,0,1,0,393,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,3,7,0,0,0,0,0,0,0,41,34,4,5,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
40,1331,50,0,0,0,0,11,18,0,1,0,2,1,0,300,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,22,23,0,7,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
60,1996,37,0,0,2,0,9,13,0,0,0,0,0,0,296,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,8,1,0,0,0,0,0,0,0,22,22,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
80,2662,45,0,0,1,0,4,7,0,0,0,2,0,0,339,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,3,0,1,0,5,0,0,1,0,42,40,0,5,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,1,1
100,3327,26,0,0,0,0,13,9,0,0,0,0,0,0,356,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,26,19,0,6,6,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,3992,33,0,0,0,0,2,8,0,1,0,2,0,0,272,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,25,21,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0
140,4658,42,0,0,0,0,4,6,0,0,0,0,0,0,422,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,13,25,1,9,11,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,2,0,0
160,5323,40,0,0,0,0,2,7,1,1,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23,24,1,16,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,2,0,0,2,0,0
180,5862,30,0,1,1,0,1,3,0,0,0,0,0,0,270,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,23,2,13,8,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
200,6368,18,1,0,1,1,2,8,0,0,0,0,1,0,456,0,0,0,0,0,0,10,0,0,0,1,2,1,0,0,0,0,0,1,0,0,5,0,0,0,0,28,20,2,19,18,0,3,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0
220,6874,25,1,1,3,0,0,3,0,0,0,0,1,0,481,1,0,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,22,23,0,13,19,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0
240,7381,10,0,1,1,0,0,29,0,0,0,0,1,0,465,0,0,0,0,0,0,1,0,0,0,1,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,21,15,3,14,11,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,1,0,1,0,1,0,0
260,7887,31,0,0,1,0,1,25,0,0,0,1,0,0,523,0,0,0,0,0,1,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,13,15,0,7,11,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0
280,9023,28,0,0,0,4,3,33,0,0,0,1,1,0,597,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,31,16,0,9,11,0,0,0,4,0,5,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
295,10129,24,0,0,0,0,6,32,1,0,0,1,1,0,256,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,7,0,0,0,0,0,12,14,0,17,27,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
300,10352,98,0,0,0,1,11,98,0,0,0,1,1,0,339,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,28,14,5,3,6,0,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0
305,10575,66,0,0,0,0,3,225,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,38,24,5,10,64,0,1,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,4
315,11022,12,0,0,0,0,0,302,0,0,0,0,2,0,77,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46,19,9,7,6,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
