"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Betula","Carya","Castanea","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Poaceae","Rosaceae","Rumex","Thalictrum","Lycopodiaceae","Osmunda","Polypodiophyta.undiff.","Pteridium.type","cf..Sphagnum","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Indeterminable.undiff."
5,89,1,0,11,0,101,0,0,7,0,0,3,0,0,1,0,26,162,0,4,0,0,5,0,2,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,3,67,8,0,49,5,8,14,14,5,2
8,170,29,1,30,0,85,0,0,0,0,5,0,0,1,0,0,0,86,0,6,2,0,2,0,0,0,2,1,0,17,0,0,1,0,1,0,3,3,0,0,1,2,3,3,14,4,4,3,1,0,0
10,224,14,0,10,0,126,0,0,0,0,3,0,2,0,0,0,0,120,0,16,6,0,7,0,0,0,11,1,0,8,0,0,0,0,0,0,0,3,0,0,0,132,0,1,60,5,5,5,1,1,0
13.5,318,5,4,46,0,109,0,1,5,0,3,0,3,0,0,0,0,88,0,16,2,7,6,1,0,1,7,0,1,17,0,0,1,1,0,1,1,0,1,0,4,198,6,1,35,1,4,8,3,2,0
17,413,14,2,8,0,114,0,0,0,0,8,0,1,4,2,0,0,120,0,22,3,2,2,4,1,0,14,0,2,1,0,0,1,0,0,0,0,5,2,0,4,63,1,0,19,1,2,2,0,2,0
20,494,2,1,18,0,132,0,1,2,0,5,0,0,2,0,0,0,126,1,16,0,2,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,1,20,6,0,43,1,0,2,3,3,1
25,639,7,2,7,0,121,0,1,0,1,8,0,0,2,0,0,0,128,1,17,4,0,9,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,69,4,0,4,5,1,0
30,843,3,2,9,0,117,0,0,0,0,3,0,1,0,0,0,2,28,1,10,0,1,4,0,0,0,4,0,9,0,0,0,0,0,0,1,1,1,0,0,0,26,2,0,16,3,0,10,2,2,1
35,1047,12,2,6,0,201,0,0,0,0,4,2,0,0,0,0,1,40,0,24,8,3,3,0,0,0,6,0,7,1,0,1,1,0,0,0,1,5,0,0,5,26,4,4,13,4,4,11,5,3,1
40,1348,12,4,3,0,211,0,0,3,2,12,0,1,0,0,0,2,50,1,14,2,0,9,0,0,0,8,0,3,1,0,0,0,0,0,0,1,2,0,1,0,13,9,0,8,1,0,8,3,9,2
45,1826,6,4,18,0,224,0,1,0,0,5,0,3,0,0,0,6,59,0,22,8,0,9,0,0,0,7,0,2,0,0,0,0,0,0,0,1,12,0,0,1,20,9,1,0,8,4,17,6,4,2
50,2305,10,4,20,0,193,0,0,4,0,14,0,2,0,0,0,7,41,0,17,2,0,8,0,0,0,12,1,1,0,0,0,0,0,0,0,0,4,0,1,0,24,7,0,25,11,5,13,7,4,3
55,2784,6,6,14,0,193,0,0,0,0,4,0,2,0,0,0,0,58,0,20,0,1,9,0,0,0,7,0,1,1,0,0,0,0,0,0,0,7,0,0,1,21,16,3,21,6,8,15,2,6,0
58,3251,6,4,19,0,221,1,0,0,0,8,1,1,0,0,0,3,32,0,20,16,0,7,0,0,0,9,2,0,1,0,0,1,0,0,0,0,7,0,0,0,13,10,0,37,8,15,12,2,10,0
60,3574,4,0,2,0,287,0,0,5,0,0,1,1,0,0,0,0,14,1,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,4,2,6,4,4,2,0
64,4219,17,3,3,0,149,0,0,0,0,2,0,4,1,0,2,4,35,0,24,6,0,4,0,0,0,48,0,0,1,0,0,0,0,0,0,0,1,0,0,0,70,5,0,0,10,15,4,3,3,0
67,4702,4,4,3,0,106,0,0,0,0,1,2,0,0,0,0,1,46,1,80,10,0,12,0,0,1,57,3,1,1,0,0,0,0,1,0,1,3,0,0,2,144,7,3,23,8,37,7,6,8,2
70,5186,0,0,2,0,30,0,0,2,0,0,0,0,0,0,0,0,8,0,9,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,2,4,2,30,8,2
72,5509,1,0,6,3,18,0,0,0,0,1,1,1,0,0,0,0,4,5,10,10,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,1,0,2,5,20,2,0,0,0
80,6428,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0,0,26,0,18,0,0,4,0,0,0,10,0,0,0,0,0,2,0,0,0,0,2,0,0,0,77,7,1,1,1,16,9,29,8,0
84,6761,3,7,15,0,166,0,0,2,0,4,0,0,1,0,0,0,78,14,54,68,0,13,0,0,0,40,2,0,1,0,0,0,0,0,0,0,12,0,0,4,204,4,1,17,10,23,11,0,1,0
90,7305,1,0,6,0,33,0,0,3,1,0,0,0,9,0,0,1,28,2,95,0,0,2,0,0,0,11,0,0,0,0,0,1,0,1,1,1,0,0,0,3,89,8,2,6,5,24,26,56,7,1
94,7704,2,3,12,0,90,0,0,0,0,2,0,0,0,0,0,0,46,18,82,44,0,12,0,0,0,21,1,0,1,1,0,0,0,0,0,0,3,0,0,2,131,8,1,17,10,18,24,8,7,1
100,8302,0,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,12,1,34,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,4,212,5,0,5,0,10,33,65,12,0
104,8701,2,6,15,0,95,0,0,0,0,1,0,0,0,0,0,0,12,39,59,54,0,10,1,0,0,3,1,0,1,0,0,6,0,0,0,2,6,0,0,1,78,7,1,4,8,26,13,3,11,2
112,9498,10,0,20,0,49,0,0,4,3,0,1,0,5,0,0,0,91,32,72,30,0,6,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,2,90,17,5,20,11,9,10,28,5,0
