"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Picea.mariana.type","Pinus.undiff.","Quercus","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Acer.spicatum","Artemisia","Fraxinus.pennsylvanica.type","Larix","Tilia","Myrica.gale","Nemopanthus.mucronatus","Juglans.cinerea","Salix","Rubiaceae","Carya.ovata","Taxus","Asteraceae.subf..Asteroideae.undiff.","Rosaceae","Castanea.dentata","Ambrosia.type","Corylus.cornuta","Amaranthaceae","Populus.tremuloides.type","Populus.balsamifera.type","Thalictrum","Fabaceae","Viburnum.edule","Picea.glauca.type","Polygonaceae","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Shepherdia.canadensis","Caryophyllaceae","Ericaceae","Ranunculaceae.undiff.","Saxifragaceae","cf..Oxyria.digyna","Onagraceae"
10,498,533,4,1,13,7,378,1,11,2,11,44,4,1,5,1,10,1,2,20,2,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1494,473,3,0,11,3,323,0,11,1,12,50,3,3,7,0,7,0,0,18,0,1,12,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1992,511,0,0,7,3,337,1,11,0,14,52,5,1,3,0,9,5,1,21,19,3,13,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2989,577,0,0,9,0,381,1,7,3,12,77,8,1,3,0,14,4,0,39,7,1,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3985,529,3,0,21,2,369,2,11,6,2,50,5,6,0,0,5,5,3,29,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4981,663,2,2,22,0,420,1,7,4,16,77,14,3,0,1,5,3,1,59,0,0,10,0,0,3,1,0,0,1,1,0,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,5758,653,2,0,17,5,401,1,1,4,9,89,5,2,0,1,3,1,6,55,1,12,11,3,0,0,4,0,1,1,0,0,1,1,7,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,6404,524,1,1,31,7,287,0,1,8,6,80,12,7,0,0,9,4,1,41,0,10,6,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,7049,618,0,1,39,20,273,3,2,8,10,118,23,4,1,0,9,2,3,60,0,2,9,0,2,3,4,0,2,0,0,2,0,0,11,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,7695,392,0,0,1,6,227,0,1,3,7,64,10,4,1,1,8,1,4,29,0,5,8,1,1,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,8020,503,0,1,9,13,283,1,1,5,11,73,14,8,0,1,11,0,3,19,0,4,13,4,3,1,1,0,1,0,0,0,0,0,9,0,0,0,2,2,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,8384,481,0,0,9,26,249,4,0,7,18,53,11,6,0,3,10,0,5,40,0,1,15,0,2,1,1,0,4,0,0,1,0,0,4,0,0,0,1,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,8749,436,0,0,8,35,273,0,0,2,7,40,4,2,0,0,10,0,4,17,0,0,10,0,0,0,1,0,3,0,1,0,0,1,2,0,0,0,1,0,0,12,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
220,9113,763,0,1,5,67,450,1,2,2,11,94,12,4,0,3,25,0,10,25,0,2,18,0,0,0,3,0,3,0,1,4,0,0,3,0,0,0,0,1,0,13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230,9477,435,0,0,0,68,215,2,0,2,12,41,11,4,0,0,14,0,2,18,0,0,9,1,1,1,0,0,3,0,0,1,0,0,1,0,0,0,2,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,9842,611,0,0,22,336,128,0,0,1,7,34,11,1,1,0,2,0,6,8,0,0,29,0,1,0,0,0,4,0,0,4,0,1,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,10206,608,0,0,2,372,73,3,0,0,35,8,9,3,0,0,0,0,13,6,0,2,39,0,4,0,0,0,7,0,0,1,0,0,0,2,1,0,0,1,2,22,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
255,NA,403,0,0,0,85,136,1,0,0,36,26,9,1,0,1,2,0,15,12,0,0,43,0,10,0,0,0,11,0,0,1,0,0,0,1,1,1,1,2,0,4,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
260,NA,620,0,0,2,17,456,15,0,0,7,7,15,3,3,7,0,0,12,17,0,0,6,0,7,0,0,0,4,0,0,23,0,1,0,0,0,0,1,0,1,11,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
265,NA,354,0,0,0,20,76,53,0,1,11,18,4,1,0,36,0,0,31,8,0,5,5,0,20,0,0,0,0,0,0,44,0,0,0,6,1,0,2,0,1,1,0,3,1,0,1,0,0,0,0,1,1,3,0,0,0
270,NA,271,0,0,7,13,24,52,0,0,16,5,7,3,3,26,0,0,28,6,0,0,5,0,9,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,2,0,0,1,1,0,0,0,1,0,0,8,0,0,1,45,0
280,NA,530,0,0,7,19,44,62,0,0,50,6,4,1,0,47,0,0,66,7,0,6,9,0,37,0,0,0,1,0,0,15,0,0,0,14,1,0,5,0,2,0,0,0,1,0,0,0,3,0,0,8,0,0,1,114,0
300,NA,322,0,0,4,2,17,38,0,2,35,5,7,5,1,46,0,0,84,3,0,1,8,0,11,1,0,0,0,0,0,39,0,0,0,4,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,1
320,NA,156,0,0,0,2,29,8,0,0,16,3,4,3,0,7,0,1,62,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
