"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Betula","Carya","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Herbs.undiff.","Ostrya.Carpinus","Quercus","Salix","Tilia","Ulmus","Acer","Fraxinus","Juglans","Pinus","Amaranthaceae","Poaceae","Picea","Alnus","Artemisia","Larix"
0,0,291,6,46,2,6,10,4,11,60,3,2,48,10,3,3,7,4,3,35,5,23,0,0,0,0
11,164,266,4,16,2,5,4,4,6,59,4,3,68,4,1,5,6,1,2,43,2,24,1,2,0,0
31,1373,257,1,12,5,14,6,0,5,60,8,0,76,0,4,0,3,0,3,36,5,19,0,0,0,0
41,1977,382,4,9,6,7,6,5,3,85,5,4,98,0,1,1,4,2,7,82,5,39,2,5,2,0
51,2581,230,4,16,1,8,3,1,3,49,6,1,31,2,4,1,2,1,1,60,9,21,2,2,2,0
58,3004,256,7,17,1,5,5,2,3,53,3,2,54,2,2,2,3,2,2,65,3,18,0,1,4,0
65,3427,226,3,5,3,6,5,0,0,51,4,1,52,2,2,2,4,0,2,60,2,17,0,4,1,0
79,4274,254,3,18,0,2,10,0,10,52,0,0,44,5,3,0,9,3,0,67,10,17,0,0,1,0
86,4697,294,0,14,2,7,9,0,5,97,2,4,49,0,6,7,5,2,4,50,6,19,0,2,4,0
93,4927,322,5,27,0,7,17,0,0,93,4,2,61,3,6,10,8,2,5,45,6,18,0,0,3,0
104,5238,447,2,20,0,0,22,0,2,137,4,0,114,4,1,5,6,5,2,95,3,21,0,4,0,0
127,5889,382,7,24,0,1,9,5,1,143,6,2,76,0,1,5,3,2,0,60,5,26,2,1,3,0
139,6229,309,6,20,0,2,10,0,0,107,6,4,45,4,4,15,10,0,1,43,7,21,0,0,4,0
147,6455,288,4,23,0,5,5,0,0,91,4,0,48,0,4,12,5,0,3,35,22,22,0,2,3,0
155,6681,285,2,12,2,3,7,1,1,95,2,0,50,5,4,6,4,2,0,52,15,20,0,1,1,0
163,6908,314,4,34,0,6,7,2,4,97,2,5,62,0,3,0,8,0,0,37,12,28,0,2,1,0
171,7134,444,4,35,2,12,3,3,8,101,5,6,106,1,2,24,18,1,4,52,2,48,0,3,4,0
179,7361,314,10,18,0,7,3,0,0,97,1,4,60,0,0,18,6,2,2,52,4,28,0,0,2,0
187,7587,416,7,30,1,11,1,4,0,92,2,6,77,5,1,23,6,0,2,92,10,44,0,0,2,0
195,7813,328,6,25,0,3,8,0,2,130,1,4,16,0,4,7,0,2,2,80,10,28,0,0,0,0
201,7983,315,6,22,0,1,6,1,0,132,0,0,20,0,0,10,6,0,0,70,10,24,0,4,3,0
207,8153,375,2,84,2,2,8,3,0,121,1,0,40,6,4,6,4,0,0,65,4,20,2,1,0,0
213,8435,413,2,96,0,4,10,2,1,142,3,0,20,0,7,0,0,0,1,68,6,48,0,0,3,0
220,8765,730,15,15,2,24,5,11,5,118,3,17,101,10,0,51,8,2,3,188,2,33,4,103,2,8
228,9142,338,5,35,0,5,4,0,0,131,0,0,20,0,3,3,1,3,0,62,13,50,0,0,3,0
236,9518,365,10,35,0,2,0,0,0,141,1,1,35,0,2,0,8,0,2,70,10,34,4,0,10,0
243,9848,335,7,26,0,1,10,1,3,132,1,1,31,2,1,2,10,2,1,62,10,24,6,2,0,0
250,10177,316,6,26,3,5,2,0,1,121,1,0,44,3,1,5,1,2,0,55,3,30,5,2,0,0
256,10460,381,10,30,5,2,12,1,0,150,0,0,35,3,0,4,0,6,4,58,12,35,8,1,3,2
262,10741,301,8,38,2,2,8,2,0,72,1,1,21,4,4,3,0,6,0,51,6,35,22,5,0,10
266,10929,286,4,1,10,0,1,0,0,27,1,0,7,0,0,3,0,2,0,28,1,12,163,4,0,22
271,11072,236,0,0,6,0,0,0,0,31,0,0,2,0,0,0,0,1,0,18,0,8,158,0,0,12
276,11215,288,0,0,6,0,0,0,0,40,2,0,0,0,0,0,0,2,0,12,0,15,199,5,0,7
281,11359,249,0,2,8,0,0,0,0,20,1,0,0,0,0,1,0,2,0,8,0,12,187,0,0,8
296,11789,365,2,0,14,0,0,0,0,22,0,0,3,0,0,5,0,3,0,7,3,14,276,7,1,8
299,11875,365,0,1,17,0,0,0,0,23,0,0,2,0,0,0,0,1,0,12,0,10,289,1,0,9
301,11932,281,2,2,8,0,0,0,0,31,0,0,3,0,0,0,0,0,0,9,0,12,204,0,0,10
307,12104,332,0,8,12,0,2,0,0,30,0,0,0,0,0,0,0,4,0,6,0,20,237,4,0,9
