"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Galium","Asteraceae.subf..Cichorioideae","Picea","Ranunculaceae.undiff.","Rumex","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Myrica","Pinus","Populus","Poaceae","Solanaceae","Ericales","Juniperus","cf..Myrica","Caryophyllaceae","Ulmus","Brassicaceae","Rosaceae","Nemopanthus","Taxus","Quercus","Salix","Viburnum","Carya","Castanea","Cornus","Corylus","Artemisia","Fagus","Ostrya","Ambrosia","Acer","Tofieldia"
0,-31,302,39,17,3,1,1,27,1,9,1,4,16,12,2,37,115,1,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-21,319,23,25,3,0,1,62,1,12,0,5,16,6,5,0,126,2,7,2,8,7,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-11,337,39,30,17,0,5,33,0,17,0,5,15,14,13,18,106,0,3,2,12,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8,332,39,28,11,0,1,45,0,15,0,3,17,13,3,0,130,0,6,2,13,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,28,302,17,22,9,0,3,20,0,17,1,10,24,13,4,13,125,0,8,1,10,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
40,47,119,16,5,6,0,1,36,0,7,0,3,8,4,1,0,24,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,67,309,20,55,9,1,3,55,1,12,0,8,39,23,0,0,64,0,7,1,8,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
55,76,306,19,28,2,0,0,67,0,20,0,1,18,10,6,0,104,0,7,4,15,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,86,149,18,40,1,0,0,33,1,3,0,0,10,6,1,0,11,0,6,0,12,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,106,317,31,80,3,0,1,83,2,8,2,3,47,14,6,0,10,0,11,2,10,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
80,125,307,38,89,2,0,0,90,2,4,0,3,33,12,4,0,3,0,8,0,12,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
85,220,644,108,274,3,0,0,157,1,0,1,1,21,23,22,0,2,0,4,3,10,0,0,0,1,0,2,5,2,0,0,1,2,1,0,0,0,0,0,0
90,398,319,52,148,0,0,0,71,0,0,1,0,11,6,11,0,3,0,4,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,577,304,45,143,1,0,0,68,1,0,0,0,6,13,5,0,1,0,3,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,756,367,40,177,1,0,0,90,0,0,1,1,12,7,7,0,1,0,9,1,14,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0
103,864,313,41,155,4,0,0,82,1,0,0,1,2,13,6,0,1,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1114,335,54,153,0,0,0,89,1,0,0,0,4,7,8,0,0,0,4,2,4,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0
120,1472,329,44,133,0,0,0,74,0,0,0,0,6,16,8,0,0,0,4,0,41,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1830,401,52,181,0,0,0,69,0,0,0,3,13,16,14,0,0,0,2,0,40,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
140,2188,375,65,173,3,0,0,90,0,0,0,0,4,8,8,1,0,0,4,1,7,0,1,0,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0
150,2546,345,48,172,0,0,0,69,0,0,0,3,10,16,15,0,1,0,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2904,331,50,109,3,0,0,124,0,0,0,0,9,5,9,0,1,0,6,0,8,0,0,0,3,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0
170,3261,320,34,152,1,0,0,92,1,0,0,0,5,11,14,0,1,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
