"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Onagraceae","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Salix.undiff.","Fagus","Rosaceae.undiff.","Acer.saccharum","Tsuga.canadensis","Rubus.chamaemorus","Juniperus.communis.Thuja.occidentalis.type","Asteraceae.subf..Cichorioideae","Viburnum","Myrica.gale","Ranunculaceae","Carya.ovata","Potentilla.palustris.type","Picea.glauca.type","cf..Oxyria.digyna","Brassicaceae","Populus.balsamifera.type","Fraxinus.nigra.type","Populus.tremuloides.type","Juglans.cinerea","Salix.herbacea.type","Amaranthaceae","Ilex.Nemopanthus","Caryophyllaceae","Fabaceae","Taxus","Fraxinus.americana.type"
10,565,0.00196850393700787,0.200787401574803,0.00393700787401575,0.0078740157480315,0.326771653543307,0.0807086614173228,0.0118110236220472,0.0137795275590551,0.00196850393700787,0.183070866141732,0.0236220472440945,0.00196850393700787,0.00196850393700787,0.00393700787401575,0.00590551181102362,0.0196850393700787,0.00196850393700787,0.00393700787401575,0.0216535433070866,0.00196850393700787,0.0728346456692913,0.0078740157480315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,848,0.00472813238770686,0.1725768321513,0,0.00709219858156028,0.361702127659574,0.08274231678487,0.0141843971631206,0.00945626477541371,0,0.264775413711584,0.00472813238770686,0,0.00472813238770686,0,0.00472813238770686,0.00709219858156028,0,0.00236406619385343,0.0260047281323877,0.00472813238770686,0.0189125295508274,0,0.00236406619385343,0.00236406619385343,0.00236406619385343,0.00236406619385343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1414,0,0.18006993006993,0,0.00524475524475524,0.293706293706294,0.0664335664335664,0.006993006993007,0.00524475524475524,0,0.227272727272727,0.00874125874125874,0,0.00174825174825175,0,0.00174825174825175,0.006993006993007,0,0,0.020979020979021,0,0.16958041958042,0.00174825174825175,0,0,0,0,0.00174825174825175,0.00174825174825175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1979,0.00453514739229025,0.064625850340136,0.00226757369614512,0.00566893424036281,0.23015873015873,0.0612244897959184,0.0192743764172336,0.00680272108843537,0,0.36281179138322,0.00680272108843537,0.00113378684807256,0,0.00113378684807256,0,0.0102040816326531,0,0,0.0283446712018141,0,0.18140589569161,0.00793650793650794,0,0,0,0.00113378684807256,0,0,0.00113378684807256,0.00226757369614512,0.00113378684807256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2093,0,0.186170212765957,0,0.00709219858156028,0.269503546099291,0.0390070921985816,0.00531914893617021,0,0,0.372340425531915,0.00709219858156028,0,0,0,0,0.0124113475177305,0,0,0.0230496453900709,0,0.0656028368794326,0.00354609929078014,0,0,0,0,0,0,0,0,0.00531914893617021,0.00354609929078014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2223,0.00710479573712256,0.124333925399645,0,0.0088809946714032,0.188277087033748,0.019538188277087,0.0088809946714032,0.00355239786856128,0,0.344582593250444,0.00532859680284192,0,0,0.00355239786856128,0,0.00355239786856128,0,0,0.0142095914742451,0.00710479573712256,0.253996447602131,0.00177619893428064,0,0,0,0,0,0,0,0,0.00177619893428064,0,0.00177619893428064,0.00177619893428064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2385,0.0016,0.2816,0.0016,0.0032,0.2864,0.04,0.0112,0,0,0.2176,0.0048,0.0032,0.0016,0,0.0048,0.0064,0,0,0.016,0.0016,0.112,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2499,0,0.214159292035398,0,0.00707964601769911,0.260176991150442,0.0336283185840708,0.0088495575221239,0,0,0.368141592920354,0.00353982300884956,0,0,0.00176991150442478,0.00176991150442478,0.00707964601769911,0,0,0.015929203539823,0,0.0690265486725664,0.00176991150442478,0,0,0,0,0,0,0,0,0.00353982300884956,0,0,0,0,0.00353982300884956,0,0,0,0,0,0,0,0,0,0,0,0
75,2629,0,0.288052373158756,0,0.00327332242225859,0.245499181669394,0.0130932896890344,0.0130932896890344,0.00327332242225859,0,0.191489361702128,0.00654664484451719,0.0016366612111293,0,0,0.00490998363338789,0.0147299509001637,0,0,0.0114566284779051,0,0.198036006546645,0.0016366612111293,0,0.0016366612111293,0,0,0,0,0,0,0,0,0,0,0,0,0.0016366612111293,0,0,0,0,0,0,0,0,0,0,0
85,2792,0.00381679389312977,0.265267175572519,0.00190839694656489,0.00763358778625954,0.320610687022901,0.0190839694656489,0.00763358778625954,0.00190839694656489,0,0.301526717557252,0.00190839694656489,0,0.00381679389312977,0,0,0.0152671755725191,0,0.00190839694656489,0.017175572519084,0,0.0267175572519084,0,0.00190839694656489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190839694656489,0,0,0,0,0,0,0,0,0,0
