"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiineae","Cyperaceae","Epilobium","Galium","Iva.annua.type","Plantago","Poaceae","Ranunculus","Rosaceae","Rumex","Thalictrum","Xanthium"
14,200,0,0,0.0118343195266272,0.0029585798816568,0.0355029585798817,0.0133136094674556,0.00443786982248521,0,0,0,0,0.0014792899408284,0.0029585798816568,0.0014792899408284,0,0.0029585798816568,0,0.0103550295857988,0.0103550295857988,0.00443786982248521,0.0887573964497041,0,0,0.0547337278106509,0.0029585798816568,0,0.022189349112426,0.00739644970414201,0.0236686390532544,0.0014792899408284,0.152366863905325,0.0014792899408284,0.00443786982248521,0.0133136094674556,0.0029585798816568,0.0029585798816568,0,0.0458579881656805,0.39792899408284,0,0,0,0.0133136094674556,0.0576923076923077,0.0029585798816568,0,0.0014792899408284,0,0
16,232,0,0,0.0658823529411765,0.00705882352941176,0.0423529411764706,0.0164705882352941,0,0,0.00235294117647059,0,0,0.0141176470588235,0.00705882352941176,0.00470588235294118,0,0.0117647058823529,0,0,0.0117647058823529,0.00941176470588235,0.143529411764706,0,0,0.0752941176470588,0,0,0.0305882352941176,0.0258823529411765,0.00941176470588235,0.00235294117647059,0.2,0.00235294117647059,0.00235294117647059,0.0141176470588235,0,0.00235294117647059,0,0.0117647058823529,0.0823529411764706,0,0,0,0.0141176470588235,0.167058823529412,0.0188235294117647,0,0.00470588235294118,0,0
18,263,0,0,0.0476190476190476,0.0025062656641604,0.0100250626566416,0.0050125313283208,0.0150375939849624,0,0.0025062656641604,0,0,0.0075187969924812,0.0025062656641604,0.012531328320802,0,0.0025062656641604,0,0.0050125313283208,0.0175438596491228,0.0175438596491228,0.192982456140351,0.0025062656641604,0,0.075187969924812,0,0,0.0300751879699248,0.0426065162907268,0.012531328320802,0,0.205513784461153,0,0,0.0175438596491228,0.0025062656641604,0.0050125313283208,0,0.0100250626566416,0.087719298245614,0,0,0,0.012531328320802,0.145363408521303,0.0050125313283208,0.0025062656641604,0.0025062656641604,0,0
20,293,0,0,0.0393120393120393,0.00491400491400491,0.0368550368550369,0.0147420147420147,0.00491400491400491,0,0,0,0,0.00245700245700246,0.00245700245700246,0.00245700245700246,0,0.0122850122850123,0.00245700245700246,0.00491400491400491,0.00737100737100737,0.00491400491400491,0.179361179361179,0,0,0.0786240786240786,0,0,0.0466830466830467,0.0343980343980344,0.0171990171990172,0,0.250614250614251,0,0,0.0294840294840295,0.0122850122850123,0.00491400491400491,0,0.0147420147420147,0.0442260442260442,0,0,0,0.0245700245700246,0.113022113022113,0.00245700245700246,0.00245700245700246,0.00245700245700246,0,0.00245700245700246
22,322,0,0,0.077720207253886,0.00259067357512953,0.0077720207253886,0.00259067357512953,0.0103626943005181,0,0,0,0,0.0155440414507772,0,0,0,0,0,0.00518134715025907,0.00518134715025907,0.0077720207253886,0.194300518134715,0,0,0.0621761658031088,0.00518134715025907,0,0.0595854922279793,0.0595854922279793,0.0103626943005181,0,0.261658031088083,0,0.0103626943005181,0.0155440414507772,0.0077720207253886,0.00518134715025907,0,0.0077720207253886,0.0699481865284974,0,0,0,0.00518134715025907,0.0854922279792746,0.00518134715025907,0,0,0,0
24,349,0,0,0.110294117647059,0,0.0147058823529412,0.0220588235294118,0,0,0,0,0,0.0183823529411765,0,0.00735294117647059,0,0,0,0.0110294117647059,0.00367647058823529,0.0110294117647059,0.290441176470588,0,0,0.0698529411764706,0.00367647058823529,0,0.0625,0.099264705882353,0.0147058823529412,0,0.154411764705882,0,0,0.0183823529411765,0.00735294117647059,0,0,0.00735294117647059,0.0367647058823529,0,0,0,0,0.0367647058823529,0,0,0,0,0
26,375,0,0,0.0626398210290828,0,0.00894854586129754,0.0156599552572707,0.00447427293064877,0,0.00223713646532438,0,0,0,0,0.00223713646532438,0,0,0,0.00447427293064877,0.00671140939597315,0.00671140939597315,0.156599552572707,0,0,0.0447427293064877,0,0,0.0335570469798658,0.0805369127516778,0.0178970917225951,0,0.176733780760626,0.00223713646532438,0.00223713646532438,0.0134228187919463,0.00223713646532438,0.00447427293064877,0,0.00223713646532438,0.225950782997763,0,0,0,0.00447427293064877,0.109619686800895,0.00223713646532438,0,0.00671140939597315,0,0
28,398,0,0,0.131914893617021,0.00425531914893617,0.0127659574468085,0.0127659574468085,0.00425531914893617,0,0.00425531914893617,0,0,0.0297872340425532,0.00851063829787234,0.0127659574468085,0,0,0,0,0.00425531914893617,0.0127659574468085,0.387234042553191,0.00425531914893617,0,0.0851063829787234,0,0,0.0297872340425532,0.0978723404255319,0.0127659574468085,0,0.0680851063829787,0,0,0.0170212765957447,0,0,0,0,0.025531914893617,0,0,0,0.00425531914893617,0.025531914893617,0.00425531914893617,0,0,0,0
30,420,0,0,0.150375939849624,0,0.0150375939849624,0.0112781954887218,0.0037593984962406,0,0,0,0,0.0112781954887218,0.0037593984962406,0.0037593984962406,0,0.0037593984962406,0,0.0075187969924812,0,0.0037593984962406,0.323308270676692,0.0037593984962406,0,0.0639097744360902,0,0,0.0676691729323308,0.0639097744360902,0.0150375939849624,0.0075187969924812,0.0676691729323308,0,0.0112781954887218,0.0112781954887218,0,0.0037593984962406,0,0.0075187969924812,0.0902255639097744,0,0,0,0.0037593984962406,0.0451127819548872,0,0,0,0,0
32,440,0,0,0.114624505928854,0.00395256916996047,0.0237154150197628,0.00395256916996047,0.0118577075098814,0,0,0,0,0.0118577075098814,0,0.0118577075098814,0,0,0,0,0.0118577075098814,0.0158102766798419,0.320158102766798,0,0,0.08300395256917,0,0,0.08300395256917,0.067193675889328,0.0316205533596838,0,0.067193675889328,0,0.00395256916996047,0.0276679841897233,0,0,0,0.0118577075098814,0.0513833992094862,0,0,0,0,0.0395256916996047,0,0,0.00395256916996047,0,0
