"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Fagus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Juniperus.type","Abies.balsamea","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Ostrya.Carpinus","Taxus","Poaceae","Acer.saccharum","Carya.ovata","Pinus.strobus","Ericaceae.undiff.","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Ulmus","Juniperus.communis.Thuja.occidentalis.type","Acer.pensylvanicum","Ambrosia.type","Populus.tremuloides.type","Amaranthaceae","Fraxinus.pennsylvanica.type","Castanea.dentata","Larix","Plantaginaceae","Thalictrum","Salix.undiff.","Caryophyllaceae","Saxifraga.oppositifolia.type","Asteraceae.subf..Asteroideae.undiff.","Vaccinium","Acer.spicatum","Rosaceae.undiff.","Ilex.Nemopanthus","Celtis.occidentalis","Acer.nigrum","Prunus","Fabaceae","Populus.balsamifera.type","Tilia","Viburnum.undiff.","Cornus","Shepherdia.canadensis","Salix.herbacea.type","cf..Oxyria.digyna","Koenigia.islandica","Asteraceae.subf..Cichorioideae","Brassicaceae","Viburnum.nudum","Polygonum.viviparum","Ranunculaceae.undiff."
2,74,0.00903614457831325,0.00903614457831325,0.00301204819277108,0.753012048192771,0.00301204819277108,0.0271084337349398,0.0120481927710843,0.0602409638554217,0.00602409638554217,0.00602409638554217,0.0180722891566265,0.00903614457831325,0.0120481927710843,0.00602409638554217,0.00602409638554217,0.0602409638554217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,260,0.0210727969348659,0.00766283524904215,0,0.726053639846743,0.00191570881226054,0.0153256704980843,0.0114942528735632,0.0670498084291188,0.0134099616858238,0,0.0268199233716475,0.00383141762452107,0,0.00383141762452107,0.0114942528735632,0.0632183908045977,0.00191570881226054,0.00191570881226054,0.00191570881226054,0.00191570881226054,0.00383141762452107,0.00191570881226054,0.0114942528735632,0.00191570881226054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,742,0.00185528756957328,0.00742115027829314,0,0.782931354359926,0.00185528756957328,0.00371057513914657,0.0185528756957328,0.0445269016697588,0,0.00371057513914657,0.012987012987013,0.00371057513914657,0.0111317254174397,0.00742115027829314,0.00371057513914657,0.0445269016697588,0.00556586270871985,0,0,0,0.00371057513914657,0,0.0148423005565863,0.00185528756957328,0.00742115027829314,0.00371057513914657,0.00556586270871985,0.00371057513914657,0.00556586270871985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1113,0.0192307692307692,0.00961538461538462,0,0.853365384615385,0.0144230769230769,0,0.00480769230769231,0.00961538461538462,0.0120192307692308,0.00240384615384615,0.00961538461538462,0,0.00961538461538462,0.00240384615384615,0.0120192307692308,0.00480769230769231,0.00240384615384615,0,0,0,0.00480769230769231,0,0.00961538461538462,0,0.00240384615384615,0.00480769230769231,0,0,0,0.00480769230769231,0.00240384615384615,0.00240384615384615,0.00240384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1484,0.0150537634408602,0.0129032258064516,0,0.765591397849462,0.0129032258064516,0,0.0021505376344086,0.0494623655913978,0.00860215053763441,0,0.0150537634408602,0.010752688172043,0.0021505376344086,0.0021505376344086,0.0064516129032258,0.0559139784946237,0,0.0064516129032258,0.0043010752688172,0,0,0,0.0064516129032258,0.0064516129032258,0.0021505376344086,0,0,0.0043010752688172,0,0,0.0021505376344086,0,0,0.0064516129032258,0.0021505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1855,0.0066815144766147,0.0111358574610245,0,0.824053452115813,0.0089086859688196,0,0.0155902004454343,0.0111358574610245,0.0200445434298441,0,0.0066815144766147,0.0022271714922049,0.0066815144766147,0,0.0111358574610245,0.0267260579064588,0,0,0.0022271714922049,0,0.0044543429844098,0,0.022271714922049,0,0.0044543429844098,0,0.0022271714922049,0.0066815144766147,0,0,0,0,0,0.0022271714922049,0,0.0022271714922049,0.0022271714922049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2226,0.0266429840142096,0.00355239786856128,0,0.754884547069272,0.00355239786856128,0,0.00177619893428064,0.0568383658969805,0.0230905861456483,0,0.0106571936056838,0.00177619893428064,0.0088809946714032,0,0.00355239786856128,0.0568383658969805,0.00177619893428064,0.00177619893428064,0,0,0.00355239786856128,0,0.0124333925399645,0,0.00355239786856128,0.00532859680284192,0,0.00710479573712256,0,0.00532859680284192,0,0,0,0.00177619893428064,0,0.00177619893428064,0,0.00177619893428064,0.00177619893428064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2967,0.023961661341853,0.00958466453674121,0,0.782747603833866,0.00159744408945687,0.00479233226837061,0.00159744408945687,0.0543130990415335,0.0159744408945687,0.00159744408945687,0.00638977635782748,0.00479233226837061,0.00798722044728434,0,0.00479233226837061,0.0351437699680511,0.00159744408945687,0.00319488817891374,0,0.00159744408945687,0.00479233226837061,0,0.0223642172523962,0,0,0.00159744408945687,0,0.00479233226837061,0,0.00159744408945687,0,0,0,0,0,0,0,0,0,0.00159744408945687,0.00159744408945687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3338,0.0276073619631902,0.00153374233128834,0,0.822085889570552,0.00766871165644172,0,0.00460122699386503,0.0138036809815951,0.0199386503067485,0.00153374233128834,0.00920245398773006,0.00153374233128834,0.00460122699386503,0,0.00306748466257669,0.0322085889570552,0.00153374233128834,0.00153374233128834,0,0.00153374233128834,0.00920245398773006,0,0.0199386503067485,0,0.00613496932515337,0.00460122699386503,0,0.00153374233128834,0,0,0,0,0,0,0.00153374233128834,0,0,0,0,0,0,0.00153374233128834,0.00153374233128834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3709,0.0151515151515152,0.0151515151515152,0,0.638528138528139,0.00216450216450216,0.0238095238095238,0.00216450216450216,0.0887445887445888,0.025974025974026,0,0.00216450216450216,0.0064935064935065,0.00216450216450216,0.00432900432900433,0.0064935064935065,0.0627705627705628,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.0064935064935065,0,0.0562770562770563,0,0.0064935064935065,0.00865800865800866,0,0.00216450216450216,0,0.0064935064935065,0,0,0,0.00432900432900433,0,0,0,0,0,0,0,0,0,0.00216450216450216,0.00216450216450216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
