"sample.depths","sample.ages","Alnus","Amaranthaceae","Ambrosia","Aster","Asteraceae.undiff.","Avicennia","Betula","Bumelia","Bursera.simaruba","Carya","Casuarina","Celtis","Cephalanthus","cf..Acanthaceae","cf..Coccoloba","Cladium","Conocarpus","Cornus","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Cyrilla.racemiflora","Decodon.verticillatus","Ephedra","Ericaceae","Euphorbiaceae","Fabaceae.undiff.","Fagus","Fraxinus","Hippocratea","Ilex","Juglans","Liquidambar","Melaleuca","Myrica","Nymphaea","Ostrya.Carpinus","Pinus","Poaceae","Polygonaceae","Quercus","Rhizophora","Sagittaria","Salix","Schinus","Sophora","Trema","Typha","Unknown..monolete.","Unknown..tetracolporate.","Unknown..tetrad..triporate.","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Utricularia"
1,-42,0,6,2,0,6,2,2,8,0,0,8,2,0,2,0,0,2,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,48,0,0,18,8,0,2,0,2,0,0,0,0,0,4,2,0,2,4,0
3,-35,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,2,0,20,0,0,68,2,0,2,4,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0
5,-29,2,10,0,10,2,10,0,10,12,4,8,2,0,0,0,2,14,0,0,12,0,10,0,0,14,18,0,0,0,4,0,0,0,62,0,0,116,0,0,18,18,0,0,2,2,0,0,0,0,2,2,0,6,6,22,0
7,-23,0,2,0,20,4,2,0,12,2,0,4,0,0,0,0,2,4,0,0,0,0,0,0,0,12,12,0,0,2,0,0,0,0,96,0,0,76,0,0,16,12,0,4,0,0,0,0,0,0,0,0,2,0,10,12,0
9,-16,2,2,4,10,4,0,0,6,0,0,4,0,0,0,0,2,0,0,0,0,0,2,0,0,8,4,0,0,0,0,0,0,2,64,0,0,106,2,0,4,12,0,0,2,0,0,0,0,0,0,0,4,8,4,0,0
11,-10,2,2,4,6,16,22,4,10,2,2,12,0,0,0,0,0,2,0,0,6,0,0,0,0,18,10,0,0,0,0,0,0,0,58,0,0,90,0,0,14,14,2,0,0,0,0,0,0,0,0,0,4,6,24,10,0
13,5,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,4,0,0,14,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0
15,20,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,12,0,0,14,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
17,35,0,2,0,8,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,20,0,0,2,0,0,0,0,68,0,0,128,0,0,2,4,0,0,0,0,0,0,0,0,0,0,8,2,4,0,0
19,50,2,8,0,48,6,0,0,16,4,0,0,0,0,0,4,6,10,2,0,6,0,0,0,0,10,20,0,0,2,0,0,0,0,118,0,0,92,0,0,26,14,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0
