"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans","Larix","Lycopodium.type","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Populus","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus"
0,0,9,6,5,1,12,0,1,0,0,138,1,1,0,0,1,4,0,8,0,0,14,0,3,1,2,34,13,4,0,1,6,1,5,0,0,0,0,0,1,0,0,3,0,13
20,100,9,6,19,0,7,0,1,0,0,127,0,1,0,3,0,7,2,9,0,0,3,0,6,0,1,38,13,3,0,0,9,0,3,0,0,0,0,0,1,0,0,2,0,3
40,200,13,4,12,0,3,0,0,1,0,177,1,0,0,0,2,8,4,4,0,0,1,0,0,1,1,77,18,23,0,0,0,0,5,0,0,0,0,0,0,0,0,14,0,2
60,644,10,1,12,0,1,1,2,0,0,162,0,0,0,1,0,7,3,5,0,0,0,0,1,0,0,42,26,13,0,0,2,0,5,0,0,0,0,0,1,0,0,9,0,1
80,1089,6,1,8,0,0,0,3,1,0,135,0,0,0,3,0,10,2,9,0,0,4,0,1,0,3,19,22,2,0,0,0,0,2,0,0,0,0,0,1,0,1,7,0,1
100,1533,5,1,12,1,0,0,1,0,0,102,1,2,0,3,1,4,1,5,0,1,2,0,1,0,2,20,6,22,0,0,1,0,4,0,0,0,0,0,1,0,0,2,0,4
130,2200,5,1,10,0,0,0,0,0,0,105,0,2,0,2,1,1,3,8,0,0,1,0,0,0,0,15,36,11,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,3
150,2645,0,2,16,0,0,0,0,0,0,109,0,0,0,2,0,5,1,8,0,0,0,0,0,0,1,17,30,23,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,6
170,3089,3,0,14,0,0,1,0,0,0,122,0,0,0,1,0,2,3,16,0,0,1,0,0,0,1,13,34,27,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
190,3534,38,0,4,0,0,0,0,0,0,55,0,0,0,3,0,3,1,5,0,0,1,0,1,0,0,34,51,76,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,3
210,3978,24,0,6,0,0,0,0,0,0,191,0,2,0,4,1,7,4,18,2,0,0,0,1,0,1,14,72,26,0,0,0,0,5,1,0,0,0,0,0,0,0,5,1,3
230,4423,22,1,4,0,0,0,0,0,0,113,0,1,0,0,0,1,1,4,1,0,1,1,0,0,0,20,13,30,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,2
250,4867,21,3,11,0,0,0,0,1,0,197,1,0,0,1,0,2,3,4,0,1,2,1,0,0,1,19,28,45,0,0,0,0,3,1,0,0,0,0,0,0,0,25,0,3
270,5312,9,2,11,0,0,0,0,0,0,189,0,2,0,0,0,1,1,10,0,0,1,0,0,0,1,7,27,10,0,0,0,0,5,1,0,0,0,0,0,0,0,18,0,1
310,6201,2,5,17,1,0,0,0,0,0,178,0,0,0,1,0,1,0,10,1,0,0,0,0,0,1,13,14,29,0,0,0,0,7,1,0,1,0,0,0,0,0,9,0,10
330,6645,9,3,4,0,1,0,0,1,0,91,0,0,0,0,0,1,2,5,0,0,2,0,0,1,1,12,49,30,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,2
350,7090,16,4,3,1,1,0,0,0,0,135,0,0,0,0,0,4,2,2,0,0,4,0,0,0,1,32,167,45,0,0,0,0,16,0,0,0,0,0,0,0,0,17,0,7
370,7534,5,3,4,0,1,0,0,0,0,37,0,0,0,0,0,1,0,8,0,0,3,0,0,0,2,14,81,35,0,0,0,0,8,0,0,1,0,0,0,0,0,2,0,7
390,7979,15,1,6,0,1,0,0,0,0,75,0,0,0,0,0,1,0,3,0,0,2,0,0,0,1,12,83,31,0,0,0,1,11,0,0,0,0,0,0,0,0,3,0,6
410,8423,7,4,5,0,0,0,1,0,0,106,1,0,0,1,0,1,0,6,0,1,4,0,0,0,4,20,87,16,0,0,1,0,8,0,0,0,0,0,0,0,0,1,1,3
430,8867,54,0,4,0,0,0,1,1,0,118,0,0,0,0,0,1,1,5,0,2,2,0,0,0,0,58,78,20,0,0,1,0,8,0,0,0,0,0,0,0,0,3,0,1
450,9312,32,1,4,0,1,0,0,0,0,101,0,0,0,0,0,1,0,6,0,1,5,0,0,0,1,29,73,12,0,0,0,0,5,0,0,1,0,0,0,0,0,3,0,1
470,9756,43,1,14,1,0,0,0,0,0,148,0,0,0,2,0,0,4,15,1,3,1,0,0,0,6,22,114,12,0,0,3,0,19,0,0,0,0,0,0,0,0,1,1,5
490,10201,10,1,20,0,0,0,0,0,0,107,0,1,0,1,0,0,0,8,1,2,0,0,0,0,3,13,33,4,0,0,0,0,6,1,0,1,0,0,1,0,0,0,0,1
510,10645,11,0,17,0,0,0,0,0,0,116,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,13,26,4,0,0,0,0,11,0,0,1,0,0,0,0,0,1,0,1
530,11090,16,2,68,1,0,0,0,1,0,72,0,1,0,2,0,0,1,7,0,3,0,0,0,0,2,35,17,11,0,0,2,1,11,1,0,3,0,0,0,0,0,0,0,1
550,11833,5,0,6,0,0,0,0,1,0,7,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,144,23,4,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
570,12576,0,0,8,6,1,0,14,6,0,36,0,0,0,114,1,0,0,31,0,0,1,0,0,0,2,38,82,2,0,2,17,0,0,0,0,20,0,0,1,0,0,1,0,0
590,13320,1,1,3,0,1,0,3,0,0,124,0,0,0,10,0,0,0,3,0,0,1,0,0,0,0,32,28,1,0,0,3,0,2,0,0,14,0,0,0,0,0,0,0,0
600,13691,0,0,34,1,0,0,12,2,0,44,0,1,0,12,0,1,0,26,1,0,1,0,0,0,7,45,27,6,26,0,26,0,3,2,4,3,0,0,3,2,0,1,0,2
605,13877,0,0,15,1,1,0,33,3,1,46,1,1,0,15,2,0,0,17,0,0,0,1,0,0,2,45,33,4,29,0,24,0,3,5,6,18,0,0,1,1,0,1,0,1
610,14063,1,0,4,0,1,0,8,4,0,14,0,0,0,5,0,0,0,8,0,0,2,0,0,0,5,28,17,4,6,0,10,0,0,0,6,17,0,0,1,1,0,1,0,0
615,14249,1,0,25,1,4,0,14,3,0,22,0,1,0,13,0,0,1,22,0,0,1,0,0,0,4,27,26,3,24,0,18,0,3,4,4,18,0,0,0,0,0,0,1,1
620,14434,0,0,10,1,0,0,7,5,1,7,0,0,2,14,1,0,0,11,0,0,3,1,0,0,0,13,9,2,15,0,15,0,1,1,2,19,0,1,2,0,0,0,0,0
625,14620,0,1,4,0,1,0,12,6,0,8,0,0,0,5,0,0,0,18,0,0,4,0,0,0,0,23,8,0,14,0,11,0,1,1,0,25,1,0,2,0,0,0,0,1
