"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Caryophyllaceae","Cyperaceae","Equisetum","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus","Huperzia.selago","Isoëtes","Larix","Lycopodiaceae.undiff.","Nuphar","Onagraceae","Picea","Pinus","Platanus","Poaceae","Quercus","Rubus","Salix","Selaginella","Sphagnum","Unknown","Woodsia"
0,11,18,25,0,0,1,1,44,0,8,22,1,1,2,0,0,21,5,1,0,1,141,7,1,1,0,1,1,0,4,4,0
10,235,20,18,0,1,1,1,45,0,11,21,3,0,2,0,0,16,1,2,0,0,131,4,0,4,0,0,1,0,5,2,0
20,460,15,33,0,0,1,1,34,0,8,21,1,0,3,0,0,23,1,1,0,0,181,0,0,3,0,1,0,0,4,1,0
30,685,14,22,0,1,1,1,29,0,12,22,2,0,1,0,0,29,1,2,0,0,183,2,0,1,0,0,1,0,5,3,0
40,910,25,23,1,0,1,1,23,0,4,15,2,0,1,0,0,14,0,1,0,0,228,6,0,1,0,1,0,0,4,1,0
50,1135,19,21,0,1,0,1,26,0,8,19,1,1,2,0,0,14,0,3,0,2,151,6,0,2,0,0,1,1,5,2,0
60,1359,25,46,0,0,1,1,44,0,6,32,1,0,7,0,0,16,0,4,0,0,179,2,0,1,0,0,2,0,5,0,0
70,1584,21,69,0,0,0,1,41,0,6,47,3,0,2,0,0,14,1,8,0,1,162,5,0,1,0,1,1,0,4,0,0
80,1809,29,28,0,0,1,1,43,0,7,69,1,0,1,0,0,7,0,2,0,0,188,4,0,0,0,0,0,0,4,0,0
100,2258,17,28,0,0,1,1,35,0,2,23,2,0,1,1,0,5,0,2,0,0,159,1,0,1,1,0,0,0,3,1,1
110,2629,14,51,0,0,1,1,37,0,2,33,4,0,3,0,0,10,0,3,0,0,158,1,0,2,0,1,1,1,4,1,0
120,3000,33,35,0,1,1,1,45,0,7,53,3,0,2,0,0,6,0,4,0,0,191,2,0,1,0,1,0,1,5,3,0
130,3371,35,55,0,0,1,1,62,0,6,32,1,0,1,0,0,3,0,3,1,0,217,1,0,1,0,1,1,1,3,2,0
140,3742,34,80,1,0,1,1,59,0,9,15,1,0,7,0,0,7,0,6,1,0,178,2,0,2,0,1,1,1,7,3,0
150,4113,27,55,0,0,1,1,43,1,2,11,2,0,3,0,1,1,0,6,1,0,129,2,0,0,0,0,1,0,0,1,0
160,4484,14,62,0,0,0,1,45,1,9,7,2,0,4,0,0,3,0,3,1,0,91,4,0,1,0,1,1,0,5,2,0
170,4855,19,40,0,0,0,1,27,0,3,4,1,0,2,0,1,2,0,3,0,0,123,2,0,0,0,1,1,0,1,2,0
180,5064,16,39,0,0,0,1,33,0,4,6,1,0,0,0,0,2,0,2,0,0,208,1,0,1,0,0,0,0,2,1,0
200,5161,28,44,0,0,0,0,55,0,2,6,0,0,0,0,0,3,0,3,1,0,192,4,0,0,0,0,0,0,2,1,0
210,5209,20,31,0,0,1,0,28,1,2,4,1,0,0,0,0,1,0,1,0,0,128,3,0,1,0,0,1,0,0,0,0
220,5257,13,62,0,0,0,2,59,0,5,6,1,0,1,0,0,3,0,2,0,0,228,2,0,0,0,0,0,0,2,4,0
230,5305,21,21,0,0,0,1,40,0,5,3,1,0,1,0,1,1,0,1,0,0,153,2,0,0,0,0,0,0,2,2,0
235,NA,39,42,0,0,0,0,62,0,1,0,1,0,3,0,0,1,0,2,0,0,112,2,0,0,0,0,0,0,0,0,0
240,NA,44,96,0,0,2,0,56,0,4,5,2,0,1,0,0,10,0,15,0,0,28,2,0,1,0,0,3,0,1,2,0
245,NA,5,118,0,0,1,3,49,0,12,0,5,0,1,0,0,7,0,8,0,0,12,7,0,7,0,0,4,0,0,0,0
250,NA,5,50,0,0,2,1,80,1,39,59,17,0,1,0,1,0,0,1,0,0,16,20,0,11,0,2,16,0,0,9,0
255,NA,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
