"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Acer.undiff.","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Anacardiaceae.undiff.","Apiaceae.undiff.","Araliaceae","Arecaceae.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Azolla","Betula","Betulaceae.undiff.","Botrychium","Brasenia.schreberi","Brassicaceae","Cabomba","Callitriche","Campanulaceae","Carya","Caryophyllaceae","Castanea","Ceanothus","Celtis","Cephalanthus","Ceratiola.ericoides.type","Chamaecrista.type","Clethra","Combretaceae.Melastomataceae","Cornus.sericea.type","Corylus","Cupressaceae.undiff.","Cyperaceae.undiff.","Cyrilla.racemiflora","Dalea","Dodonaea","Drosera","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Eriogonum","Eugenia","Euphorbia","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.undiff.","Galium","Gomphrena.type","Gordonia","Hydrocotyle","Hypericum","Ilex","Indeterminable","Isoëtes","Itea","Iva.frutescens.type","Iva.xanthifolia.type","Juglans.nigra","Lamiaceae","Lechea","Lemna","Liliaceae","Liquidambar","Liriodendron","Lycopodiaceae.undiff.","Magnolia","Malvaceae","Mimosaceae","Moraceae","Myrica","Myriophyllum","Myrsine","Myrtaceae.undiff.","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmanthus","Osmunda.cinnamomea","Ostrya.Carpinus","Parthenocissus","Phoradendron","Picea","Pinaceae.undiff.","Pinus.clausa.type","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus","Pinus.undiff.","Pistacia","Planera.aquatica","Plantago","Platanus","Poaceae","Polygonella.fimbriata.type","Polygonella.polygama.type","Polygonum.amphibium","Polypodium.type","Populus","Potamogetonaceae","Primula","Pseudolycopodiella.carolinianum","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae.undiff.","Rhus","Rhynchospora","Rosaceae","Rubiaceae.undiff.","Rumex","Rutaceae","Sagittaria","Salix","Sambucus","Sapindus","Selaginella","Serenoa","Sisyrinchium","Solanaceae","Sparganium.type","Sphagnum","Styloceras","Symplocos","Taxodium","Thalictrum","Tilia","Tsuga","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Urtica.type","Urticaceae","Urticales.undiff.","Utricularia","Viburnum","Viscaceae.undiff.","Vitis","Xanthium"
441,22,0,0,0,0,0,0,4,1,8,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,1,2,5,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,1,0,0,2,5,1,0,2,1,0,0,0,0,0,28,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,49,0,301,0,1,0,0,18,0,0,0,0,1,0,0,0,0,103,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0
443,565,0,0,0,0,0,0,1,2,13,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,1,0,0,3,2,0,0,2,0,0,0,0,0,1,23,0,0,0,0,0,0,17,2,0,0,0,1,2,0,0,0,5,0,0,0,0,0,268,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,31,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0
445,1109,0,0,0,0,0,0,5,0,13,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,4,0,0,0,1,1,6,0,0,0,0,0,5,0,0,0,0,0,4,0,5,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,34,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,73,0,369,0,4,0,0,17,0,0,1,1,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,1,0,0,14,2,0,0,0,0,0,0,0,0,1,0
447,1652,0,0,0,0,1,0,5,0,1,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,2,1,10,0,0,0,1,0,5,0,0,0,0,0,1,0,10,0,0,0,0,0,1,5,0,0,1,0,0,0,1,0,0,17,0,0,0,0,0,0,12,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,285,0,0,0,0,0,2,16,0,0,0,0,1,0,0,0,0,71,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,23,0,0,0,8,4,0,0,1,0,0,0,0,0,3,1
449,2196,0,0,0,0,1,0,2,1,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,2,0,0,0,0,0,1,0,7,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,20,0,0,0,0,0,0,16,2,0,0,0,4,1,0,0,0,5,0,0,0,0,0,222,0,0,0,1,0,1,14,0,0,0,0,0,0,1,0,0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
451,2739,0,0,0,0,0,0,2,3,3,0,1,0,0,2,6,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3,13,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,23,1,0,0,0,1,10,0,0,0,3,0,0,0,0,0,364,0,0,0,2,0,1,20,0,0,0,0,0,0,0,0,1,89,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,30,0,0,0,10,1,0,0,1,0,0,1,0,0,0,0
452,3011,0,0,0,0,0,0,1,2,2,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,13,1,0,0,0,2,1,0,0,0,10,0,0,0,0,0,224,0,0,0,1,0,0,22,0,0,0,1,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
454,3554,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,16,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,198,0,0,0,1,0,1,23,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
455,3826,0,0,0,0,0,0,1,0,4,1,0,0,0,1,9,0,0,7,1,0,0,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,1,2,5,0,0,0,1,0,3,0,0,0,0,0,1,0,7,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,18,3,0,0,0,0,10,0,0,0,4,0,0,0,0,0,27,0,258,0,0,0,0,26,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,9,3,0,0,0,0,0,0,0,0,1,0
456,4098,0,0,0,0,1,0,3,0,2,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,1,17,3,0,0,0,2,7,0,0,0,4,0,0,0,0,0,263,0,0,0,5,0,0,34,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,34,0,0,0,10,0,0,1,0,0,0,0,0,0,3,0
