"sample.depths","sample.ages","Abies","Alnus.viridis.type","Ambrosia.type","Betula","Cannabaceae","Caryophyllaceae","Pinaceae.undiff.","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Fraxinus","Poaceae","Iva","Alnus.incana.type","Artemisia","Quercus","Ranunculaceae.undiff.","Trees.undiff.","Fabaceae","Rosaceae","Ostrya.Carpinus","Rumex","Myrica","Epilobium","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Acer","Amaranthaceae","Fagus","Corylus","Ulmus","Rhamnaceae.Vitaceae","Salix","Cupressaceae","Juglans","Populus","Taxus","Urticaceae","Sambucus","Cornus","Hypericum","Shepherdia.canadensis","Moraceae","Carya","Asteraceae.undiff.","Malvaceae","Thalictrum","Plantago","Polygonum"
2,146,0.040133779264214,0.0234113712374582,0.00334448160535117,0.0869565217391304,0.00334448160535117,0.00334448160535117,0.0836120401337793,0.0167224080267559,0.00668896321070234,0.00334448160535117,0.688963210702341,0.00334448160535117,0.00334448160535117,0.0234113712374582,0.00334448160535117,0.00334448160535117,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,417,0.0423280423280423,0.0105820105820106,0,0.0687830687830688,0,0,0.0740740740740741,0,0.0017636684303351,0.0105820105820106,0.767195767195767,0.00352733686067019,0.0017636684303351,0.0141093474426808,0,0,0,0.0017636684303351,0.00352733686067019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,687,0.0334821428571429,0.0111607142857143,0,0.0892857142857143,0,0,0.0625,0.00892857142857143,0.00223214285714286,0.00892857142857143,0.763392857142857,0.00669642857142857,0.00446428571428571,0.00669642857142857,0,0.00223214285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,958,0.0324149108589951,0.00324149108589951,0,0.047001620745543,0,0,0.072933549432739,0.00162074554294976,0.00162074554294976,0.00324149108589951,0.807131280388979,0.00810372771474878,0.00162074554294976,0.00648298217179903,0,0.00324149108589951,0,0,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00324149108589951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1228,0.0226628895184136,0.00424929178470255,0,0.0424929178470255,0,0,0.0524079320113314,0,0.00424929178470255,0.00991501416430595,0.842776203966006,0.0028328611898017,0.00141643059490085,0.0113314447592068,0,0.00141643059490085,0,0,0,0,0,0,0,0,0.00141643059490085,0.00141643059490085,0.00141643059490085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1499,0.0255255255255255,0.00750750750750751,0,0.0555555555555556,0,0,0.051051051051051,0.0045045045045045,0.003003003003003,0.015015015015015,0.818318318318318,0.0045045045045045,0.0045045045045045,0.003003003003003,0,0,0.0015015015015015,0,0,0,0,0,0,0,0,0,0.0015015015015015,0.0015015015015015,0.0015015015015015,0.0015015015015015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1686,0.0497925311203319,0,0,0.037344398340249,0,0,0.0553250345781466,0,0.00276625172890733,0.00691562932226833,0.829875518672199,0.00276625172890733,0.00276625172890733,0.00691562932226833,0,0,0,0.00138312586445367,0.00138312586445367,0,0,0,0,0,0,0,0,0,0.00276625172890733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1862,0.0365217391304348,0,0,0.0260869565217391,0,0,0.0817391304347826,0.00173913043478261,0.00347826086956522,0.0121739130434783,0.81391304347826,0.00695652173913044,0.00347826086956522,0.00695652173913044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347826086956522,0,0.00173913043478261,0.00173913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2037,0.0237580993520518,0.00107991360691145,0,0.0323974082073434,0,0,0.0561555075593952,0.00215982721382289,0,0.00647948164146868,0.853131749460043,0.00107991360691145,0.00647948164146868,0.00971922246220302,0,0.00215982721382289,0,0,0.00107991360691145,0,0,0,0,0,0,0,0.00107991360691145,0,0.00107991360691145,0,0.00107991360691145,0,0.00107991360691145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2213,0.0229132569558101,0.00327332242225859,0,0.0867430441898527,0,0,0.0638297872340425,0.0016366612111293,0.0016366612111293,0.00654664484451719,0.756137479541735,0.016366612111293,0.00654664484451719,0.0180032733224223,0,0.0016366612111293,0,0,0.00327332242225859,0,0,0,0,0.0016366612111293,0.00327332242225859,0.0016366612111293,0,0,0.00327332242225859,0,0.0016366612111293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
