"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Andromeda.glaucophylla","Andromeda.polifolia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cerealia","cf..Huperzia.lucidula","cf..Mnium","Chamaedaphne.calyculata","Corylus.cornuta","Cupressaceae.cf..Thuja.occidentalis","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Diphasiastrum.tristachyum.type","Drosera.rotundifolia.type","Elymus.type","Equisetum","Ericaceae.undiff.","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Ledum.Chamaedaphne.calyculata","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Matteuccia","Menyanthes.trifoliata","Monotropa","Morus.rubra.type","Myrica.gale","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygalaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Prunus.pensylvanica","Prunus.serotina","Pteridium.aquilinum","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhododendron.canadense","Rosaceae.undiff.","Rubiaceae","Rumex.type","Sagittaria","Salix","Sambucus","Sarracenia.purpurea","Selaginella.rupestris","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..alete.","Unknown..monolete.","Unknown..trilete.","Vaccinium.angustifolium.type","Vaccinium.oxycoccos","Vaccinium.uliginosum.type","Vaccinium.undiff.","Viburnum.nudum"
20,1643,1,0,6,1,25,0,18,0,0,0,0,1,3,0,0,198,0,0,0,0,0,0,0,1,0,2,14,0,4,0,0,0,0,0,0,4,0,25,1,6,3,0,23,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,68,3,16,22,12,0,0,56,71,2,0,5,1,0,0,0,0,0,1,9,1,0,0,1,0,0,0,9,0,0,0,0,253,0,0,4,37,0,0,9,1,0,8,2,0,0,0,4,17
40,3064,1,0,2,1,13,0,5,0,1,0,0,0,1,0,0,132,0,0,0,2,0,0,0,0,0,0,3,7,98,0,0,0,1,0,0,2,0,15,0,9,5,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,50,12,0,0,50,64,0,0,2,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,5,0,0,0,0,56,1,0,3,9,0,0,4,0,0,11,1,0,0,0,1,2
60,4046,0,3,0,2,14,0,6,0,0,1,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,3,0,34,0,0,0,0,0,26,0,0,6,0,10,3,0,1,1,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,7,5,26,12,4,0,26,40,0,0,3,0,0,1,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,65,0,0,3,6,0,0,8,0,0,32,1,1,0,0,0,0
80,4482,1,0,1,2,11,0,2,0,0,0,0,0,1,1,0,59,0,0,0,1,0,1,0,0,0,2,1,0,53,0,0,0,0,0,1,1,0,1,0,7,5,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,1,2,1,26,19,0,1,50,69,0,0,2,0,0,0,3,0,0,0,11,0,0,0,0,1,0,0,10,1,4,0,0,5,0,1,2,82,0,0,10,0,3,15,4,0,0,0,0,2
100,4699,0,1,0,3,8,0,4,0,0,1,0,0,0,1,0,49,0,0,0,0,0,1,0,0,0,0,2,3,72,0,0,0,0,0,1,2,0,2,1,18,2,0,0,3,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,4,12,0,52,21,0,0,55,75,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,11,1,0,1,127,0,1,13,1,0,4,7,0,0,0,0,0
120,4930,0,1,2,0,13,0,2,0,0,1,0,0,0,1,0,101,0,0,0,0,0,0,0,0,8,0,1,0,48,0,0,0,0,0,4,0,0,22,2,20,6,0,0,6,0,4,2,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,29,13,1,2,37,46,0,0,0,0,0,0,12,0,0,0,26,0,1,0,2,2,0,0,1,0,0,0,0,1,1,0,3,79,0,0,15,3,0,3,3,0,0,0,0,0
140,5205,0,0,0,2,23,0,5,0,1,1,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,121,0,0,4,2,12,2,0,0,6,0,2,0,1,3,0,77,0,0,0,2,0,3,0,0,0,0,3,67,0,10,2,2,12,64,52,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,64,0,0,8,0,4,40,5,0,0,0,0,0
160,5544,0,1,0,6,11,0,10,0,0,2,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,2,0,0,0,0,43,2,0,0,4,0,2,0,0,0,0,29,0,0,0,1,0,2,0,0,0,0,55,47,1,34,12,17,6,101,67,0,0,0,0,0,0,5,0,0,0,31,0,0,0,1,0,1,0,0,1,0,0,0,1,3,0,1,86,10,0,16,0,0,833,9,0,0,0,0,0
165,5640,2,0,1,3,10,0,0,2,0,4,0,0,1,0,0,39,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,7,0,0,4,0,9,0,0,3,1,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,41,686,0,13,4,5,3,86,31,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,5,0,0,0,1,3,0,2,3,51,0,0,7,1,70,51,34,0,0,0,0,1
170,5738,0,1,1,11,31,0,65,11,0,6,0,0,2,1,0,164,0,0,0,2,0,1,0,0,1,0,11,0,4,0,0,0,0,0,14,0,0,2,0,3,2,0,16,9,0,1,0,0,0,0,160,0,0,0,0,0,0,0,0,0,1,26,906,8,72,14,30,45,208,149,0,0,10,0,0,14,16,0,0,0,40,0,1,0,1,0,0,0,41,2,0,0,0,0,0,0,4,247,0,0,13,1,361,214,209,0,0,0,0,2
