"sample.depths","sample.ages","upland.sum","Acer.undiff.","Ambrosia.type","Betula","Carya","Castanea","Cyperaceae","Ericaceae","Fraxinus..tricolpate.","Ilex","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Myrica","Viburnum","Poaceae","Acer.rubrum","Arceuthobium","Fagus","Juglans.cinerea","Iva.undiff.","Populus","Boraginaceae","Ostrya.Carpinus","Platanus","Taxus","Tilia","Acer.spicatum","Urticaceae","Amaranthaceae.undiff.","Cephalanthus","Corylus","Cuscuta","Fraxinus..tetracolpate.","Rhus","Rosaceae.undiff.","Juglans.nigra","Cupressaceae","Liliaceae","Morus","Xanthium","Lycopus.type","Nyssa","Fabaceae","Abies","Acer.saccharum.type","Impatiens","Liquidambar","Salsola","Cornus","Brassicaceae","Vitis","Sambucus","Acer.saccharinum.type","Iva.annua.type","Parnassia","Rhamnaceae.Vitaceae.undiff.","Iva.xanthifolia.type","Ranunculaceae.undiff.","Artemisia","Cannabaceae","Crataegus.type","Potentilla.type","Thalictrum","Galium","Ribes","Saxifraga.type","Apiaceae","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Polygonum","Shepherdia","Campanulaceae","Dryas.type"
25,200,123,1,11,25,1,7,2,3,1,4,1,6,3,1,13,11,5,1,8,3,2,2,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1829,123,1,0,18,2,1,1,1,1,10,0,5,2,3,14,20,0,0,22,0,1,2,1,2,0,1,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3014,95,0,0,16,0,0,2,0,0,7,1,8,3,2,16,15,0,0,9,1,1,2,0,2,0,2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4791,132,1,1,12,0,1,1,0,1,20,1,10,1,1,7,41,0,0,5,0,5,4,3,1,0,1,0,7,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5383,115,0,0,11,1,0,2,1,2,8,0,14,1,1,13,17,0,0,21,0,1,1,0,0,1,2,0,14,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5718,107,1,0,9,3,0,3,3,1,1,0,13,2,1,12,26,0,0,12,1,0,5,0,0,1,0,0,9,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,5928,79,1,0,2,0,0,0,0,0,23,0,0,1,2,1,5,0,0,12,0,0,15,0,0,1,3,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,6348,90,0,0,5,1,0,1,0,1,2,0,1,0,0,4,12,0,0,14,2,2,21,1,1,1,11,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,6769,222,2,0,11,1,0,4,0,0,3,0,0,0,2,5,28,0,0,20,2,0,106,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6971,60,2,0,2,0,0,1,0,1,1,0,1,0,0,5,7,0,0,7,2,1,15,1,0,0,4,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,7096,164,1,0,13,1,0,2,0,0,2,0,0,0,2,10,29,0,0,13,0,1,62,0,1,0,2,0,13,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,7221,128,2,0,4,0,0,1,1,1,2,1,1,0,2,12,17,0,0,12,0,2,54,1,1,0,2,0,7,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,7471,335,0,0,19,0,0,7,0,1,7,0,1,0,10,23,45,0,1,21,1,1,149,2,1,1,1,0,17,0,0,0,0,2,2,1,0,0,0,0,13,0,0,2,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,7596,83,0,0,3,0,0,0,0,2,4,0,0,0,1,5,10,0,0,3,0,2,44,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,7721,141,0,0,3,0,0,3,0,0,2,0,1,0,2,7,19,0,0,4,0,0,83,0,0,1,2,0,6,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,7809,155,0,0,11,0,0,3,1,0,8,1,1,0,0,15,22,0,0,13,1,1,53,1,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,7945,427,0,2,40,3,0,9,1,5,4,0,0,1,6,33,83,0,1,31,0,2,102,3,2,1,4,0,34,0,0,0,0,1,1,0,0,0,0,0,33,0,0,5,6,0,0,2,0,0,0,0,0,0,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,8012,469,0,1,35,1,0,7,2,3,5,2,0,2,14,48,110,0,0,54,3,4,91,8,2,1,3,0,30,0,0,0,0,4,2,0,1,0,0,1,16,2,0,5,6,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,8080,452,0,4,36,1,0,6,1,2,6,0,2,3,18,42,101,0,0,59,1,5,69,5,0,1,6,0,25,1,0,2,0,6,3,1,1,0,0,0,30,1,0,3,1,1,0,1,2,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,8402,476,0,4,43,1,0,4,0,2,1,0,2,2,22,47,132,0,0,87,2,3,23,4,1,3,5,0,29,2,0,1,0,5,1,0,2,0,2,1,34,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,9207,637,0,7,71,3,0,2,1,7,0,0,2,7,72,83,209,0,0,63,0,3,12,16,0,1,2,0,21,1,0,0,0,16,4,0,0,0,0,0,12,7,0,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,9896,429,0,1,50,0,0,2,0,6,0,1,0,5,51,94,107,0,0,52,0,3,8,4,0,3,2,0,2,0,0,8,0,13,2,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,10547,691,0,0,64,0,3,5,0,11,1,1,3,9,111,240,149,0,0,6,1,3,22,1,0,0,8,0,0,0,0,15,0,17,1,0,1,0,1,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
690,10775,1167,4,0,123,1,0,4,0,13,0,5,27,30,189,535,81,0,2,6,0,6,56,9,0,2,4,0,0,1,0,22,0,19,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
710,11078,1268,0,1,203,2,1,15,6,19,4,2,72,47,127,418,84,0,4,7,3,11,97,31,2,13,0,0,0,1,0,27,0,12,0,3,0,0,1,0,0,12,0,2,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,1,0,1,3,1,1,1,0,0,0,0,0,0,0
740,11367,459,0,0,81,0,1,6,1,11,0,9,75,41,7,98,21,0,2,3,1,3,56,10,0,6,0,0,0,0,0,8,0,2,0,1,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
780,11836,574,0,1,51,0,0,8,1,0,0,7,300,8,12,52,14,0,1,7,3,2,58,13,0,11,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
820,12555,571,0,2,31,1,0,12,2,3,0,7,273,26,2,96,16,0,5,0,10,2,25,16,0,9,0,0,0,0,0,2,0,6,0,1,0,0,1,2,0,8,0,1,0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
850,13094,425,0,1,21,1,0,24,2,9,0,0,137,17,3,58,27,0,7,0,1,4,9,32,0,9,0,0,1,0,0,11,0,17,0,2,0,0,0,1,0,1,0,1,0,0,0,16,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0
880,13668,544,0,3,28,0,0,23,2,4,0,0,306,15,0,59,15,0,11,0,5,0,3,12,0,15,0,0,0,0,0,8,0,13,0,5,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,1,0,1,0,0,0,0
920,14529,522,0,0,20,1,0,21,0,2,0,0,351,16,0,25,14,0,2,0,3,0,4,4,0,7,0,0,0,0,0,16,0,9,0,5,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,1,2,0,0
940,14960,536,0,1,35,0,0,25,0,6,0,0,294,13,2,30,22,0,6,0,6,1,5,6,0,12,0,0,0,0,0,22,0,25,0,4,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
966,NA,298,0,1,23,0,0,72,3,2,0,0,35,11,0,40,9,0,19,0,4,0,11,0,1,25,0,0,0,0,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,1,3,0,0,0,0,0,1,0,0,0,0
980,NA,286,1,0,16,2,0,102,0,2,0,0,12,2,0,26,11,2,25,0,3,4,3,0,0,23,0,0,1,0,0,2,0,3,1,6,0,0,2,0,0,2,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,9,0,0,0,0,0,1,0,0,0,0
995,NA,280,0,0,6,0,0,96,2,0,0,0,25,5,0,38,5,5,23,0,2,0,12,0,0,29,0,0,0,0,0,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,2,1,0,0,1,0,0,4,0,0,1,0
1010,NA,395,0,0,5,0,0,110,1,1,0,1,31,21,1,70,6,9,27,0,6,0,11,0,1,52,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,1,0,2,0,8,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,2,3,1,0,1,0,0,8,0,0,0,1
1020,NA,176,0,2,10,0,0,30,0,1,0,0,21,13,0,31,1,6,12,0,0,0,12,2,0,20,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,1,0,0,0,0
1033,NA,91,0,0,3,0,0,12,0,1,0,0,13,5,0,24,8,0,5,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
