"sample.depths","sample.ages","Abies.balsamea","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae.cf..Brassica","Brassicaceae.undiff.","Caltha.type","Cannabis.sativa.type","Carya","Caryophyllaceae","Celtis.occidentalis","Cerealia","Chenopodium.type","Cirsium","Cornus","Corylus","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Decodon.verticillatus","Diphasiastrum.complanatum.type","Dryopteris.type","Ephedra.trifurca.type","Ephedra.undiff.","Ephedra.viridis.type","Epilobium","Equisetum","Ericaceae","Euphorbia.subg..Chamaesyce","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Humulus.lupulus","Huperzia.selago","Indeterminable","Indeterminable.undiff.","Iva.annua.type","Iva.xanthifolia.type","Juglans.cf..J..cinerea","Juglans.cf..J..nigra","Juglans.undiff.","Juniperus.Thuja","Laportea.type","Larix.laricina","Lycopodium.type","Menyanthes.trifoliata","Morus.rubra","Myriophyllum","Nuphar","Nymphaea","Onosmodium","Osmunda","Ostrya.Carpinus","Phlox","Picea","Pilea.type","Pinus.banksiana.P..resinosa","Pinus.subg..Strobus","Pinus.undiff.","Platanus.occidentalis","Poaceae.undiff.","Polygonum.amphibium.type","Polygonum.lapathifolium.type","Populus","Potamogeton","Prosopis","Pteridium.aquilinum","Quercus","Rhamnus.alnifolia","Rosaceae","Rumex","Rumex.type.undiff.","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Scheuchzeria.palustris","Selaginella","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia.americana","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Viburnum.lentago","Vitis","Xanthium","Zanthoxylum.americanum"
130,-10,0,0,2,0,0,14,161,0,1,7,5,1,44,1,0,0,2,1,0,0,0,22,0,0,1,5,0,0,0,1,15,0,0,0,0,0,0,0,1,2,2,0,0,0,0,8,0,1,4,0,1,0,7,0,11,0,0,0,0,0,0,0,1,9,0,1,0,15,0,21,0,164,0,0,6,3,0,4,66,0,0,1,0,0,2,3,0,0,0,0,1,0,0,3,0,2,8,1,4,0,1,1,0
150,45,1,1,0,1,4,25,82,0,0,11,4,0,77,2,0,0,1,1,0,0,1,14,0,0,4,16,0,0,0,0,9,0,0,0,0,0,0,1,0,7,0,0,0,0,0,14,0,0,0,1,1,0,8,0,26,0,0,0,0,0,1,0,1,7,0,0,0,1,9,70,1,342,0,0,8,1,0,3,96,0,1,0,0,0,2,2,0,0,0,0,0,1,0,3,3,1,17,3,1,0,2,0,0
190,486,0,0,0,0,1,12,9,1,0,11,3,0,39,0,0,0,0,1,0,1,0,1,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,1,0,1,0,15,0,17,0,0,0,0,0,3,1,2,9,0,1,0,2,13,39,1,331,0,0,1,0,0,0,71,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0
230,1259,0,0,0,0,1,13,6,1,0,7,2,0,28,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,9,0,16,0,0,0,0,0,0,0,0,5,0,0,0,2,4,28,1,199,0,0,3,0,0,0,98,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
270,2032,0,0,0,0,2,21,8,0,0,17,6,0,28,0,0,0,0,2,0,0,0,1,0,0,3,19,1,0,0,0,2,1,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,3,0,21,0,0,0,0,0,0,0,3,9,0,3,0,4,3,32,3,224,0,0,2,2,1,2,117,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0
310,2805,0,0,4,0,8,26,22,1,0,22,8,0,82,0,0,0,0,2,0,1,0,8,0,0,3,23,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,3,0,0,1,4,0,0,4,0,48,0,0,0,0,0,0,0,3,40,0,0,0,2,10,56,3,520,0,0,5,3,0,0,224,0,0,0,0,0,2,0,1,0,0,0,0,2,0,3,1,0,18,0,0,0,0,0,0
350,3578,0,0,0,0,3,19,12,1,0,15,5,0,16,0,0,0,0,1,0,0,0,5,0,0,10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,1,1,2,0,0,3,0,15,0,0,0,0,0,0,0,2,27,1,0,0,2,3,23,4,653,0,0,1,3,0,0,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,13,0,2,0,0,1,0
390,4351,0,0,1,0,2,14,16,0,0,19,11,0,15,0,0,0,0,1,0,2,0,9,0,0,1,14,0,0,0,0,1,0,0,0,0,1,0,1,0,4,2,0,0,0,0,2,0,0,1,2,0,0,6,0,22,0,0,0,0,0,0,0,2,39,0,2,0,7,1,18,1,197,0,0,5,0,0,0,67,0,0,0,0,1,4,0,0,0,0,0,0,1,0,12,1,0,10,1,1,0,0,0,1
403,4602,0,0,0,0,0,11,9,0,0,13,3,0,9,0,0,0,0,0,0,0,0,5,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,1,0,0,0,8,0,10,0,0,0,0,0,0,0,0,15,0,0,0,5,4,10,1,148,0,0,1,2,0,0,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,0,2,0,1,0,0
430,4847,0,0,0,0,0,13,21,0,0,10,1,0,8,0,0,0,0,0,0,2,0,5,0,0,2,19,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,14,0,1,1,4,3,17,0,76,0,0,0,2,0,1,79,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,5,1,0,0,0,1,0
470,5150,0,0,0,1,0,11,29,1,0,36,15,0,11,0,1,1,0,0,0,0,0,9,0,0,2,116,2,1,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,14,0,1,1,0,0,0,3,3,0,0,2,1,0,0,0,0,0,6,0,1,11,2,10,55,1,76,0,0,1,9,0,1,71,0,0,0,0,0,7,0,2,0,0,0,0,1,1,2,0,1,11,1,1,0,1,0,0
510,5452,0,2,0,0,2,3,10,0,1,20,6,0,6,0,0,0,0,1,0,4,0,16,0,0,3,34,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,1,12,2,4,20,1,49,0,0,0,4,0,0,53,0,1,0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,5,1,1,0,0,0,0
550,5754,0,0,0,1,3,5,24,1,0,74,6,0,7,0,0,0,0,0,0,1,0,22,0,0,3,42,3,0,0,0,5,0,0,0,0,0,0,0,1,2,2,0,0,0,0,7,0,2,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,6,0,1,1,2,1,25,0,72,0,0,0,1,0,0,50,0,0,0,0,0,4,0,1,0,0,0,1,0,0,4,0,2,15,1,2,0,1,0,0
590,6057,0,0,0,0,1,6,16,2,0,37,2,0,2,0,0,0,0,0,0,1,0,10,1,0,2,27,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,1,1,0,0,11,5,1,0,0,0,0,0,0,0,0,6,0,0,1,2,7,26,0,62,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,1,0,0,0,0,0
