"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.undiff.","Betula","Bryopsida","Carya","Caryophyllaceae","Cornus","Corylus","Cyperaceae","Elaeagnus","Elymus","Ephedra","Epilobium","Fagus","Filicopsida","Fraxinus","Humulus","Indeterminable","Juglans","Lamiaceae","Larix","Malvaceae","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum","Potamogetonaceae","Prunus.Sorbus","Quercus","Ranunculaceae.undiff.","Ranunculus","Rhamnaceae.Vitaceae","Rosaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Scrophulariaceae","Shepherdia.canadensis","Sparganium.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown..trilete.","Utricularia"
20,149,2,2,8,10,28,0,0,10,10,0,3,0,0,9,166,0,0,0,0,0,9,1,0,24,2,3,0,0,0,0,0,4,7,116,0,0,21,0,0,0,68,0,0,1,4,0,0,0,7,1,0,0,0,0,0,3,2,0,15,2,1
35,269,0,4,11,7,25,1,16,15,13,0,1,0,0,3,218,0,0,0,0,0,4,0,0,18,3,0,0,0,0,0,0,1,4,94,0,0,15,0,0,0,76,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,10,11,0,0
60,473,0,2,0,10,36,4,14,17,11,1,2,0,0,3,189,0,0,0,0,0,25,0,0,17,0,2,0,0,0,1,0,0,11,125,0,0,16,0,0,0,59,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,10,4,6,0
85,686,1,4,6,14,21,0,24,7,14,1,0,0,0,18,144,0,0,0,0,0,21,1,0,17,1,0,1,0,0,0,0,1,3,133,0,0,18,1,0,0,103,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,3,2,7,0,0
110,911,0,1,6,5,17,0,12,6,9,0,1,0,0,1,260,0,0,0,0,0,3,1,0,6,0,0,0,0,0,0,0,1,1,61,0,0,25,1,0,0,121,0,0,0,2,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
135,1151,1,1,12,13,44,2,23,15,22,1,0,0,0,3,152,0,0,0,0,0,0,2,0,8,2,0,1,0,0,0,0,1,2,87,0,0,42,0,0,0,134,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,1,6,0,1
160,1410,0,0,17,5,22,0,26,9,17,1,1,1,0,4,99,0,0,0,0,0,4,1,0,12,2,0,2,0,0,1,8,3,14,69,0,0,32,0,1,0,161,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,7,1,0
185,1691,2,1,8,5,30,0,19,18,20,0,1,0,0,5,19,0,0,0,0,1,0,0,0,5,3,0,0,0,0,6,0,6,3,24,0,0,30,0,0,0,213,0,0,0,0,0,0,5,3,1,0,0,0,0,2,0,0,3,11,0,0
210,1995,0,3,7,11,10,0,26,18,33,1,4,0,0,5,7,0,0,0,0,0,2,1,0,5,2,0,7,0,1,0,6,3,2,14,0,1,30,0,0,0,208,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,3,12,0,0
235,2319,0,3,12,8,16,0,27,10,19,0,1,0,0,7,7,0,0,0,0,0,0,3,0,8,2,0,0,0,0,0,0,2,1,14,0,0,29,0,0,0,226,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,8,0,0
