"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Sarcobatus.vermiculatus","Comptonia.peregrina","Cornus.canadensis","Cornus.undiff.","Corylus.cornuta","Cyperaceae","Cystopteris","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryas","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Lamiaceae","Larix","Liliaceae","Ludwigia","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nemopanthus.mucronatus","Nuphar","Nymphaeaceae.undiff.","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Polypodium.virginianum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.cf..Prunus.serotina","Rosaceae.undiff.","Salix.herbacea.type","Salix.undiff.","Sambucus","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Saxifraga.stellaris.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Viburnum.alnifolium","Viburnum.edule","Viburnum.nudum","Viburnum.undiff.","Woodsia.type"
380,10136,3,0,0,0,1,1,0,80,1,0,0,2,2,0,0,194,1,0,0,1,1,0,0,0,4,0,0,1,14,0,1,1,0,2,0,0,0,0,0,0,7,2,0,0,1,56,0,57,1,0,0,0,0,0,0,1,4,0,40,1,0,0,0,0,0,0,0,5,0,64,18,24,0,13,9,7,0,0,6,77,3,0,0,0,0,0,38,1,0,0,3,0,8,0,0,1,1,1,0,1,0,0,0,1,1,0,6,1,29,3,0,0,0,0,0,0
385,10246,1,0,0,0,1,0,3,8,1,2,0,2,12,0,6,112,0,0,0,1,0,0,1,0,0,0,0,3,39,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,121,0,91,5,0,0,2,0,0,0,2,8,0,57,0,0,0,1,0,0,0,0,4,0,34,7,29,1,12,6,10,0,0,0,74,5,0,2,0,0,0,39,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,2,0,0,10,0,75,8,1,0,0,0,0,0
390,10356,1,0,0,0,2,0,4,3,0,1,0,4,5,0,9,118,0,0,1,1,1,1,0,0,0,0,0,6,14,0,2,0,0,4,0,0,0,0,0,0,6,1,2,0,0,73,0,115,0,0,0,1,0,0,0,1,1,0,61,1,0,0,1,0,0,0,0,7,2,16,3,28,0,9,5,16,0,0,0,147,1,0,0,0,0,0,31,0,0,0,0,0,9,0,0,0,0,0,2,0,2,0,0,2,0,0,4,5,45,7,0,0,0,0,0,0
395,10466,0,0,0,0,0,0,4,12,1,0,0,2,9,0,0,129,0,0,0,1,0,0,1,0,0,0,0,1,8,0,0,0,0,3,0,1,0,0,0,2,11,0,0,0,0,58,0,175,0,0,0,1,0,0,0,0,1,1,60,0,3,0,0,0,0,0,0,8,0,8,1,38,0,13,5,4,0,0,6,273,1,3,0,0,0,0,38,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,0,4,0,1,6,2,19,1,0,0,1,0,0,4
400,10546,0,0,0,0,0,0,3,7,0,1,0,4,10,0,4,119,0,0,0,0,0,0,2,0,0,0,1,6,10,0,0,0,0,3,1,1,0,0,0,0,5,0,1,0,0,63,1,98,4,0,1,1,0,0,0,3,1,1,61,1,0,0,0,0,1,0,0,0,0,3,1,13,0,10,3,2,0,0,12,153,1,0,0,0,0,0,20,0,0,0,0,1,12,1,0,1,2,0,1,0,1,1,0,3,0,0,7,2,18,1,0,0,1,0,0,0
405,10626,0,0,0,0,0,0,0,5,1,3,0,5,9,0,5,113,0,0,0,1,0,0,0,0,0,0,0,7,11,2,0,0,0,2,0,1,0,0,0,0,6,2,0,0,0,79,0,103,5,1,0,0,0,0,0,3,1,0,63,1,0,0,0,0,0,1,0,5,0,5,1,12,0,7,7,4,0,0,7,171,0,0,0,0,0,0,26,2,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,2,0,1,10,1,20,3,0,0,2,0,0,0
410,10706,0,0,0,0,3,0,0,6,0,1,0,10,5,0,1,96,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,2,0,0,1,0,3,0,0,0,0,29,1,69,0,0,0,0,0,1,0,1,0,1,50,0,0,0,0,0,1,0,0,4,1,5,0,11,0,5,1,5,0,0,3,161,3,0,0,0,0,0,23,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,2,0,0,11,0,8,3,0,0,0,0,0,0
415,NA,2,0,0,0,3,0,1,5,0,2,0,11,6,0,0,83,0,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0,8,0,7,0,0,0,0,4,0,2,0,0,91,2,17,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,17,2,28,0,24,7,4,0,0,1,33,6,0,0,0,0,0,30,0,0,0,0,0,19,0,0,1,1,0,11,0,0,0,0,3,1,0,13,2,35,2,0,1,0,0,0,0
420,NA,1,0,0,0,2,0,3,10,0,3,0,13,5,2,2,81,1,0,0,0,1,0,1,0,0,0,0,4,79,0,0,0,0,2,0,2,0,3,0,0,6,1,0,0,11,14,1,10,3,0,0,2,0,0,0,5,4,0,2,0,0,0,0,0,0,0,0,1,0,31,8,60,0,56,15,11,0,0,0,24,10,0,0,0,0,0,29,0,0,0,0,0,24,0,2,0,5,0,2,0,0,0,0,9,0,0,18,6,30,4,0,0,0,0,0,1
425,NA,2,0,1,0,2,1,4,20,0,1,0,17,7,0,0,63,2,0,0,0,2,0,0,0,0,0,0,0,78,0,0,0,0,6,0,2,0,0,0,2,20,0,1,0,8,7,0,17,0,0,0,2,0,0,0,2,3,0,1,0,0,0,0,0,2,2,0,2,1,18,4,52,1,43,28,7,0,0,12,22,2,3,0,0,0,0,30,0,0,0,0,0,20,2,0,0,0,0,7,2,0,1,0,5,0,0,24,0,22,9,0,0,0,0,0,0
430,NA,1,0,0,0,3,0,6,22,0,0,0,15,3,1,1,61,0,0,0,4,0,0,0,0,0,0,0,1,95,0,0,0,0,3,0,1,0,0,0,0,7,2,1,0,6,0,0,8,2,0,0,0,0,0,0,5,7,0,1,0,0,0,0,0,0,0,0,0,0,18,16,97,0,36,31,6,0,0,0,21,9,0,0,0,0,0,46,0,0,0,1,5,29,0,0,2,4,0,13,0,0,0,0,5,0,0,12,1,39,9,0,0,0,1,0,2
435,NA,1,1,0,0,1,0,5,20,1,2,0,12,2,0,0,111,0,1,0,0,0,0,1,0,0,0,0,2,38,0,2,0,0,6,0,0,0,1,0,0,15,2,0,0,2,6,1,27,0,0,0,1,0,0,0,7,7,0,12,0,0,0,0,0,1,0,0,3,0,8,5,63,0,19,15,14,0,0,2,52,4,0,0,0,0,0,35,0,0,0,3,0,19,0,0,0,0,0,2,0,0,0,0,2,0,2,22,2,16,3,0,0,0,0,0,0
440,NA,0,0,0,0,3,0,10,6,0,0,1,2,6,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,4,0,0,0,0,5,0,4,1,0,0,3,2,0,9,0,0,0,2,0,0,0,0,1,0,17,1,0,0,0,0,0,1,1,2,2,17,2,34,1,91,25,7,0,0,1,10,0,1,0,0,0,1,30,0,0,1,1,0,5,0,0,0,0,0,0,0,1,0,1,9,0,0,5,1,15,2,0,0,0,1,0,0
