"sample.depths","sample.ages","upland.sum","Abies","Alnus.undiff.","Artemisia","Iva.annua.type","Cupressaceae","Cyperaceae","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Pinus.undiff.","Ulmus","Alnus.incana","Ambrosia","Betulaceae.undiff.","Myrica","Poaceae","Pinus.strobus","Pinus.banksiana.P..resinosa","Betula","Betula.undiff.","Coniferophyta.undiff.","Picea.mariana","Alnus.viridis.subsp..crispa","Symphoricarpos.albus","Ericaceae","Quercus","Asteraceae.subf..Asteroideae.undiff.","Populus","Picea.undiff.","Epilobium","Salix","Acer.saccharum","Fagus","Xanthium","Amaranthaceae","Picea.glauca","Galium","Thalictrum","Carya","Corylus","Fraxinus.undiff.","Brassicaceae","Acer.negundo","Tsuga","Fraxinus.nigra","Juglans.nigra","Juglans.cinerea","Tilia","Rosaceae"
565,-31,724,4,24,8,2,2,14,6,2,8,36,4,6,8,46,4,6,2,8,32,48,22,354,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,386,590,2,38,8,0,0,4,2,0,2,28,0,10,0,34,0,6,2,2,14,46,8,0,64,0,4,2,4,2,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,804,646,8,20,6,0,0,12,6,0,8,32,4,0,0,46,0,2,0,2,30,62,14,320,62,2,4,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
608,1251,822,10,50,2,0,0,4,6,0,2,14,0,10,0,56,0,4,0,10,32,64,20,0,48,4,2,2,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,1698,794,8,32,6,0,0,4,8,0,2,22,0,2,2,50,2,4,6,2,18,58,12,410,82,0,4,0,0,0,0,0,2,0,2,2,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0
638,2145,712,4,52,6,0,0,6,4,0,0,14,0,4,0,30,4,2,0,4,38,70,6,0,76,0,0,0,0,0,390,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,2443,662,2,22,2,0,4,6,4,0,4,16,0,2,2,38,6,2,2,2,60,104,12,316,48,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
650,2503,654,6,24,2,0,0,4,0,0,2,8,0,6,0,58,2,0,4,2,40,72,16,0,36,0,2,2,0,0,358,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0
665,2950,694,6,20,2,0,0,10,2,0,0,4,0,2,0,52,2,4,0,6,54,80,4,238,54,0,0,2,2,2,0,0,2,2,0,0,0,142,0,0,0,0,0,2,0,0,0,0,0,0,0
682,3457,720,6,36,4,0,2,10,0,0,0,10,0,0,0,38,4,2,6,4,58,104,14,340,72,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
700,3967,858,14,24,6,0,0,12,4,0,2,12,2,4,0,56,4,4,4,0,40,88,14,0,90,0,2,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
712,4300,734,14,32,4,0,0,6,6,0,0,8,0,0,0,62,0,0,0,0,46,88,12,394,60,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,4523,670,14,34,0,0,0,6,0,0,12,2,0,4,0,44,0,2,4,2,54,80,16,0,56,0,0,0,0,2,332,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
725,4679,650,6,26,0,0,4,6,4,0,0,6,0,0,0,36,0,2,2,0,38,80,14,0,78,0,0,0,0,2,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,4901,848,12,56,2,0,0,6,2,0,4,4,0,6,2,74,2,2,4,2,84,148,14,364,38,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
735,5123,750,12,34,4,0,2,6,0,0,0,2,0,4,0,44,2,6,4,0,70,132,16,322,56,4,0,2,0,2,0,0,6,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0
740,5346,746,14,40,2,0,0,8,4,0,0,8,0,0,0,92,0,0,2,0,82,140,12,0,40,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
744,5523,916,22,30,0,0,8,6,2,0,4,8,0,8,0,102,6,0,2,2,134,198,8,276,76,2,0,0,2,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0
748,5701,832,12,22,2,0,2,4,6,0,6,8,0,2,0,116,0,0,2,2,88,162,8,224,90,0,2,0,2,0,0,0,0,0,0,0,2,68,0,0,0,0,0,0,0,0,0,2,0,0,0
754,5968,1304,4,84,2,2,0,10,20,0,2,4,2,2,0,126,2,0,4,4,190,326,8,164,262,0,0,0,0,2,0,0,0,0,0,0,2,76,0,0,2,0,0,0,0,0,0,0,2,2,0
758,6146,992,2,44,0,0,0,8,6,0,0,4,0,0,2,40,0,2,2,0,232,308,8,72,236,2,0,0,0,4,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0
761,NA,982,4,146,0,0,2,6,8,0,2,16,2,2,0,74,0,2,4,0,138,188,2,0,298,0,0,0,0,6,76,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
768,NA,942,6,118,2,0,0,6,2,0,0,20,0,0,0,54,0,2,4,10,76,136,4,0,428,0,0,0,0,4,64,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
779,NA,1040,2,242,2,0,0,12,4,0,0,2,0,2,0,60,0,0,8,0,76,138,4,0,434,2,2,0,0,0,48,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,NA,648,2,208,2,0,2,6,0,0,4,16,2,0,2,48,0,4,0,0,34,50,6,0,178,4,0,0,0,0,68,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
