"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Dryopteris","Dryopteris.type.undiff.","Ephedra","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus.undiff.","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Ostrya.Carpinus","Picea.cf..P..glauca","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Prunus.pensylvanica","Quercus","Rhamnus.cathartica","Rosaceae.undiff.","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Sambucus","Saxifraga.oppositifolia.type","Sedum","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.opulus"
5,77,8,1,2,0,6,0,9,4,0,22,0,6,1,0,0,339,1,1,1,0,0,0,4,3,0,0,0,1,58,0,3,3,0,0,0,1,0,2,0,9,0,4,1,1,0,0,1,0,0,4,0,0,3,0,14,0,7,0,7,3,16,0,0,2,0,0,20,0,0,15,0,0,1,0,0,0,0,1,0,1,35,0,0,0,0,8,1,0,7,1,0
25,387,6,1,0,0,24,0,12,5,0,0,0,1,1,0,0,298,1,0,0,2,0,0,0,2,0,0,0,0,68,0,12,6,0,1,0,4,2,0,0,21,10,2,0,1,0,0,3,0,0,2,0,0,1,0,10,9,5,1,23,28,4,0,1,0,0,0,29,2,0,0,0,0,0,0,0,0,6,0,0,5,80,0,0,0,1,18,0,11,0,0,0
50,773,2,1,0,0,20,1,7,1,0,1,0,0,0,0,0,338,1,0,0,1,0,0,2,2,0,0,0,1,98,0,10,5,0,1,0,1,0,3,0,22,11,3,0,0,0,0,0,0,0,0,0,0,1,0,15,4,5,0,18,23,0,0,0,4,0,0,26,0,0,0,0,0,0,0,1,0,1,0,0,2,84,0,1,0,0,18,0,13,7,0,1
75,1160,2,0,2,0,16,2,10,3,0,2,0,3,0,1,0,332,1,0,2,0,0,0,0,5,0,0,0,1,71,0,11,4,0,1,0,0,0,3,0,9,1,1,1,0,0,0,1,0,0,6,0,0,1,0,5,6,0,0,16,13,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,2,0,0,2,28,0,0,0,0,10,0,7,2,0,0
100,1546,2,0,1,0,23,1,7,3,0,1,0,0,0,0,0,263,2,0,1,2,0,0,2,1,0,0,0,2,74,0,5,2,0,0,1,0,0,1,0,6,1,2,0,0,0,0,0,0,0,1,0,0,2,0,4,3,4,0,18,23,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,1,0,0,33,0,0,0,0,10,0,2,0,0,0
125,1933,1,0,2,0,14,0,10,2,0,0,0,1,0,1,0,307,1,0,0,0,0,0,1,1,1,0,0,1,72,0,18,5,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,3,0,1,4,1,0,14,13,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,23,0,0,0,0,0
150,2320,4,2,3,0,25,0,5,3,0,1,0,1,0,0,0,364,1,0,0,1,0,0,2,0,0,0,0,1,117,0,9,5,1,0,0,0,0,2,0,22,7,2,0,0,0,0,1,0,0,0,0,0,0,0,5,4,3,0,33,30,1,0,0,2,0,0,40,1,0,0,0,0,0,0,0,0,0,2,0,2,65,0,0,0,0,21,0,9,5,0,0
175,2706,1,1,0,0,17,0,8,4,0,1,0,1,1,0,0,314,0,0,1,0,0,0,1,1,0,0,0,1,96,0,10,6,0,0,0,2,0,0,0,19,5,2,0,0,0,0,3,0,0,4,0,0,5,0,4,1,1,0,20,40,0,0,0,1,0,1,17,1,0,0,0,0,0,0,0,0,1,1,0,2,13,0,0,0,0,16,1,6,0,0,0
200,3093,4,1,0,0,15,0,11,3,0,1,0,0,0,0,0,278,2,0,2,0,0,0,4,0,0,0,0,2,96,0,9,4,0,1,0,0,0,0,0,20,3,3,0,0,0,0,0,0,0,2,0,0,1,0,2,1,4,0,23,27,2,0,0,0,0,0,16,0,0,1,0,0,1,0,0,0,0,0,0,2,23,0,0,1,1,15,0,1,0,0,0
225,3479,5,1,2,0,16,0,9,3,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,2,60,0,4,4,0,2,0,1,0,3,0,17,5,2,0,0,0,0,3,0,0,0,0,0,4,0,3,4,5,0,17,38,0,0,0,1,0,0,18,0,1,0,0,0,0,0,0,0,0,2,0,1,7,0,0,0,1,11,0,6,0,0,0
250,3866,2,0,1,0,15,0,13,0,0,1,0,0,0,0,0,306,2,0,0,0,0,0,1,2,0,1,0,0,69,0,9,7,1,1,0,2,0,3,0,7,6,2,0,0,0,0,3,0,0,2,0,0,2,0,3,5,2,2,11,46,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,2,0,3,6,0,0,0,0,12,1,0,0,0,0
275,4253,1,2,2,0,21,0,6,3,0,3,0,1,0,0,0,501,0,1,1,0,0,0,2,2,0,0,0,1,60,0,15,5,0,2,0,2,0,3,0,18,8,3,1,0,0,0,3,0,0,0,0,3,3,0,3,1,12,0,103,78,0,0,1,5,0,0,43,0,0,0,0,0,0,0,0,0,3,3,0,1,6,1,0,0,0,18,2,5,3,0,0
300,4639,2,1,3,1,20,0,18,4,0,2,0,0,0,0,0,444,1,1,0,3,0,0,4,5,0,0,0,0,78,0,19,8,0,1,0,0,0,3,0,15,15,2,0,0,0,0,0,0,0,4,0,0,5,0,8,1,12,0,107,39,2,0,1,4,0,0,49,0,1,0,0,0,2,0,0,0,0,1,0,3,14,0,0,0,0,22,3,10,5,0,0
325,5437,1,0,2,0,11,0,7,2,0,0,0,0,0,0,0,167,2,0,0,0,0,0,0,0,0,0,0,0,40,0,7,1,0,1,0,0,0,2,0,4,6,0,0,0,0,0,0,0,0,3,0,5,7,0,7,2,3,0,38,19,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,13,0,3,3,0,0
340,5916,0,0,0,0,22,0,0,12,0,0,0,0,0,0,0,210,3,0,0,0,0,0,1,3,0,0,0,0,8,0,6,1,3,0,0,0,3,3,0,0,0,0,1,1,0,0,7,0,4,5,0,0,2,0,0,0,16,0,20,17,2,0,0,0,0,0,20,0,1,0,0,0,1,0,0,0,1,0,0,2,167,0,0,0,0,13,0,2,2,0,0
350,6235,0,1,0,0,19,1,6,1,1,1,0,0,0,0,0,302,0,0,0,3,0,0,1,3,0,0,0,2,20,0,12,2,0,5,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,8,2,40,25,1,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,6,0,1,94,0,0,0,0,14,0,12,1,1,0
365,6713,0,0,3,2,16,1,2,16,0,0,0,0,2,0,0,277,1,1,0,0,0,0,3,0,0,0,0,0,9,0,14,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,6,0,1,2,0,0,5,0,0,0,14,0,49,36,0,0,3,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,2,119,0,0,0,0,12,0,2,1,0,0
375,7032,0,1,0,0,15,0,14,2,0,0,0,0,0,0,0,198,0,0,0,2,0,0,2,1,0,0,0,0,6,0,10,2,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,2,0,82,47,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2,0,1,100,0,0,0,0,16,0,6,2,0,0
385,7244,1,0,0,0,15,0,9,3,0,0,0,0,0,0,0,231,1,0,0,2,0,0,2,2,0,0,0,0,5,0,11,6,0,4,0,0,0,1,0,2,1,4,0,0,0,0,0,0,0,0,0,4,6,0,2,0,14,1,114,61,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,1,3,0,2,127,0,0,0,0,10,0,4,8,1,0
400,7562,5,0,0,0,7,0,10,3,1,2,0,1,0,0,0,127,1,1,0,4,0,0,2,4,0,0,0,2,6,0,4,7,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,6,0,0,3,31,0,188,112,2,0,2,3,0,0,81,0,0,0,0,0,0,0,0,0,0,3,0,2,58,0,0,0,0,13,1,5,6,0,0
410,7774,4,0,3,0,5,0,0,1,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,3,0,0,0,0,9,0,9,9,0,0,0,0,0,1,0,0,3,0,1,0,0,0,2,0,1,3,0,2,1,0,1,3,23,0,100,54,1,0,0,0,0,0,57,0,0,0,0,0,3,0,0,0,1,2,0,0,25,0,0,0,0,13,0,0,0,0,0
425,8092,7,2,0,0,8,0,4,7,0,3,0,1,1,0,0,99,0,1,0,3,0,0,3,1,0,1,0,0,5,0,20,2,0,0,0,2,0,0,1,2,1,0,0,1,1,0,3,0,0,0,0,0,7,0,7,1,53,2,223,180,2,0,1,2,0,0,125,0,2,0,0,0,0,0,0,0,2,3,0,0,19,0,1,0,0,26,0,10,2,0,0
435,8304,1,0,3,0,7,0,3,7,1,4,0,0,0,0,0,96,0,0,0,0,0,0,1,0,0,0,0,1,14,0,11,4,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,3,0,3,0,37,0,179,18,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,28,0,1,1,0,0
450,8622,6,0,0,0,6,0,5,19,1,2,0,0,0,0,0,244,0,0,1,3,0,0,6,4,0,0,0,1,3,0,4,3,1,0,0,3,2,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,3,0,8,2,57,7,210,164,0,1,2,1,0,0,42,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,15,0,8,1,0,0
465,8939,1,0,0,0,4,0,4,12,0,1,0,1,0,0,0,115,2,0,0,0,0,0,0,9,0,0,0,0,2,0,8,3,0,0,0,0,1,1,0,0,0,2,0,5,0,0,3,0,0,2,0,0,0,0,3,0,117,0,179,33,1,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,14,0,2,2,0,0
475,9151,6,0,0,0,0,0,4,2,1,1,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,1,0,0,5,3,4,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,4,0,0,4,87,0,191,42,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0
485,9363,5,0,0,0,5,0,5,20,0,2,0,0,2,0,0,223,5,0,0,0,0,0,0,12,0,0,0,0,6,0,14,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,5,0,0,3,0,0,3,0,4,0,204,0,148,20,2,0,2,0,0,0,40,0,0,0,0,0,2,0,0,0,8,0,0,0,3,0,2,0,0,10,1,5,1,0,0
500,9727,8,0,0,0,3,0,2,34,1,0,0,2,0,0,0,226,0,2,0,1,0,0,7,7,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,7,1,0,0,1,0,1,8,0,0,0,0,0,4,0,10,1,177,0,68,103,5,0,7,4,1,0,29,0,0,0,0,0,2,0,0,0,0,4,0,0,5,0,0,0,0,8,0,14,7,0,0
515,10182,5,0,0,0,3,0,5,67,0,2,1,2,2,0,0,230,0,0,0,4,0,0,6,8,0,0,0,0,0,0,8,2,1,0,0,3,0,0,0,2,0,3,1,1,0,0,32,0,0,0,0,0,7,0,5,5,229,9,88,259,10,3,13,2,0,0,37,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,3,0,0,20,0,4,8,0,0
525,10485,1,0,0,0,3,0,1,69,2,1,0,1,2,0,0,173,0,0,0,3,0,0,5,3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,10,0,0,0,0,0,6,0,10,5,125,4,20,91,8,2,10,1,0,0,29,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,3,0,1,6,0,3,19,0,0
