"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Ericaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Prunus","Quercus","Rhamnus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Spiraea","Tilia","Ulmus","Viburnum.lentago","Viburnum.opulus","Viburnum.rafinesquianum.type","Viburnum.undiff.","Allium","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caltha.type","Caryophyllaceae.undiff.","Caulophyllum.thalictroides","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Dalea.candida.type","Dalea.purpurea.type","Epilobium","Euphorbia","Fabaceae.undiff.","Galium","Impatiens","Iva.annua.type","Iva.xanthifolia","Lysimachia","Mimulus","Pedicularis","Poaceae","Polygonum.amphibium","Polygonum.aviculare","Polygonum.persicaria","Potentilla","Ranunculus","Rosaceae.undiff.","Rumex","Scrophularia","Stellaria","Thalictrum","Urtica.type","Viola","Xanthium"
190,7548,0,0,0,0,0,0.0161290322580645,0,0.0161290322580645,0.00403225806451613,0,0,0,0,0,0,0,0,0,0,0,0.0241935483870968,0.00403225806451613,0.060483870967742,0.00806451612903226,0,0.0564516129032258,0,0.0443548387096774,0,0,0,0,0,0,0.00806451612903226,0,0,0,0,0,0.0241935483870968,0,0,0.104838709677419,0.0241935483870968,0,0,0,0,0,0.064516129032258,0.370967741935484,0,0,0,0,0,0,0,0,0,0,0,0,0.149193548387097,0,0,0,0,0,0,0.0201612903225806,0,0,0,0,0,0
197,7804,0,0.0062111801242236,0,0,0.0031055900621118,0.0248447204968944,0,0.0124223602484472,0.0062111801242236,0,0,0,0,0,0,0,0,0,0,0.0031055900621118,0.0248447204968944,0.0031055900621118,0.0838509316770186,0.0031055900621118,0,0.0341614906832298,0,0.0652173913043478,0,0,0,0,0,0,0.0062111801242236,0,0,0,0,0,0.0590062111801242,0,0,0.111801242236025,0.0279503105590062,0,0,0.0031055900621118,0.0031055900621118,0,0.0714285714285714,0.273291925465839,0,0,0,0,0,0,0.0031055900621118,0,0.0031055900621118,0,0.0062111801242236,0,0.152173913043478,0,0,0.0031055900621118,0,0,0,0.0031055900621118,0,0.0031055900621118,0,0,0,0
210,8278,0,0,0,0,0.00389105058365759,0.0350194552529183,0,0.00778210116731518,0.0116731517509728,0,0,0,0,0,0,0,0,0,0.00389105058365759,0.00778210116731518,0.108949416342412,0.00389105058365759,0.217898832684825,0.0389105058365759,0,0.00778210116731518,0,0,0,0.00389105058365759,0,0,0,0,0.00778210116731518,0,0,0,0,0,0.0311284046692607,0,0,0.116731517509728,0.0233463035019455,0,0,0.00778210116731518,0,0,0.171206225680934,0,0,0,0,0,0,0,0,0.00389105058365759,0,0,0,0,0.186770428015564,0,0,0,0,0,0,0,0,0,0,0,0,0
220,8642,0,0,0,0,0.00572246065808298,0.0357653791130186,0,0.00715307582260372,0.00429184549356223,0,0,0,0,0,0,0,0,0,0.00715307582260372,0.00429184549356223,0.357653791130186,0,0,0.0171673819742489,0,0.0257510729613734,0,0.00572246065808298,0,0.00286123032904149,0,0,0,0,0.00572246065808298,0,0,0,0,0,0.0457796852646638,0,0,0.11587982832618,0.00715307582260372,0,0,0,0.00429184549356223,0,0.0658082975679542,0.113018597997139,0.00286123032904149,0,0.00143061516452074,0,0,0,0,0.00286123032904149,0,0,0,0,0.155937052932761,0,0,0,0,0,0,0,0,0,0,0.00143061516452074,0,0.00429184549356223
