"sample.depths","sample.ages","Acer.negundo","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Ostrya.Carpinus","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Pinus","Poaceae","Brassicaceae","Dalea","Lamiaceae","Abies","Amorpha.type","Corylus","Asteraceae.subf..Cichorioideae","Thalictrum","Populus","Rumex","Apiaceae","Cupressaceae","Plantago","Fraxinus.nigra.type","Ephedra","Carya","Rosaceae","Fagus","Acer.saccharum.type","Iva.annua.type","Celtis","Juglans.nigra","Shepherdia","Platanus"
5,78,0.0114613180515759,0.0687679083094556,0.120343839541547,0.00859598853868195,0.0945558739255014,0.0888252148997135,0.0257879656160458,0.0401146131805158,0.00286532951289398,0.00286532951289398,0.169054441260745,0.00859598853868195,0.00286532951289398,0.00286532951289398,0.0487106017191977,0.00573065902578797,0.0143266475644699,0.106017191977077,0.160458452722063,0.00859598853868195,0.00573065902578797,0.00286532951289398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,195,0,0.0539845758354756,0.177377892030848,0.0205655526992288,0.06426735218509,0.0976863753213368,0.0231362467866324,0.0102827763496144,0.0025706940874036,0.0179948586118252,0.141388174807198,0.0051413881748072,0.0025706940874036,0.0025706940874036,0.0437017994858612,0.0179948586118252,0.0231362467866324,0.146529562982005,0.131105398457584,0,0,0,0.0025706940874036,0.0025706940874036,0.0051413881748072,0.0025706940874036,0.0025706940874036,0.0025706940874036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,311,0.00274725274725275,0.0357142857142857,0.181318681318681,0.0247252747252747,0.0741758241758242,0.0659340659340659,0.010989010989011,0.00549450549450549,0.00549450549450549,0.021978021978022,0.167582417582418,0.00274725274725275,0.00824175824175824,0,0.0494505494505494,0.00824175824175824,0.00549450549450549,0.162087912087912,0.148351648351648,0,0,0,0,0,0.00549450549450549,0.00549450549450549,0.00274725274725275,0.00274725274725275,0.00274725274725275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,427,0,0.0169491525423729,0.194915254237288,0.0225988700564972,0.104519774011299,0.110169491525424,0.00564971751412429,0.00564971751412429,0.00282485875706215,0.00847457627118644,0.127118644067797,0.00564971751412429,0.00282485875706215,0.00282485875706215,0.0395480225988701,0.00564971751412429,0.0112994350282486,0.0988700564971751,0.220338983050847,0,0.00282485875706215,0.00282485875706215,0,0,0,0,0.00564971751412429,0,0,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0
45,544,0.00268817204301075,0.0564516129032258,0.209677419354839,0.021505376344086,0.102150537634409,0.0725806451612903,0.0161290322580645,0.00268817204301075,0.0134408602150538,0.00268817204301075,0.104838709677419,0.010752688172043,0.010752688172043,0,0.0268817204301075,0.00537634408602151,0.0241935483870968,0.120967741935484,0.185483870967742,0,0,0,0.00268817204301075,0,0,0,0,0,0,0,0.00537634408602151,0.00268817204301075,0,0,0,0,0,0,0,0,0,0,0
75,893,0.00544959128065395,0.0326975476839237,0.209809264305177,0.0217983651226158,0.0544959128065395,0.0517711171662125,0.0108991825613079,0,0.00272479564032698,0.0108991825613079,0.152588555858311,0.0108991825613079,0.0136239782016349,0.00272479564032698,0.0217983651226158,0.00544959128065395,0.0136239782016349,0.163487738419619,0.204359673024523,0,0,0,0,0,0,0,0.00272479564032698,0.00272479564032698,0,0,0.00272479564032698,0,0.00272479564032698,0,0,0,0,0,0,0,0,0,0
100,1184,0,0.020997375328084,0.230971128608924,0.0078740157480315,0.062992125984252,0.0813648293963255,0.005249343832021,0,0.005249343832021,0.0078740157480315,0.10498687664042,0.0078740157480315,0,0,0.05249343832021,0.0131233595800525,0.0131233595800525,0.152230971128609,0.21259842519685,0,0.0026246719160105,0,0,0,0,0.0026246719160105,0.005249343832021,0.005249343832021,0,0,0.0026246719160105,0,0,0.0026246719160105,0,0,0,0,0,0,0,0,0
120,1417,0,0.0426666666666667,0.181333333333333,0.0213333333333333,0.12,0.101333333333333,0,0,0.00533333333333333,0.00533333333333333,0.0666666666666667,0.0133333333333333,0.00533333333333333,0.00266666666666667,0.0186666666666667,0.00266666666666667,0.0213333333333333,0.130666666666667,0.256,0,0.00266666666666667,0,0,0,0,0,0,0.00266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1650,0,0.0226130653266332,0.178391959798995,0.0276381909547739,0.150753768844221,0.0703517587939698,0.00251256281407035,0.00251256281407035,0,0.0050251256281407,0.0804020100502513,0.0050251256281407,0.00251256281407035,0,0.0477386934673367,0.0100502512562814,0.0150753768844221,0.133165829145729,0.228643216080402,0,0.0050251256281407,0,0.00251256281407035,0.00251256281407035,0.00251256281407035,0,0.00251256281407035,0,0,0,0,0,0,0,0.00251256281407035,0,0,0,0,0,0,0,0
150,1766,0,0.0288888888888889,0.131111111111111,0.0466666666666667,0.0577777777777778,0.0866666666666667,0.0155555555555556,0.00222222222222222,0.00666666666666667,0.00444444444444444,0.102222222222222,0.00666666666666667,0.00222222222222222,0,0.0333333333333333,0.0133333333333333,0.0177777777777778,0.177777777777778,0.24,0,0.00888888888888889,0,0,0.00444444444444444,0.00444444444444444,0.00222222222222222,0,0,0,0.00222222222222222,0,0,0,0,0.00222222222222222,0.00222222222222222,0,0,0,0,0,0,0
