"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Fagus","Ostrya.Carpinus","Picea","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Populus","Poaceae","Corylus","Cyperaceae","Rosaceae","Abies","Asteraceae.undiff.","Sarcobatus.vermiculatus","Celtis","Thalictrum","Herbs.undiff.","Larix","Ericaceae","Shepherdia","Ephedra"
10,219,0.0209923664122137,0.00763358778625954,0.236641221374046,0.0152671755725191,0.00381679389312977,0.00572519083969466,0.158396946564885,0.0438931297709924,0.00190839694656489,0.0935114503816794,0.00381679389312977,0.0305343511450382,0.0591603053435115,0.110687022900763,0.017175572519084,0.0896946564885496,0.0152671755725191,0.00572519083969466,0.0648854961832061,0.0133587786259542,0.00190839694656489,0,0,0,0,0,0,0,0,0,0,0,0,0
15,535,0.0156862745098039,0.00392156862745098,0.241176470588235,0.0137254901960784,0,0.00196078431372549,0.141176470588235,0.0196078431372549,0.00196078431372549,0.088235294117647,0,0.00784313725490196,0.0764705882352941,0.143137254901961,0.00784313725490196,0.0705882352941176,0.0156862745098039,0.00392156862745098,0.137254901960784,0.00588235294117647,0.00392156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0
20,850,0.0116731517509728,0.00972762645914397,0.330739299610895,0.00389105058365759,0.00194552529182879,0.00194552529182879,0.101167315175097,0.0408560311284047,0.00389105058365759,0.130350194552529,0.00194552529182879,0.0214007782101167,0.0447470817120623,0.124513618677043,0.00972762645914397,0.0603112840466926,0.0116731517509728,0.00194552529182879,0.0680933852140078,0.00972762645914397,0.00194552529182879,0.00389105058365759,0.00389105058365759,0,0,0,0,0,0,0,0,0,0,0
25,1166,0.00380228136882129,0.00570342205323194,0.237642585551331,0.00950570342205323,0.00570342205323194,0.00190114068441065,0.121673003802281,0.0380228136882129,0.00190114068441065,0.102661596958175,0,0.00570342205323194,0.0988593155893536,0.125475285171103,0.0152091254752852,0.0608365019011407,0.032319391634981,0.00380228136882129,0.100760456273764,0.0190114068441065,0.00570342205323194,0,0,0.00380228136882129,0,0,0,0,0,0,0,0,0,0
30,1480,0.00602409638554217,0.00200803212851406,0.192771084337349,0.00602409638554217,0.00401606425702811,0.00401606425702811,0.114457831325301,0.0220883534136546,0.00803212851405622,0.0682730923694779,0,0.00803212851405622,0.196787148594378,0.114457831325301,0.0100401606425703,0.0923694779116466,0.0220883534136546,0,0.0843373493975904,0.0220883534136546,0.0100401606425703,0,0,0.00401606425702811,0.00401606425702811,0.00200803212851406,0.00200803212851406,0,0,0,0,0,0,0
35,1794,0.00369685767097967,0.0055452865064695,0.277264325323475,0.00924214417744917,0.00184842883548983,0.00924214417744917,0.164510166358595,0.0351201478743068,0,0.0794824399260629,0.00369685767097967,0.011090573012939,0.1090573012939,0.123844731977819,0.0184842883548983,0.0739371534195934,0.011090573012939,0.00184842883548983,0.0480591497227357,0.00184842883548983,0.00739371534195933,0,0,0,0,0.00369685767097967,0,0,0,0,0,0,0,0
40,2106,0.0113851992409867,0.00759013282732448,0.246679316888046,0.0113851992409867,0.00189753320683112,0.00379506641366224,0.174573055028463,0.0569259962049336,0.00379506641366224,0.064516129032258,0.00189753320683112,0.00379506641366224,0.0986717267552182,0.10246679316888,0.00379506641366224,0.0740037950664137,0.015180265654649,0,0.0872865275142315,0.0132827324478178,0.00569259962049336,0,0.00379506641366224,0,0,0.00189753320683112,0,0.00569259962049336,0,0,0,0,0,0
45,2417,0.0149253731343284,0.00746268656716418,0.14365671641791,0.00932835820895522,0.00559701492537313,0.00186567164179104,0.166044776119403,0.0111940298507463,0.00373134328358209,0.0708955223880597,0,0,0.188432835820896,0.125,0.00932835820895522,0.082089552238806,0.0149253731343284,0.00559701492537313,0.123134328358209,0.00932835820895522,0,0,0.00373134328358209,0.00186567164179104,0,0,0,0,0.00186567164179104,0,0,0,0,0
50,2726,0.00386847195357834,0.0154738878143133,0.243713733075435,0.00580270793036751,0,0.00386847195357834,0.160541586073501,0.0386847195357834,0,0.0793036750483559,0.00193423597678917,0.00773694390715667,0.112185686653772,0.117988394584139,0.02321083172147,0.06963249516441,0.0212765957446809,0.00386847195357834,0.0715667311411992,0.00773694390715667,0.00193423597678917,0.00386847195357834,0,0.00193423597678917,0,0.00386847195357834,0,0,0,0,0,0,0,0
55,3033,0.00982318271119843,0.00785854616895874,0.196463654223969,0.00392927308447937,0.00392927308447937,0.00196463654223969,0.194499017681729,0.0255402750491159,0.00196463654223969,0.0884086444007859,0,0.00589390962671906,0.113948919449902,0.170923379174853,0.0255402750491159,0.0491159135559921,0.0137524557956778,0.00392927308447937,0.0609037328094303,0.00589390962671906,0.00785854616895874,0,0.00196463654223969,0.00196463654223969,0.00196463654223969,0.00196463654223969,0,0,0,0,0,0,0,0
