"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Cephalanthus","cf..Gentiana","Coptis","Corylus","Cyperaceae","Diphasiastrum.complanatum.type","Ephedra","Ericaceae","Fabaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Huperzia.lucidula","Indeterminable","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus","Lamiaceae","Larix","Liquidambar","Lycopodiaceae.undiff.","Menyanthes.trifoliata","Myrica","Myriophyllum","Nemopanthus","Nuphar","Nymphaea","Nyssa","Ophioglossaceae","Osmundaceae","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Potentilla.palustris","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarracenia","Sparganium","Sphagnum","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown","Urticaceae","Utricularia","Viburnum","Vitis","Xanthium","Zea.mays"
0,-14,1,8,72,16,17,363,3,5,17,2,155,0,12,0,0,0,0,0,7,7,0,0,63,0,62,14,3,0,36,9,0,0,1,0,168,1,11,2,0,0,2,0,0,0,0,0,37,5,40,91,38,148,43,13,157,0,19,20,0,0,102,1,5,23,2,7,0,0,55,0,1,62,4,45,15,1,0,1,4,0,1
2.5,5,0,9,50,8,11,342,2,0,19,2,75,0,13,0,1,0,0,0,3,17,0,0,69,1,71,13,4,0,30,3,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,7,22,0,8,9,25,40,27,8,123,0,4,8,0,0,82,1,9,31,4,6,0,0,275,0,1,80,0,62,5,0,0,0,0,0,0
7.5,45,0,7,54,12,5,231,2,4,16,0,78,0,9,0,2,0,0,0,2,16,0,0,59,0,116,10,1,0,32,2,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,3,10,0,7,1,21,16,14,5,101,0,4,1,0,0,70,1,2,45,0,5,1,0,75,1,7,110,2,38,11,0,0,2,0,0,0
12.5,84,0,6,51,13,6,267,0,1,13,5,96,0,5,1,4,0,0,0,2,19,0,0,61,6,120,13,2,0,31,3,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,5,15,2,5,2,14,15,11,5,102,0,5,0,0,0,70,0,4,52,3,4,1,0,77,0,5,94,0,29,5,0,0,0,0,0,0
17.5,122,0,3,43,11,1,169,1,1,9,2,74,0,7,0,5,0,0,0,2,12,0,0,46,0,107,12,4,0,23,3,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,8,2,1,2,20,14,8,7,76,0,6,0,0,0,83,0,0,46,2,5,0,0,103,0,6,109,0,44,3,0,0,0,0,0,0
22.5,160,0,5,50,4,0,13,0,1,1,0,60,0,7,0,1,0,0,0,0,9,0,0,7,0,137,8,4,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,11,1,6,0,22,23,0,8,4,0,1,2,0,0,68,0,0,6,0,1,0,0,30,0,6,145,0,31,1,0,0,0,0,0,0
27.5,198,0,8,38,5,1,6,0,2,1,0,59,0,7,0,3,0,0,0,1,8,0,0,4,0,114,8,5,0,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3,4,1,25,16,0,5,0,0,1,0,0,0,77,0,0,0,0,0,0,0,14,0,7,152,0,26,1,0,0,0,0,0,0
32.5,235,0,4,37,4,0,6,0,2,3,0,72,0,11,0,3,0,0,0,0,12,0,1,5,0,119,8,7,0,24,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,6,0,24,19,0,5,4,0,2,2,0,0,78,0,0,2,0,0,1,0,25,0,5,149,0,34,3,0,0,0,0,0,0
42.5,309,0,1,55,2,0,8,0,0,2,0,61,0,12,0,2,0,0,1,1,7,0,0,12,0,147,6,6,0,35,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,2,1,13,15,0,3,0,0,9,1,0,0,63,0,0,2,0,0,0,0,47,1,5,127,0,25,1,1,0,0,0,1,0
57.5,418,0,7,44,6,0,8,0,2,1,0,63,0,8,0,0,0,0,0,0,5,0,0,4,0,142,9,5,0,28,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,1,2,1,17,17,0,1,1,0,4,0,0,0,76,0,0,1,0,0,1,0,46,0,9,133,0,28,3,0,0,0,0,0,0
72.5,530,0,4,43,6,0,1,0,2,0,0,61,0,10,0,4,0,0,3,2,9,0,0,5,1,162,9,4,0,32,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,12,11,0,2,1,0,8,0,0,0,60,0,0,0,0,0,0,0,16,0,8,150,0,22,1,0,0,0,0,0,0
92.5,688,0,4,40,5,0,2,0,0,1,0,44,0,9,0,2,0,0,0,1,1,0,0,13,0,208,5,3,0,32,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,17,14,0,6,2,0,2,0,0,0,60,0,0,0,0,0,0,0,30,0,10,105,0,33,0,0,0,0,0,0,0
122.5,960,0,2,53,5,0,4,0,2,1,0,53,0,2,0,4,0,0,1,1,9,0,0,2,0,217,12,4,0,38,3,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,2,10,1,1,0,9,12,0,5,1,0,2,0,0,0,59,0,0,0,0,0,0,0,12,0,7,100,0,42,1,0,0,0,0,0,0
147.5,1232,0,3,48,3,1,2,0,0,1,0,54,0,9,0,2,0,0,1,0,5,0,0,8,0,217,6,4,0,35,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,11,0,1,1,14,6,0,4,0,0,2,0,0,0,63,0,0,0,0,0,0,0,11,0,6,86,0,21,1,0,0,0,0,0,0
172.5,1558,0,2,47,3,0,2,0,0,0,0,57,0,8,0,2,0,0,1,0,1,0,1,8,0,219,10,12,0,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,1,0,14,10,0,4,0,0,1,0,0,0,55,0,0,0,0,0,0,0,8,0,4,80,0,36,2,0,0,0,0,0,0
197.5,1934,0,5,39,3,0,2,0,1,1,0,63,0,10,0,2,0,0,0,0,2,0,0,3,0,185,9,7,0,26,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,16,8,0,5,2,0,0,0,0,0,91,0,0,0,0,1,0,0,26,0,8,74,0,30,0,0,0,0,0,1,0
222.5,2353,0,6,61,4,0,2,0,0,0,0,71,0,16,0,2,0,0,0,1,27,0,0,3,0,141,12,11,0,28,3,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,1,9,0,1,3,6,9,0,5,2,0,0,1,1,0,80,0,0,0,0,2,0,0,22,1,6,81,0,36,1,0,0,0,0,1,0
247.5,2809,0,12,49,7,1,4,0,4,1,0,59,0,11,0,2,0,0,0,1,20,0,1,1,0,200,14,7,0,26,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,1,14,1,3,1,10,9,0,4,2,0,2,0,0,1,64,0,0,0,0,0,0,0,3,0,4,60,0,36,2,0,0,1,0,0,0
272.5,3296,1,5,78,6,0,3,0,0,1,0,62,1,6,0,1,0,0,0,0,4,0,0,4,0,206,23,9,0,25,3,1,0,0,1,0,0,0,0,0,0,2,3,0,2,1,6,8,0,0,1,8,10,0,6,2,0,3,0,0,1,77,0,0,0,0,1,1,0,1,0,4,48,0,41,0,0,0,1,0,0,0
297.5,3808,0,4,66,4,1,4,0,1,1,0,64,1,11,0,1,0,0,0,0,2,0,0,1,0,217,18,16,0,18,6,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,4,15,0,0,2,9,16,0,10,1,0,1,0,0,1,67,0,0,0,0,1,0,0,2,0,5,59,0,36,1,0,0,0,0,0,0
322.5,4339,0,10,56,3,0,0,0,3,1,0,64,1,5,0,0,0,0,0,0,1,0,0,0,0,191,12,17,0,19,2,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0,6,14,0,0,0,7,7,0,4,0,0,2,1,0,1,91,0,0,0,0,2,1,0,3,0,4,55,0,36,1,0,0,0,0,0,0
347.5,4881,0,8,60,5,0,6,0,1,0,0,74,1,13,0,0,0,0,0,1,3,0,0,3,0,223,14,8,0,27,8,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,8,0,1,0,9,8,0,10,0,0,2,0,0,0,67,0,0,0,0,0,1,0,1,0,5,52,0,39,2,0,0,0,0,0,0
372.5,5442,0,3,34,3,0,1,0,4,0,0,47,0,6,0,0,0,0,0,2,0,0,0,2,0,218,22,15,1,18,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,4,0,0,7,0,8,1,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,6,150,0,46,2,0,0,0,0,0,0
