"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Dryopteris.type","Ephedra.nevadensis.type","Ephedra.torreyana.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Impatiens","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lycopodium.type","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Xanthium"
1,1,0,0,0,1,14,16,24,0,0,6,1,1,56,0,0,0,3,3,4,0,0,0,0,1,0,0,0,3,1,4,0,2,0,0,1,0,0,2,0,0,1,0,3,172,0,0,3,4,1,0,26,0,0,0,1,1,0,0,0,0,0,1,0,1,6,0,0
20,26,0,0,0,2,15,11,35,0,0,7,3,0,26,0,0,0,3,5,5,0,0,0,0,0,0,0,0,1,2,3,1,3,0,0,0,0,0,2,0,0,0,0,6,193,0,0,12,7,1,0,28,0,1,0,4,0,0,0,0,0,1,0,0,0,2,2,0
30,39,1,0,0,1,18,12,22,0,0,7,2,0,25,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,2,2,0,10,0,0,0,0,0,4,0,0,0,1,4,198,0,0,5,1,1,0,11,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0
40,52,1,1,0,3,10,5,13,0,0,7,1,0,24,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,0,3,0,4,0,1,0,0,0,4,0,0,0,2,6,267,0,0,5,2,0,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0
50,64,0,0,0,0,17,3,12,0,0,5,1,0,23,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,7,1,0,0,0,0,3,0,0,0,1,2,238,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
60,122,2,0,0,2,7,2,4,0,0,5,3,0,23,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,3,1,228,0,0,8,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
80,327,2,1,0,0,5,1,4,0,0,7,1,0,19,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,2,0,3,0,0,0,0,0,4,0,0,0,7,10,263,0,0,1,1,0,4,14,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0
100,533,3,0,0,2,16,0,5,0,0,7,0,0,27,0,0,0,2,2,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,4,8,235,0,0,3,2,0,5,10,0,0,0,3,1,0,0,0,1,0,1,0,0,3,1,0
120,738,1,0,0,1,12,0,7,0,0,8,2,0,15,0,0,0,3,1,4,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,1,7,271,0,0,5,1,0,1,9,0,0,0,2,1,0,0,0,0,0,0,0,0,3,1,0
140,943,0,0,0,2,14,0,6,0,0,11,1,0,24,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,3,2,292,0,0,7,2,0,4,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
160,1148,2,0,1,0,8,0,4,0,0,7,2,0,16,0,0,0,5,1,6,0,1,1,0,0,0,0,0,0,1,27,0,2,1,0,0,0,0,2,0,0,0,3,7,271,0,0,6,2,0,3,7,0,0,0,2,0,0,0,0,0,1,0,0,0,3,1,1
180,1354,3,0,0,0,9,1,3,0,0,12,3,0,22,0,0,0,1,1,5,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,6,0,0,0,2,9,236,0,0,2,2,0,2,17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
200,1559,0,0,0,0,12,3,0,0,0,6,2,0,33,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,6,5,277,0,0,5,2,0,0,9,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
220,1764,0,0,0,2,18,1,4,0,0,11,3,0,25,0,0,0,0,2,4,0,0,2,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,8,2,0,0,6,0,298,0,0,6,0,0,1,14,0,0,0,4,1,0,0,0,0,0,0,0,0,3,1,0
240,1969,1,0,0,0,10,1,8,0,0,7,0,0,23,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,3,4,228,0,0,10,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
260,2175,0,0,0,2,14,0,2,0,0,3,2,0,29,0,0,0,1,2,8,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,4,4,227,0,0,9,5,0,0,19,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,0
280,2380,0,1,0,0,10,3,1,0,0,3,4,0,33,0,0,0,1,5,4,0,0,1,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,2,0,0,0,14,4,274,0,0,7,1,0,3,24,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
300,2585,1,0,1,1,7,3,3,0,0,7,0,0,26,0,0,0,3,4,11,0,0,0,0,0,0,0,0,1,3,4,0,5,0,0,0,0,0,3,0,0,0,2,3,251,0,0,8,1,0,4,23,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0
320,2790,2,0,0,3,8,0,4,0,0,13,4,0,33,0,0,0,1,4,4,0,0,0,0,0,0,0,0,1,3,4,0,3,0,0,0,0,0,4,0,0,0,10,4,214,0,1,8,5,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
340,2996,0,0,0,0,8,1,3,0,0,6,1,0,31,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,13,2,215,0,0,4,1,0,1,21,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0
360,3201,2,0,0,1,8,1,6,1,0,6,2,0,16,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,1,0,0,0,19,0,228,0,0,8,0,0,1,20,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0
380,3406,0,0,0,0,13,2,3,0,0,11,4,0,31,0,0,0,3,2,5,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,3,0,0,0,9,1,181,0,0,10,5,0,1,34,0,0,0,1,0,0,0,0,0,1,1,0,1,5,3,0
400,3611,0,0,0,0,23,2,8,0,0,20,4,0,48,0,0,0,3,1,6,0,0,0,0,0,0,0,0,3,3,6,0,2,1,0,0,0,0,4,0,0,0,10,4,185,0,0,11,4,0,1,50,0,0,1,3,0,0,0,0,0,0,1,0,1,4,1,0
410,3749,0,0,0,2,28,5,6,2,0,16,7,0,55,0,0,0,11,1,8,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,21,1,65,0,0,16,1,0,2,61,0,0,0,4,1,0,0,0,0,0,0,0,0,7,2,0
