"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex.Nemopanthus","Indeterminable","Isoëtes","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Platanus","Poaceae","Populus","Pteridium","Quercus","Rosaceae","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
1,10,2,0,2,6,3,12,0,1,1,32,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,22,158,51,0,1,0,0,3,0,0,0,0,3,0,1,0,0,0
20,403,2,0,0,10,0,2,0,3,0,58,0,0,0,0,0,2,0,0,1,5,0,1,0,0,8,0,0,0,0,4,0,1,0,0,0,0,4,21,120,51,0,1,1,1,9,0,0,0,0,0,0,1,0,3,2
40,816,5,0,1,11,0,2,0,0,0,59,0,0,0,0,1,2,1,0,1,4,0,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,1,17,119,48,0,1,1,2,15,0,1,0,0,6,0,3,0,2,0
60,1226,3,0,4,9,0,5,0,2,1,78,1,1,0,1,0,2,0,0,0,3,1,1,2,0,5,0,0,1,0,4,0,1,0,2,0,0,0,11,113,46,0,1,1,2,10,0,0,0,0,1,0,1,0,0,0
80,1631,2,0,1,12,0,1,0,2,1,73,0,1,0,0,0,7,0,0,2,1,0,1,1,0,1,0,0,0,0,1,1,5,0,0,0,0,1,18,75,79,0,1,1,5,8,0,0,0,0,6,0,5,0,2,0
100,2031,5,0,2,12,0,1,0,0,0,42,0,1,0,0,0,3,0,0,0,2,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,1,25,99,93,0,2,1,3,6,0,0,0,0,3,0,1,0,0,0
120,2423,1,0,2,6,0,0,0,0,1,52,0,0,0,1,1,2,1,0,2,1,0,2,2,0,2,0,0,0,0,4,2,0,0,1,0,0,0,18,100,94,0,4,0,3,7,0,0,0,0,10,0,1,0,1,1
140,2806,2,0,0,5,0,1,0,0,0,61,0,0,0,1,4,2,0,0,1,1,1,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,15,105,79,0,3,2,2,7,0,0,0,0,6,0,1,0,5,0
160,3178,2,1,4,23,1,0,0,1,0,73,0,0,0,0,2,1,0,0,0,2,0,0,0,1,6,0,0,0,0,2,0,0,0,1,0,0,3,5,72,90,0,0,1,1,11,0,0,0,0,7,0,1,0,4,2
180,3543,3,0,1,13,0,0,0,0,0,43,0,0,0,0,3,0,1,0,0,3,0,0,0,1,3,0,0,0,0,0,1,1,0,1,0,0,1,8,92,125,0,0,2,2,3,0,0,0,0,7,0,0,0,1,2
200,3906,2,0,3,10,1,1,1,0,2,75,0,0,0,0,14,2,1,0,1,2,0,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,2,11,35,121,0,0,0,1,8,0,0,1,0,3,0,0,0,4,1
220,4276,1,0,1,13,0,1,0,2,1,59,0,0,0,0,6,0,2,0,1,2,1,0,1,1,1,0,1,0,0,4,0,0,0,0,0,0,0,4,56,128,0,1,3,2,9,0,0,0,0,7,0,1,0,4,0
240,4658,1,0,0,11,0,3,0,0,0,62,0,0,0,0,7,1,2,0,0,1,0,2,2,0,2,0,0,2,0,3,0,1,0,0,0,0,0,6,49,125,0,1,0,4,22,0,0,0,0,7,0,0,0,3,1
260,5060,0,0,1,48,0,1,0,1,1,40,0,0,0,0,2,3,1,1,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,4,2,89,85,0,0,1,21,12,0,1,0,0,4,0,4,0,2,0
280,5487,0,0,2,16,1,1,0,1,0,37,0,0,0,0,10,1,0,1,0,1,0,1,1,0,3,0,0,0,0,2,1,3,0,0,0,1,3,7,69,117,1,1,0,1,13,0,1,0,0,2,0,4,0,8,0
300,5948,1,0,0,14,1,1,0,2,0,32,0,0,0,0,1,1,1,0,0,3,2,3,0,0,5,0,0,1,0,3,0,0,0,0,0,2,3,5,130,79,1,1,0,9,12,0,0,0,0,3,1,0,1,4,0
320,6449,2,0,2,12,1,2,0,0,0,20,0,0,0,0,6,2,0,1,1,3,1,2,3,1,2,0,0,0,1,3,0,1,0,0,0,1,2,3,89,123,1,1,1,5,12,1,0,0,0,5,0,1,0,6,0
340,6997,1,0,1,15,3,0,0,0,0,40,1,0,1,0,1,5,5,0,0,4,1,2,3,0,3,0,0,0,0,2,0,4,0,1,0,1,2,4,98,90,2,1,1,14,18,0,1,0,0,3,0,0,0,3,2
360,7599,2,0,1,8,2,3,0,1,1,21,0,2,0,0,2,1,3,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,71,158,0,1,0,16,9,0,0,0,0,3,0,0,0,9,0
380,8260,7,0,2,4,2,0,0,1,0,23,0,1,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,2,0,3,0,1,0,0,1,11,171,55,0,0,1,2,7,0,0,0,0,1,0,1,0,5,0
400,8957,1,0,0,26,0,2,0,1,0,52,1,1,0,0,1,1,4,1,0,0,0,0,0,0,4,1,0,0,0,2,0,2,0,0,0,0,3,6,106,5,0,5,1,4,10,0,1,0,0,0,0,0,0,5,0
420,9640,4,0,0,5,0,1,0,2,0,28,0,0,0,0,0,2,0,0,0,0,2,0,2,0,3,1,0,0,0,1,0,4,0,4,0,0,1,13,212,6,0,1,1,0,14,0,0,0,0,1,0,0,0,3,0
440,10273,0,0,2,1,0,3,0,2,2,64,0,0,0,0,1,3,0,0,0,0,0,1,1,0,2,0,0,0,0,3,0,1,0,0,0,0,2,29,157,12,0,2,1,0,7,0,2,1,0,0,0,0,1,4,0
460,NA,0,0,0,0,2,4,0,4,0,81,0,0,0,0,2,1,0,1,0,0,0,5,5,0,15,3,1,0,0,7,0,2,0,0,0,0,4,95,77,0,0,0,1,0,6,0,0,0,0,0,1,0,1,7,0
480,NA,0,0,0,0,1,3,0,5,2,37,0,3,0,0,8,5,1,0,1,0,1,4,5,0,4,1,0,0,0,7,0,19,0,0,0,0,7,115,40,0,0,0,0,1,28,0,3,0,0,0,0,3,0,8,2
500,NA,0,0,0,2,0,2,0,5,1,22,0,1,0,0,5,0,3,0,0,0,0,5,5,0,1,0,0,1,0,6,0,1,1,0,0,0,10,156,37,2,0,2,6,2,22,2,0,1,0,0,0,1,0,10,1
520,NA,0,0,1,1,3,5,0,13,2,13,0,0,0,0,1,2,1,0,0,0,0,11,11,0,8,2,0,1,0,0,1,0,2,0,0,0,11,110,61,7,0,2,2,6,34,0,1,0,2,0,0,1,0,16,1
540,NA,0,0,1,1,0,2,0,5,0,17,0,1,0,0,0,3,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,2,16,226,0,0,3,0,2,16,0,0,0,0,1,0,1,0,5,1
