"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum","Acer.undiff.","Alnus","Betula.undiff.","Betula..small.","Castanea","Corylus","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans","Juniperus.Thuja","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Poaceae","Rosaceae","Thalictrum"
7,175,379,20,0,8,4,86,0,0,0,4,4,0,0,0,0,0,116,1,55,1,55,0,0,1,1,0,0,8,0,0,5,0,0,0,0,0,3,2,5,0
9,238,383,12,2,6,13,73,0,0,0,1,2,0,0,0,0,0,130,0,58,0,62,4,1,5,0,0,0,7,0,0,3,0,1,0,0,0,0,2,1,0
11,300,389,16,0,2,6,59,0,0,0,3,1,0,0,0,0,0,116,1,76,1,79,3,0,0,0,0,0,22,1,0,2,0,0,0,0,0,1,0,0,0
12,331,356,24,0,4,2,66,0,0,0,2,5,0,0,0,0,0,124,3,34,4,49,17,0,2,2,0,0,12,2,0,1,0,0,0,0,0,0,0,3,0
13,363,352,12,0,2,2,100,0,1,0,3,0,0,0,2,0,0,102,3,36,4,46,11,1,4,0,0,0,18,0,0,0,0,3,1,0,0,0,0,1,0
14,394,387,16,0,5,11,116,0,0,0,0,3,0,0,1,0,0,116,1,50,1,53,3,0,1,0,0,1,6,0,0,1,0,0,0,0,0,0,0,2,0
15,425,358,10,1,0,1,78,0,0,0,3,9,0,0,0,0,0,126,1,52,1,52,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,0
16,457,397,28,0,3,3,82,0,0,0,7,4,0,0,0,0,0,108,4,40,6,65,28,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
17,488,398,10,0,5,5,113,0,0,0,4,6,0,0,0,0,0,105,5,46,6,56,10,0,5,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0
19,661,414,7,0,3,24,92,0,1,0,5,37,0,0,0,0,1,52,4,70,4,73,4,0,2,0,0,0,33,0,0,0,0,1,0,0,0,0,0,1,0
20,753,415,17,0,5,16,115,0,0,0,13,2,0,0,0,0,1,72,9,14,21,34,32,0,5,23,6,0,28,0,0,0,0,0,1,0,0,1,0,0,0
22,939,403,15,0,2,3,81,0,1,0,1,1,0,0,0,0,4,79,3,46,4,70,25,0,5,0,0,0,58,1,1,1,0,0,0,0,0,1,0,1,0
24,1124,536,27,0,4,3,87,0,0,1,1,2,0,0,0,0,0,66,14,62,24,108,56,0,1,0,0,0,76,1,1,1,0,0,0,0,0,0,0,1,0
25,1336,530,26,0,13,16,127,0,1,0,3,0,0,0,3,0,0,60,12,72,13,78,8,0,3,5,0,0,77,2,0,0,0,0,1,0,0,9,0,1,0
27,1841,773,18,0,7,25,174,0,0,0,7,3,0,0,3,0,3,41,13,165,16,204,42,0,4,1,0,0,41,2,0,0,0,0,0,1,0,3,0,0,0
28.5,2220,475,7,0,3,4,114,0,0,2,4,4,0,0,0,0,0,30,10,96,13,122,30,0,1,0,0,0,31,2,0,0,0,0,0,0,0,0,0,2,0
30,2492,478,6,0,5,5,127,0,0,0,0,0,0,0,0,0,0,36,11,68,18,114,54,0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0
32,2713,499,3,0,3,2,78,0,0,0,1,3,0,0,0,0,0,28,4,158,4,174,16,0,0,1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0
33.5,2879,508,0,0,7,4,75,0,0,1,0,0,0,0,0,0,0,32,9,94,16,167,80,0,1,0,0,0,17,2,0,0,0,0,0,0,0,0,1,2,0
35,3044,471,6,0,5,8,95,0,0,0,1,1,0,0,0,0,0,34,24,58,44,106,66,0,0,1,0,0,20,1,0,1,0,0,0,0,0,0,0,0,0
37,3265,556,6,0,0,2,106,0,0,0,4,1,0,0,1,0,0,39,4,182,4,182,0,0,1,0,0,0,18,4,0,0,0,0,0,0,0,1,0,1,0
40,3597,406,8,0,7,15,118,0,0,0,8,1,1,1,0,0,0,34,11,75,13,88,16,0,4,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
