"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Amorpha","Aquatics.undiff.","Artemisia","Asteraceae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dalea","Fraxinus.nigra","Fraxinus.pennsylvanica","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polypodiaceae","Potamogetonaceae","Quercus","Salix","Tilia","Typha.latifolia","Ulmus"
0,-29,0,2,0,25,137,0,0,12,6,7,5,2,1,12,1,1,3,2,1,0,4,0,30,6,54,2,5,88,3,2,0,17
10,23,1,0,3,16,143,0,1,10,12,9,4,1,0,13,0,0,4,0,2,0,5,0,28,1,29,0,1,59,3,3,0,16
20,74,0,0,2,17,133,0,1,11,6,9,6,3,2,16,0,0,6,1,4,0,2,1,16,1,40,0,3,62,1,2,0,9
30,187,0,2,3,6,48,0,1,17,14,5,18,4,2,25,0,2,4,3,2,0,6,0,33,5,32,1,0,134,1,3,0,15
40,360,0,0,3,7,54,0,1,12,10,14,10,2,1,23,0,1,1,5,1,1,5,1,34,7,34,0,0,87,3,0,0,13
60,706,0,1,2,7,40,2,2,25,17,12,1,2,1,40,1,0,2,0,1,0,1,1,43,6,49,0,0,96,3,1,1,4
80,1052,0,1,6,11,35,0,4,26,14,13,1,0,3,26,0,1,1,0,4,0,2,1,41,6,54,1,0,103,2,2,1,4
100,1350,0,0,3,9,44,0,0,17,10,9,4,1,2,44,2,0,1,3,0,0,1,1,45,3,50,1,1,72,3,0,0,4
120,1523,0,1,3,8,45,0,0,26,16,8,4,0,0,26,1,0,1,0,3,0,3,0,60,4,41,0,0,96,1,2,0,6
140,1695,0,2,2,13,30,0,0,20,14,12,1,1,3,37,0,0,3,0,1,0,3,1,34,5,35,1,0,113,1,0,3,9
160,1868,0,1,4,16,42,0,0,23,14,7,8,0,2,24,1,2,0,0,3,0,3,0,43,5,58,2,1,95,2,3,2,8
180,2040,0,0,2,9,27,0,5,29,30,15,3,4,0,36,0,1,3,2,0,0,3,2,60,6,45,0,0,93,3,3,1,6
200,2226,0,2,5,10,31,0,0,21,11,8,7,3,1,23,0,1,1,2,0,0,4,0,36,10,44,2,0,96,0,2,0,7
220,2447,0,1,4,9,45,1,0,29,10,7,10,3,1,36,2,0,2,2,1,0,4,0,51,5,39,0,0,141,0,4,0,14
240,2669,0,5,1,7,42,0,0,15,2,8,4,4,0,16,0,0,4,3,0,0,7,1,19,1,30,0,1,64,1,1,0,7
