"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans","Larix","Lycopodium.type","Myrica","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus"
0,50,13,7,16,0,8,0,1,0,235,0,0,0,1,3,2,14,1,7,0,1,2,3,1,0,1,56,14,10,8,0,13,1,6,0,0,2,0,0,0,0,0,0,0,0,0,9,0,4
10,167,16,7,8,0,1,1,0,0,198,0,0,0,0,4,0,18,2,3,0,3,1,0,1,0,1,51,14,17,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,25,0,5
30,402,22,6,14,0,3,0,0,0,218,0,1,1,0,7,0,11,3,4,0,2,0,0,0,0,2,54,13,8,10,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2
50,637,20,15,6,0,0,0,0,1,272,0,0,1,1,5,0,22,4,2,0,0,1,1,0,0,1,11,27,26,9,0,2,2,8,0,0,0,1,0,0,0,5,0,0,0,0,14,0,2
70,872,11,11,17,0,0,0,0,0,210,3,0,0,0,5,0,31,9,3,0,1,1,0,0,0,2,14,23,42,5,0,1,0,7,0,0,0,0,0,0,0,1,0,0,1,0,15,0,4
88,1084,24,5,4,0,0,0,1,2,205,1,0,0,0,2,0,17,2,4,0,1,1,0,0,0,6,47,16,10,8,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,23,0,1
108,1238,16,8,16,0,1,2,0,1,221,0,0,0,0,3,0,35,3,3,0,0,0,0,0,0,6,22,12,26,11,0,3,0,10,0,0,0,0,0,0,0,3,0,0,0,0,36,0,2
118,1315,7,11,8,0,0,1,0,0,300,0,2,0,4,5,0,36,1,8,0,2,1,0,0,0,4,12,19,20,12,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7
128,1392,16,3,19,0,0,0,0,1,208,1,0,1,0,5,0,31,2,3,1,1,1,0,0,0,3,10,25,23,3,0,0,0,12,0,0,0,1,0,0,0,2,0,1,0,0,28,0,2
148,1547,19,5,14,1,1,0,1,1,237,0,0,1,0,4,0,31,2,2,0,2,1,0,0,0,3,3,14,15,8,0,1,0,6,0,0,0,0,1,0,0,3,0,0,0,0,23,0,2
168,1701,7,8,23,0,0,1,0,0,217,0,1,2,0,3,1,21,6,2,0,0,1,3,0,0,6,12,13,35,12,0,0,1,12,0,0,0,0,0,0,0,4,1,0,0,0,16,0,3
185,1832,19,4,5,0,0,1,0,0,173,0,0,0,0,2,0,24,1,1,0,2,3,1,0,0,1,10,23,30,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,18,0,1
205,1987,19,11,13,0,0,1,1,0,232,1,0,2,1,3,0,29,3,5,0,1,3,1,1,0,2,5,25,20,6,0,1,1,4,0,0,0,0,0,0,0,2,0,0,1,0,20,0,4
225,2141,6,10,7,0,0,0,0,0,171,0,0,2,0,3,0,19,2,1,0,0,0,0,0,0,2,2,12,15,9,0,1,0,7,0,0,1,1,0,0,0,0,1,0,0,0,17,0,1
245,2295,11,10,12,0,0,0,0,0,182,0,0,2,0,2,0,31,6,5,1,0,2,0,0,0,2,3,21,36,6,0,2,3,7,0,0,0,0,0,0,0,2,0,0,1,0,20,0,5
265,2450,14,9,6,0,0,0,1,0,222,0,0,0,1,3,0,19,8,2,1,1,0,3,1,0,4,9,29,33,5,0,1,0,5,0,2,0,0,0,0,0,1,0,0,1,0,31,0,7
285,2604,12,12,14,0,0,1,0,1,181,0,1,1,2,5,0,30,5,2,0,2,0,0,0,0,1,7,11,23,15,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,1,25,0,4
305,2759,12,8,3,0,0,1,1,1,181,0,0,2,1,3,0,34,3,1,0,0,0,0,0,0,2,7,14,34,6,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1
325,2913,15,12,14,0,0,0,0,1,237,0,0,0,0,3,0,37,6,2,0,0,1,0,1,0,9,7,18,41,12,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,34,0,3
345,3067,14,12,12,0,1,0,0,1,200,1,0,0,0,2,0,35,7,1,0,1,2,0,0,0,5,5,8,55,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2
365,3222,19,9,9,0,1,2,1,0,180,1,0,1,0,5,0,24,3,4,1,1,2,1,0,0,2,11,15,46,6,0,2,0,9,0,0,0,1,1,0,0,1,0,0,0,0,22,0,2
385,3376,13,10,8,0,0,1,0,1,237,0,0,0,3,4,0,45,5,3,0,0,1,0,0,0,4,6,19,34,13,0,1,1,3,0,1,0,1,0,0,0,0,0,0,1,0,17,0,3
405,3530,11,14,19,0,0,0,1,1,167,2,0,0,0,6,0,17,3,6,1,0,0,1,1,0,4,6,8,66,6,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0,12,0,2
425,3685,11,7,18,0,0,1,1,0,191,1,0,0,0,6,0,10,6,3,0,1,1,0,0,0,6,1,15,55,2,2,3,0,9,0,0,0,0,0,0,0,1,2,1,0,0,12,0,2
445,3839,18,9,9,0,0,0,1,1,254,1,0,0,0,12,0,14,6,3,0,1,2,0,0,0,5,4,4,45,5,0,1,0,11,0,0,0,1,0,1,0,0,2,0,0,0,5,0,4
465,3994,11,8,15,1,0,1,0,2,233,0,0,3,0,1,0,14,7,7,1,1,1,0,0,0,2,6,11,37,6,0,1,0,9,0,0,0,0,0,0,0,0,5,0,1,0,5,0,4
485,4148,14,20,10,0,0,1,1,0,298,0,0,0,0,4,0,19,9,4,1,1,3,1,1,0,5,7,9,46,8,0,0,0,19,0,1,0,0,1,0,0,0,3,0,0,0,7,0,3
505,4302,8,14,10,0,0,0,1,0,262,1,1,0,0,4,1,8,8,3,0,1,0,1,0,0,4,4,12,57,2,0,0,1,11,0,0,0,0,0,0,0,0,4,0,0,0,7,0,2
515,4380,12,15,9,1,0,0,1,3,305,0,0,0,2,2,0,20,17,1,0,0,0,1,0,0,5,13,12,66,18,3,2,1,17,0,1,0,0,0,0,0,2,4,0,0,0,12,0,5
