"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Caryophyllaceae","Cephalanthus","Cornus","Corylus","Cyperaceae","Ericaceae","Fabaceae","Fagus","Fraxinus","Galium","Indeterminable","Juglans","Lamiaceae","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polygonum","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Thalictrum","Tilia","Tsuga","Ulmus","Urtica.type"
1,23,0,5,1,1,9,1,0,4,2,0,0,0,1,1,0,0,8,0,0,3,0,0,1,0,1,1,143,0,1,0,0,25,0,0,0,0,0,0,0,17,5,0
13,71,0,28,7,1,23,3,0,20,2,0,0,0,2,0,0,0,8,1,0,6,0,0,1,0,1,0,224,1,4,1,1,29,0,0,2,0,0,0,4,37,6,0
19,95,0,13,5,3,15,2,1,29,1,0,0,0,0,0,0,0,23,6,0,1,0,0,2,0,1,0,215,0,2,0,0,25,0,0,0,0,0,0,1,33,15,0
21,103,0,11,6,0,3,3,0,17,1,0,0,0,2,1,0,0,9,1,0,2,1,0,0,1,1,2,136,0,1,0,0,18,0,0,1,0,0,0,0,17,0,0
24,220,0,15,11,1,1,2,1,13,2,0,0,0,0,1,0,0,28,0,0,1,0,0,1,0,4,0,154,2,2,0,0,21,0,0,0,0,0,0,1,33,13,0
28,448,1,27,3,0,1,7,0,26,3,0,0,0,2,0,0,0,22,4,0,2,0,0,2,0,3,2,141,0,1,0,1,21,0,0,1,0,0,0,1,54,14,0
33,732,0,25,4,0,2,1,1,18,3,0,0,0,4,1,0,0,38,1,0,4,1,0,0,0,3,0,91,1,0,0,0,12,0,0,0,0,0,0,1,51,7,0
35,740,0,31,10,0,1,3,1,53,1,0,0,0,4,0,1,0,57,3,0,1,1,0,3,0,8,3,141,0,0,0,0,22,0,0,2,0,0,0,0,130,19,0
44,775,0,23,7,2,1,0,1,29,3,0,0,0,3,2,0,0,39,1,0,3,0,0,2,1,3,1,91,0,0,0,0,23,0,0,0,0,0,0,0,86,9,0
52,807,2,22,3,1,2,2,0,30,0,0,0,1,3,0,0,0,44,4,0,1,0,0,0,0,7,0,186,0,0,0,0,17,0,1,1,0,0,0,3,104,9,0
61,842,0,15,1,0,2,1,0,20,0,0,0,0,2,1,0,0,37,0,0,3,2,0,1,0,2,1,150,0,0,0,0,21,0,0,0,0,0,0,0,73,17,0
72,885,1,30,7,0,3,4,1,62,3,0,0,0,3,0,0,0,38,1,0,2,0,0,0,0,6,0,196,0,1,0,0,38,0,0,0,0,0,0,0,121,23,0
81,921,0,40,3,0,3,0,1,68,2,0,0,0,1,0,0,0,35,1,0,0,0,0,2,0,3,0,171,0,1,0,0,38,0,0,0,0,0,0,2,113,21,0
96,980,0,19,4,1,0,2,0,26,0,0,0,0,5,0,1,0,32,5,0,2,0,0,0,0,8,1,129,0,0,0,1,23,0,0,1,0,0,0,3,98,5,0
106,1019,0,24,4,0,1,0,0,17,1,0,0,0,1,0,0,0,34,3,0,1,1,0,2,0,0,0,77,0,1,0,3,12,0,0,0,0,0,0,0,83,3,0
116,1058,0,25,5,2,2,0,0,40,3,0,0,0,3,1,5,0,64,8,0,3,0,0,2,0,8,1,116,0,0,0,1,31,0,0,1,0,0,0,2,159,2,0
126,1133,0,10,3,0,1,4,0,30,0,0,0,0,1,1,0,0,49,2,0,4,0,1,0,0,1,0,100,0,1,0,0,23,0,0,0,0,0,1,0,150,12,0
136,1314,0,24,6,1,1,2,1,25,1,0,0,1,4,1,1,0,39,1,0,4,1,0,1,0,3,1,174,0,0,0,1,25,0,0,0,0,0,0,1,128,10,0
146,1496,1,22,4,0,0,1,0,14,0,0,0,0,3,1,0,0,30,0,0,3,0,0,1,0,4,0,153,0,1,0,0,30,0,0,0,0,0,0,0,94,11,0
156,1677,0,21,7,0,2,0,0,19,2,0,3,0,5,0,0,0,28,6,0,7,1,0,6,2,3,0,102,0,1,0,0,22,0,1,1,0,0,0,1,51,17,0
161,1768,0,14,2,0,3,2,0,23,1,0,0,0,1,0,0,0,44,3,0,3,0,0,3,0,3,1,129,0,1,0,2,18,1,0,0,0,0,0,3,92,8,0
166,1859,0,24,2,0,2,1,0,34,3,0,0,0,0,1,0,0,65,1,0,1,1,0,6,1,3,1,175,0,0,0,1,32,0,1,0,0,0,0,1,129,17,0
175,2022,0,16,2,0,2,1,0,15,1,0,0,0,2,0,0,0,36,5,0,4,0,0,0,0,2,3,172,0,1,0,1,14,1,0,0,0,0,0,4,79,7,0
183,2167,0,23,8,1,2,4,0,27,3,0,0,0,2,0,0,0,49,11,0,3,1,1,3,1,4,3,303,0,0,0,0,33,0,0,1,1,0,0,2,62,7,0
193,2349,0,14,3,0,2,4,0,30,1,0,0,0,3,1,0,1,42,5,0,1,1,0,2,0,0,0,424,0,3,0,0,30,0,0,1,0,0,0,2,77,7,0
203,2530,0,15,3,0,7,6,1,28,1,0,0,0,4,0,0,0,33,3,0,2,0,0,4,0,6,3,284,0,0,0,0,40,1,0,0,0,0,0,2,58,16,0
213,2695,0,19,1,0,0,0,0,17,1,0,0,0,2,1,0,0,19,2,0,2,0,0,2,0,4,4,295,0,0,0,0,19,0,0,0,0,0,0,1,51,8,0
218,2777,0,14,1,0,1,0,0,20,3,0,0,0,0,0,0,0,40,4,0,3,0,0,1,0,2,0,231,0,0,0,2,25,0,0,1,0,0,0,2,37,4,0
223,2860,0,10,3,1,0,1,0,13,0,0,0,0,1,0,0,0,13,0,0,3,1,0,1,1,5,2,254,0,1,0,0,18,1,0,1,0,0,0,3,37,10,0
228,2942,0,17,13,3,4,5,0,26,3,0,0,0,3,0,0,0,40,1,0,7,1,0,0,0,4,0,481,0,4,0,1,26,0,0,0,0,0,0,0,44,6,0
233,3025,0,19,3,1,5,4,0,27,1,0,0,0,1,0,0,1,48,6,0,3,1,0,2,0,9,2,566,0,0,0,0,39,0,0,1,0,1,0,3,78,13,0
238,3107,0,21,5,0,4,2,1,17,2,0,0,0,0,0,0,0,22,3,0,2,0,0,1,0,3,0,341,0,2,0,0,22,0,0,0,1,0,0,1,36,11,0
243,3189,0,28,4,1,4,2,0,17,0,0,0,0,6,0,0,0,17,4,0,3,0,0,1,1,3,2,311,0,0,0,0,25,0,0,0,0,0,0,6,25,11,0
253,3354,2,14,3,0,1,1,1,12,2,0,0,0,1,0,0,0,14,4,0,2,0,0,0,0,4,0,347,0,1,0,0,26,0,0,0,0,0,0,0,20,10,0
263,3519,0,10,1,1,3,1,1,5,0,0,0,0,4,0,0,0,8,0,0,2,0,0,0,2,5,1,220,0,0,0,1,16,0,0,0,0,0,0,0,11,7,0
274,3701,0,8,5,2,1,0,0,10,1,0,0,0,2,0,0,0,21,1,0,3,2,0,0,0,1,0,317,0,1,0,1,20,0,0,0,0,0,0,1,23,5,0
284,3866,0,7,0,0,5,4,0,13,1,1,0,0,8,2,0,0,29,3,0,3,0,0,1,0,6,1,403,0,0,0,1,54,0,0,0,0,0,0,2,25,11,0
294,4030,0,0,1,0,3,5,0,14,2,0,0,1,1,0,0,0,28,3,0,2,0,0,2,0,4,0,453,0,2,0,0,40,0,1,0,0,0,0,0,15,10,1
304,4195,0,11,0,0,4,2,0,6,1,0,0,0,1,0,0,0,17,2,0,2,1,0,2,0,3,0,412,0,1,0,0,26,0,0,0,0,0,0,1,13,9,0
314,4360,0,5,2,0,1,3,2,6,2,0,0,1,2,0,0,0,18,4,0,2,0,0,2,0,5,2,298,0,3,0,1,33,0,0,0,0,0,0,2,18,12,0
324,4525,0,31,4,1,4,0,0,16,2,0,0,1,4,1,0,0,42,2,0,1,0,0,1,0,5,0,454,0,0,0,0,42,0,0,0,0,0,0,4,44,14,0
