"sample.depths","sample.ages","Abies","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Ericaceae","Fagus","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Alnus","Ambrosia","Pinus","Poaceae","Plantago","Acer.saccharum","Fraxinus.americana","Cyperaceae","Asteraceae.subf..Asteroideae.undiff.","Vitis","Myrica","Fraxinus.nigra","Xanthium","Apiaceae","Platanus","Populus","Celtis","Sarcobatus.vermiculatus","Iva.annua","Corylus","Polygonum.persicaria","Acer.rubrum","Thalictrum","Rosaceae","Onagraceae"
1,-25,0.00471698113207547,0.00943396226415094,0.127358490566038,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.0849056603773585,0.00943396226415094,0.00471698113207547,0.0188679245283019,0.0424528301886792,0.0141509433962264,0.113207547169811,0.00471698113207547,0.00943396226415094,0.00943396226415094,0.0424528301886792,0.127358490566038,0.00943396226415094,0.0754716981132075,0.136792452830189,0.0471698113207547,0.00471698113207547,0.070754716981132,0.0141509433962264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,21,0.00925925925925926,0.00462962962962963,0.166666666666667,0.00925925925925926,0.00462962962962963,0,0.00462962962962963,0.0925925925925926,0,0,0,0.0509259259259259,0.0277777777777778,0.115740740740741,0,0,0,0.0648148148148148,0.125,0.0185185185185185,0.0509259259259259,0.0833333333333333,0.0277777777777778,0,0.0972222222222222,0.0138888888888889,0.0231481481481481,0.00462962962962963,0.00462962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,73,0.009478672985782,0.004739336492891,0.156398104265403,0,0.004739336492891,0.014218009478673,0.018957345971564,0.14218009478673,0,0,0,0.028436018957346,0.009478672985782,0.0900473933649289,0.009478672985782,0,0.009478672985782,0.0663507109004739,0.127962085308057,0.014218009478673,0.0663507109004739,0.0900473933649289,0.028436018957346,0,0.0616113744075829,0.018957345971564,0.004739336492891,0,0,0.004739336492891,0.018957345971564,0,0,0,0,0,0,0,0,0,0,0,0,0
30,124,0.0137614678899083,0.0137614678899083,0.119266055045872,0.00458715596330275,0.00458715596330275,0,0.0275229357798165,0.0779816513761468,0.0091743119266055,0,0.00458715596330275,0.0275229357798165,0.0229357798165138,0.110091743119266,0.0137614678899083,0,0,0.114678899082569,0.137614678899083,0.0229357798165138,0.0596330275229358,0.0825688073394495,0.0091743119266055,0,0.0871559633027523,0.0137614678899083,0.00458715596330275,0,0,0,0.018348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0
40,370,0,0.0048780487804878,0.117073170731707,0.0195121951219512,0,0,0,0.151219512195122,0,0,0.0097560975609756,0.0439024390243902,0.0048780487804878,0.073170731707317,0,0,0.0097560975609756,0.141463414634146,0.146341463414634,0.0097560975609756,0,0.146341463414634,0.0048780487804878,0,0.0878048780487805,0.0097560975609756,0,0.0048780487804878,0,0,0.0146341463414634,0,0,0,0,0,0,0,0,0,0,0,0,0
50,810,0.00943396226415094,0,0.165094339622642,0.0141509433962264,0,0,0.0188679245283019,0.14622641509434,0,0,0,0.0377358490566038,0.0235849056603774,0.0943396226415094,0,0.00471698113207547,0.00471698113207547,0.113207547169811,0.122641509433962,0.00471698113207547,0,0.089622641509434,0,0,0.108490566037736,0.0141509433962264,0.00471698113207547,0,0,0,0.0235849056603774,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1251,0.00938967136150235,0,0.131455399061033,0.0187793427230047,0,0,0.00938967136150235,0.164319248826291,0.00469483568075117,0,0.00938967136150235,0.0234741784037559,0.0187793427230047,0.0751173708920188,0,0,0.00469483568075117,0.0985915492957746,0.154929577464789,0.0187793427230047,0,0.136150234741784,0,0,0.0892018779342723,0.0187793427230047,0.00469483568075117,0,0,0,0.00469483568075117,0.00469483568075117,0,0,0,0,0,0,0,0,0,0,0,0
70,1691,0.00956937799043062,0,0.15311004784689,0.00956937799043062,0,0,0.0143540669856459,0.143540669856459,0.00478468899521531,0,0.00478468899521531,0.0334928229665072,0.0239234449760766,0.133971291866029,0,0,0,0.076555023923445,0.172248803827751,0,0.00478468899521531,0.124401913875598,0.00956937799043062,0,0.0430622009569378,0.0191387559808612,0,0,0,0,0.0143540669856459,0,0.00478468899521531,0,0,0,0,0,0,0,0,0,0,0
80,2131,0,0,0.132701421800948,0.009478672985782,0,0,0.014218009478673,0.180094786729858,0,0,0,0.023696682464455,0.028436018957346,0.099526066350711,0,0,0.004739336492891,0.0805687203791469,0.161137440758294,0.004739336492891,0,0.118483412322275,0,0,0.109004739336493,0,0.004739336492891,0,0,0,0.028436018957346,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2572,0.00966183574879227,0,0.115942028985507,0.00966183574879227,0,0,0.00966183574879227,0.164251207729469,0,0,0,0.0241545893719807,0.0193236714975845,0.0676328502415459,0,0,0.0289855072463768,0.0917874396135266,0.202898550724638,0.00966183574879227,0.00483091787439614,0.115942028985507,0.00483091787439614,0,0.0869565217391304,0.00483091787439614,0,0,0,0,0.0193236714975845,0,0,0.00966183574879227,0,0,0,0,0,0,0,0,0,0
100,3012,0.0141509433962264,0.00943396226415094,0.127358490566038,0,0,0,0.0188679245283019,0.165094339622642,0.0188679245283019,0,0.0141509433962264,0.0330188679245283,0.0188679245283019,0.0566037735849057,0,0,0.00471698113207547,0.0754716981132075,0.183962264150943,0.00471698113207547,0.00943396226415094,0.132075471698113,0.00471698113207547,0,0.080188679245283,0.0141509433962264,0,0,0,0,0.0141509433962264,0,0,0,0,0,0,0,0,0,0,0,0,0
