"sample.depths","sample.ages","upland.sum","Carya","Cephalanthus","Asteraceae.undiff.","Fabaceae.undiff.","Quercus","Salix","Apiaceae","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Polygonaceae","Iva","Aster","Casuarina","Hippocratea","Cupressaceae.Taxaceae","Justicia","Celtis","Ilex","Ulmus","Fraxinus","Ericaceae","Nyssa","Arecaceae","Sophora","Juglans","Alnus","Euphorbiaceae","Onagraceae","Ostrya.Carpinus","Liquidambar","Bursera.simaruba"
1,-38,446,4,78,2,12,22,4,2,38,58,62,90,26,4,4,2,22,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-24,328,0,82,8,4,26,2,4,14,22,60,54,10,4,6,0,6,18,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-10,354,0,8,20,4,18,2,0,50,22,82,104,14,10,2,2,4,4,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,246,0,0,24,0,10,2,0,18,8,68,80,4,8,4,0,8,4,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
9,17,538,0,0,12,0,4,0,0,34,86,72,280,8,12,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,30,574,0,0,8,0,4,0,0,14,128,86,272,14,12,6,0,22,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0
13,43,676,0,0,10,0,6,0,0,22,154,90,366,4,2,6,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,82,532,0,0,0,0,12,0,0,4,116,192,190,6,2,2,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
17,147,500,0,0,0,4,12,0,2,0,80,226,156,6,0,0,2,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
21,277,262,0,0,4,2,4,0,0,2,12,98,126,0,4,0,2,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
25,407,430,0,0,0,0,6,0,0,0,42,100,274,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,472,244,0,0,2,0,8,0,0,2,8,76,142,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
29,536,226,0,0,4,0,2,0,0,0,6,86,120,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,601,628,0,0,0,0,2,2,0,0,0,56,564,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,723,770,0,0,0,0,2,0,0,2,4,64,692,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,844,572,2,0,4,2,4,0,0,2,12,178,330,8,4,8,4,4,0,0,2,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0
37,966,596,0,0,0,0,4,0,0,0,0,98,474,10,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
39,1087,562,0,0,0,0,8,0,0,0,0,60,490,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1209,568,0,0,2,0,6,0,0,0,6,254,286,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
43,1330,540,0,0,0,0,6,0,0,2,10,218,300,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
45,1451,506,0,0,0,0,10,0,0,0,6,214,242,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
51,1816,522,2,0,0,0,6,0,0,0,12,262,232,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
55,2013,438,0,0,0,2,10,0,0,0,10,210,190,2,4,4,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
61,2309,510,2,0,0,0,8,0,0,0,20,224,242,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
65,2506,330,0,0,0,0,2,0,0,0,4,230,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
70,NA,478,0,0,2,0,4,2,0,0,6,286,172,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
