"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Arenaria","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Campanula","Carya","Caryophyllaceae.undiff.","Castanea","Celtis","Cephalanthus","Cerealia","Corylus","Cupressaceae","Cyperaceae","Dalea","Diphasiastrum.complanatum","Dryas","Dryopteris.type","Equisetum","Ericaceae","Eupatorium.type","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Humulus","Huperzia.lucidula","Ilex.Nemopanthus","Indeterminable","Isoëtes","Iva.annua","Juglans.cinerea","Juglans.undiff.","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Melampyrum","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum.lapathifolium.type","Polypodium","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae","Prunus.type.undiff.","Prunus.cf..P..serotina","Pteridium.type","Quercus","Ranunculus.acris.type","Rhamnus","Rosaceae.undiff.","Rumex","Salix","Sambucus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete..undiff.","Urtica.type"
1200.25,NA,0,0,0,0,0,5,0,0,1,3,0,0,0,1,44,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,35,6,0,3,0,0,0,0,4,0,0,0,2,27,0,0,0,1,0,0,0,2,0,0,3,0,2,1,0,0
1209.75,NA,0,3,4,0,1,6,0,0,0,0,0,0,0,0,138,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,46,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,13,65,18,0,0,0,0,0,0,0,0,0,0,6,46,0,0,0,2,0,0,0,0,0,1,52,0,1,0,0,0
1219.75,NA,0,1,3,1,3,10,0,0,0,6,0,0,0,1,144,0,0,1,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,3,0,20,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,12,45,12,0,30,0,0,0,0,5,0,0,0,16,43,1,0,1,17,1,0,0,0,0,0,22,0,5,0,0,0
1229.5,NA,0,0,8,1,0,6,0,0,0,9,0,0,0,1,109,0,0,2,0,0,0,0,0,0,1,9,0,0,0,0,0,3,0,5,0,15,1,4,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,0,0,3,9,20,89,18,0,9,0,0,0,0,5,0,0,0,3,41,0,0,0,9,2,0,0,0,0,0,10,0,2,0,0,0
1239.5,NA,0,0,7,2,3,4,0,0,0,2,0,0,0,0,98,0,0,5,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,9,0,24,4,4,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,13,12,78,14,0,0,0,0,1,0,4,0,0,0,4,32,0,0,0,0,0,0,0,0,0,1,40,0,3,3,0,0
1249.5,NA,0,0,6,2,5,4,0,0,0,0,0,0,0,0,103,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,43,0,7,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,10,55,8,0,1,0,0,1,0,7,0,0,0,4,13,0,0,1,0,0,0,0,0,0,0,71,0,1,3,0,0
1259.5,NA,0,1,3,0,2,3,0,0,0,0,0,0,1,0,57,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,4,16,3,0,0,0,0,1,0,1,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,156,0,3,0,0,0
1260,NA,0,0,7,0,2,1,0,0,0,0,0,0,0,1,61,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,2,0,2,0,43,3,3,1,0,0,10,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,17,12,60,20,0,0,0,0,0,0,0,0,0,0,6,34,0,1,1,0,0,0,0,1,0,1,85,0,0,1,0,0
1270,NA,1,0,10,0,1,1,0,0,0,0,0,0,0,0,56,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,67,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,80,10,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,147,0,4,2,0,0
1280,1061,0,0,7,0,4,2,0,0,0,0,0,0,0,0,51,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,71,2,3,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,11,0,20,7,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,133,0,2,1,0,0
1290,1384,0,0,8,0,1,6,0,0,0,0,0,0,0,0,61,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,5,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,134,0,2,1,0,0
1300,1706,0,0,11,0,2,4,0,0,0,1,0,0,0,0,68,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,79,1,5,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,18,7,0,0,0,0,1,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,105,0,1,1,0,0
1310,2029,0,0,6,0,1,2,0,0,0,0,0,0,0,0,64,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,64,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,52,13,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,142,0,1,2,0,0
1320,2351,0,0,13,4,0,0,0,0,0,0,0,0,0,1,63,1,0,0,0,2,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,55,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,9,27,13,0,0,0,0,1,0,1,0,0,0,2,20,0,0,0,0,0,0,0,0,0,1,154,0,5,1,0,0
1330,2673,0,0,8,0,7,1,0,0,0,0,0,0,0,1,106,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,82,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,39,37,0,0,0,0,2,0,2,0,0,0,0,26,0,0,0,0,0,0,0,0,1,0,73,0,4,0,0,0
1340,2996,0,0,8,0,0,6,0,0,0,0,0,0,0,0,78,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,80,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,4,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,52,0,1,2,0,0
1350,3318,0,0,2,0,3,6,0,0,0,0,0,0,0,0,92,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48,19,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,1,0,0,0,0,0,37,0,4,0,0,0
1360,3641,0,0,15,0,12,5,0,0,1,0,0,0,0,1,75,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,69,0,1,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,45,25,0,0,0,0,0,0,0,0,0,0,1,66,0,0,0,0,0,0,0,0,0,1,25,0,4,0,0,0
1368,3899,3,0,1,6,0,3,1,0,0,1,0,0,1,0,126,0,0,0,0,1,0,0,0,0,0,34,0,1,0,0,0,0,0,0,0,60,0,0,7,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,2,113,1,0,0,0,0,0,0,0,0,1,0,3,58,0,0,0,0,0,0,0,0,0,0,10,0,5,2,0,0
1370,3963,0,0,4,0,3,2,0,0,0,0,0,0,1,0,93,0,0,0,0,1,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,43,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0,1,0,0,0,0,0,6,0,4,0,0,0
1384,4415,1,0,0,8,0,7,0,0,0,1,0,0,0,2,107,0,0,0,0,2,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,44,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,89,2,0,3,0,0,0,0,0,0,0,0,0,98,0,0,0,0,1,0,0,0,0,0,16,0,5,1,0,0
1390,NA,2,0,15,1,0,4,0,0,1,0,0,0,0,1,68,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,76,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,28,6,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,1,0,0,0,0,1,98,0,3,1,0,0
1400,NA,1,0,11,5,3,4,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,4,37,4,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,2,0,0,0,0,1,90,0,2,1,0,0
1410,NA,2,0,1,0,0,1,0,0,1,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,150,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1,0,0,0,0,0,44,0,3,1,0,0
1420,NA,0,0,0,0,3,7,0,0,1,0,0,0,0,2,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,47,0,0,0,0,0,0,0,0,0,0,0,1,62,0,0,0,0,2,0,0,0,0,0,72,0,3,0,0,0
1430,NA,0,0,3,1,1,6,0,0,0,2,0,0,0,0,90,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,14,2,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,55,4,0,0,0,0,0,1,8,0,0,0,0,86,0,0,0,0,2,0,0,0,0,0,55,0,4,1,0,0
1440,NA,0,0,9,2,4,8,0,0,0,0,0,0,0,0,66,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,50,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70,9,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,127,0,2,2,0,0
1450,NA,0,0,10,0,2,1,0,0,0,0,0,0,0,2,46,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,46,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,99,12,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,1,0,0,0,1,0,81,0,5,2,0,0
1460,NA,0,0,2,1,1,9,0,0,0,0,0,0,0,2,96,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,37,0,0,6,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,25,6,0,0,0,0,0,0,0,0,0,0,2,72,0,0,0,0,0,0,0,0,0,0,65,0,3,2,0,0
1470,NA,0,0,4,0,0,7,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,29,9,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,219,0,5,1,0,0
1480,NA,0,0,19,2,3,3,0,0,0,0,0,0,0,2,52,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,59,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,95,1,12,0,0,0
1490,NA,0,0,0,0,0,4,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,61,32,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0,0,1,0,0,0,0,0,93,0,1,1,0,0
