"sample.depths","sample.ages","Acer.negundo","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fraxinus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rumex","Salix","Shepherdia","Thalictrum","Ulmus"
5,360,0,124,11,8,69,11,205,9,5,35,0,0,0,0,0,279,478,31,0,0,10,1,26,0,0,4
15,1058,0,151,20,10,103,20,324,8,1,25,2,1,0,1,0,328,687,45,1,0,10,0,34,0,7,1
25,1755,2,204,27,11,113,19,389,13,0,23,1,1,1,2,1,493,1045,50,0,0,17,1,38,0,6,1
35,2453,0,164,19,13,99,15,345,9,4,40,0,1,0,4,2,398,811,63,1,0,23,0,48,1,5,5
45,3151,0,100,15,17,77,9,209,8,3,27,0,1,0,4,1,231,551,30,0,0,12,2,26,0,8,2
55,3849,0,106,19,10,77,10,274,9,3,30,0,0,0,1,3,257,496,33,2,0,12,0,27,0,3,1
65,4547,0,94,20,9,75,13,240,6,2,38,0,0,0,3,0,121,701,32,2,0,8,0,31,2,2,4
75,4902,0,134,26,18,86,19,333,11,2,101,0,1,0,4,1,232,1234,104,2,0,10,0,42,2,0,2
85,5258,0,190,40,24,172,20,295,13,9,95,0,0,0,3,0,190,1350,123,0,0,11,1,71,0,6,2
95,5613,2,104,27,13,90,11,129,7,7,128,0,2,0,0,2,61,549,68,0,1,8,1,31,3,13,3
105,5969,0,1000,34,23,109,17,231,80,80,31,0,10,0,2,10,176,917,97,0,0,130,1,190,2,9,10
115,6325,0,156,46,36,159,30,251,10,15,120,0,3,0,2,3,208,551,172,0,3,13,2,47,1,4,3
125,6680,0,76,35,26,87,8,93,7,15,63,0,0,0,0,0,108,147,83,0,0,7,1,41,1,2,0
135,7036,1,50,46,38,89,13,90,4,12,52,0,1,0,4,1,116,145,92,0,0,3,1,31,1,0,1
145,7182,0,80,50,59,143,23,117,7,14,40,0,1,0,2,6,128,173,138,0,2,14,1,39,3,4,2
155,7327,1,58,45,54,113,20,62,3,30,81,0,1,0,3,5,60,83,87,1,11,4,0,18,1,0,4
165,7473,0,46,54,40,96,10,55,2,30,73,0,0,0,3,2,37,42,107,1,0,6,0,21,2,2,3
175,7618,4,48,50,46,111,14,80,3,35,97,0,0,0,4,3,65,65,162,1,2,4,0,25,3,0,3
185,7764,1,53,80,77,133,19,110,2,67,147,0,1,0,5,5,122,70,111,0,5,8,1,48,2,2,1
195,7910,0,37,70,47,184,24,204,4,89,271,0,0,1,5,1,177,129,109,0,3,5,2,60,3,5,1
200,7982,0,7,28,34,93,4,41,0,41,26,0,0,0,0,0,76,53,16,2,0,1,0,16,3,2,0
205,8055,0,4,26,21,58,3,31,1,22,28,0,1,1,1,2,33,28,24,2,4,0,0,10,1,0,2
210,NA,0,1,49,56,90,6,26,1,25,19,0,1,0,0,1,45,67,9,2,0,1,0,9,3,2,0
215,NA,0,4,23,15,42,7,22,1,26,46,0,0,1,1,2,70,49,33,2,7,1,0,16,0,0,0
220,NA,0,0,18,3,31,3,4,0,3,23,0,0,0,0,0,23,99,20,2,0,0,0,2,3,0,0
