"sample.depths","sample.ages","Abies","Ambrosia.type","Artemisia","Betula","Carya","Asteraceae.undiff.","Corylus","Cyperaceae","Larix","Ostrya.Carpinus","Quercus","Salix","Tilia","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Amaranthaceae","Poaceae","Picea","Cupressaceae"
1,11,0.00495049504950495,0.181518151815182,0.00165016501650165,0.0544554455445545,0.0214521452145215,0.033003300330033,0.00495049504950495,0.16006600660066,0.0445544554455446,0.0099009900990099,0.265676567656766,0.00825082508250825,0.00165016501650165,0.0181518151815182,0.0214521452145215,0.0099009900990099,0.00495049504950495,0.0115511551155116,0.0775577557755776,0.0363036303630363,0.0280528052805281,0,0
7,77,0.00359712230215827,0.26978417266187,0.00359712230215827,0.0179856115107914,0.0107913669064748,0.0215827338129496,0.00359712230215827,0.0899280575539568,0.276978417266187,0.00359712230215827,0.118705035971223,0,0.00359712230215827,0.00719424460431655,0.0143884892086331,0.00359712230215827,0.00719424460431655,0.00359712230215827,0.0575539568345324,0.0503597122302158,0.0287769784172662,0.00359712230215827,0
13,153,0.00313479623824451,0.0156739811912226,0.00313479623824451,0.00313479623824451,0.00626959247648903,0.00940438871473354,0.00313479623824451,0.278996865203762,0.266457680250784,0,0.0815047021943574,0.00313479623824451,0,0.00313479623824451,0.00626959247648903,0.00313479623824451,0,0.00313479623824451,0.282131661442006,0,0.0250783699059561,0.00313479623824451,0
19,239,0,0.00946372239747634,0,0.0252365930599369,0.00946372239747634,0.00946372239747634,0.00946372239747634,0.318611987381703,0.135646687697161,0,0.126182965299685,0.00315457413249211,0,0.00630914826498423,0.00630914826498423,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.299684542586751,0.00315457413249211,0.0252365930599369,0.00315457413249211,0
25,326,0.00696864111498258,0.0104529616724739,0,0.0452961672473868,0.00348432055749129,0.0104529616724739,0.00348432055749129,0.327526132404181,0.212543554006969,0.00348432055749129,0.0696864111498258,0,0,0.00348432055749129,0.0104529616724739,0,0.00348432055749129,0,0.233449477351916,0,0.0313588850174216,0.024390243902439,0
31,412,0,0.0180995475113122,0,0.0588235294117647,0.00452488687782805,0.0180995475113122,0.00904977375565611,0.153846153846154,0.230769230769231,0,0.085972850678733,0.00452488687782805,0,0,0.0180995475113122,0.00452488687782805,0,0.00452488687782805,0.330316742081448,0.00452488687782805,0.0361990950226244,0.0180995475113122,0
37,499,0,0.012,0.004,0.024,0,0.008,0,0.216,0.224,0,0.072,0.004,0,0,0.012,0,0,0,0.376,0.008,0.024,0.016,0
43,585,0,0.016,0,0.024,0.012,0.008,0,0.224,0.24,0.004,0.056,0,0.004,0.004,0.008,0.004,0,0,0.344,0.008,0.028,0.016,0
49,671,0.00311526479750779,0.0124610591900312,0.00623052959501558,0.0124610591900312,0.00311526479750779,0.00311526479750779,0.00311526479750779,0.283489096573209,0.102803738317757,0,0.0965732087227414,0.00934579439252336,0,0,0.00623052959501558,0.0124610591900312,0.00623052959501558,0,0.376947040498442,0.00934579439252336,0.0342679127725857,0.0186915887850467,0
62,859,0,0.0271739130434783,0,0.00543478260869565,0.00543478260869565,0.0108695652173913,0,0.255434782608696,0.0489130434782609,0,0.119565217391304,0.00543478260869565,0,0.00543478260869565,0,0.00543478260869565,0.00543478260869565,0,0.445652173913043,0.0108695652173913,0.0326086956521739,0.016304347826087,0
