"sample.depths","sample.ages","upland.sum","Abies","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Dryas.type","Larix","Picea","Salix","Pinus","Poaceae","Brassicaceae","Ericales.undiff.","Vaccinium","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ledum.Chamaedaphne.calyculata","Cassiope.type","Fabaceae","Quercus","Acer","Amaranthaceae"
975,46,355,1,46,4,4,65,80,1,1,124,2,16,8,1,2,0,0,0,0,0,0,0,0,0
985,617,318,0,48,0,4,57,64,0,1,125,1,13,4,0,1,0,0,0,0,0,0,0,0,0
995,1188,331,0,44,1,2,47,41,0,0,175,2,13,5,0,0,1,0,0,0,0,0,0,0,0
1005,1758,370,0,48,0,0,61,24,0,0,226,1,4,2,0,1,2,1,0,0,0,0,0,0,0
1015,2255,318,0,41,0,1,44,20,0,0,200,2,8,0,0,0,2,0,0,0,0,0,0,0,0
1025,2532,313,0,58,1,0,44,27,0,0,167,3,5,4,0,2,2,0,0,0,0,0,0,0,0
1035,2808,367,0,86,0,2,61,20,0,0,190,0,7,0,0,0,0,0,1,0,0,0,0,0,0
1045,3084,304,0,74,0,1,64,12,0,0,145,2,1,2,0,0,0,0,0,2,1,0,0,0,0
1055,3361,389,0,90,0,2,81,30,0,0,176,2,6,1,0,0,1,0,0,0,0,0,0,0,0
1065,3692,312,1,49,1,3,46,28,0,0,165,1,11,1,0,0,1,1,1,2,0,1,0,0,0
1075,4188,476,0,124,1,4,96,20,0,1,219,1,6,3,0,0,0,0,0,1,0,0,0,0,0
1085,4684,434,1,154,1,1,113,28,0,0,119,1,7,7,0,0,0,0,0,0,0,0,1,1,0
1095,5179,679,0,322,0,2,228,31,0,2,73,5,7,6,0,0,0,2,0,0,0,0,1,0,0
1105,5675,438,0,221,0,1,134,29,0,0,26,10,11,4,0,0,0,0,0,0,0,0,0,0,2
1115,NA,315,0,164,0,2,55,54,1,0,10,13,6,3,0,0,4,0,0,0,1,0,0,0,2
