"sample.depths","sample.ages","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Myrica","Populus","Poaceae","Alnus.viridis.subsp..crispa","Epilobium","Amaranthaceae","Ranunculaceae","Fraxinus","Acer","Plantago","Fagus","Larix","Rumex","Polygonum.viviparum","Ulmus","Ostrya","Abies","Cornus.canadensis","Castanea","Lamiaceae","Brassicaceae","Tsuga","Apiaceae","Juglans","Rosaceae","Saxifragaceae"
1,59,0.00558659217877095,0.188081936685289,0.0204841713221601,0.0167597765363128,0.00931098696461825,0.391061452513966,0.00931098696461825,0.0074487895716946,0.0148975791433892,0.0037243947858473,0.00558659217877095,0.00186219739292365,0.0111731843575419,0.0037243947858473,0.0037243947858473,0.0074487895716946,0.0167597765363128,0.283054003724395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,153,0.00577478344562079,0.211742059672762,0.0365736284889317,0.0211742059672762,0.0173243503368624,0.373435996150144,0.00962463907603465,0.00577478344562079,0.00288739172281039,0,0,0.00384985563041386,0.00577478344562079,0.00962463907603465,0.00192492781520693,0,0.00192492781520693,0.286814244465833,0.00192492781520693,0.00384985563041386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,294,0.00666666666666667,0.238333333333333,0.04,0.00666666666666667,0.02,0.3125,0.025,0.005,0.00416666666666667,0.00333333333333333,0.00166666666666667,0.00166666666666667,0.00666666666666667,0.00666666666666667,0.00166666666666667,0.005,0.00333333333333333,0.308333333333333,0,0,0.00166666666666667,0.00166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,435,0.0134874759152216,0.204238921001927,0.00963391136801541,0.0154142581888247,0.0115606936416185,0.40655105973025,0.00578034682080925,0.00385356454720617,0.0134874759152216,0,0.00192678227360308,0.00192678227360308,0,0.00963391136801541,0.00192678227360308,0.00192678227360308,0.00770712909441233,0.289017341040462,0,0,0,0,0.00192678227360308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,763,0.00178731009830206,0.13047363717605,0.0196604110813226,0.0178731009830206,0.0142984807864164,0.480786416443253,0.0339588918677391,0,0.00268096514745308,0.00357462019660411,0.00536193029490617,0,0.00178731009830206,0.00714924039320822,0,0.00178731009830206,0.00893655049151028,0.2609472743521,0.00178731009830206,0.00178731009830206,0.00178731009830206,0.00178731009830206,0,0.00178731009830206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,998,0.00967117988394584,0.16247582205029,0.00580270793036751,0.0212765957446809,0.00386847195357834,0.463249516441006,0.00773694390715667,0.00580270793036751,0.00870406189555126,0.00386847195357834,0.00386847195357834,0.00193423597678917,0.00193423597678917,0.00193423597678917,0,0.00193423597678917,0.0135396518375242,0.282398452611219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,1139,0.00176991150442478,0.169911504424779,0.0106194690265487,0.0176991150442478,0.00707964601769911,0.406194690265487,0.0141592920353982,0.00176991150442478,0.00442477876106195,0.00176991150442478,0.00353982300884956,0.00176991150442478,0.0088495575221239,0,0,0.00353982300884956,0.0176991150442478,0.31858407079646,0,0.00176991150442478,0,0,0,0,0.00176991150442478,0.00353982300884956,0.00176991150442478,0.00176991150442478,0,0,0,0,0,0,0,0,0,0,0,0
15,1374,0.0136054421768707,0.124392614188533,0.00777453838678328,0.0233236151603499,0.00388726919339164,0.439261418853256,0.0136054421768707,0.0097181729834791,0.0126336248785228,0,0,0.00194363459669582,0.00388726919339164,0.00388726919339164,0.00194363459669582,0,0.00388726919339164,0.332361516034985,0,0,0,0,0,0,0,0,0,0,0.00194363459669582,0.00194363459669582,0,0,0,0,0,0,0,0,0,0
16,1467,0.00460475825019187,0.145817344589409,0.0107444359171144,0.0153491941673062,0.00460475825019187,0.472755180353031,0.0276285495011512,0.00613967766692249,0.00230237912509593,0.00153491941673062,0,0.00306983883346124,0.00153491941673062,0.00153491941673062,0,0.00153491941673062,0.00920951650038373,0.283960092095165,0,0.00306983883346124,0,0,0,0,0,0.00153491941673062,0,0,0,0,0.00306983883346124,0,0,0,0,0,0,0,0,0
20,1843,0.00524475524475524,0.162587412587413,0.006993006993007,0.0122377622377622,0.0157342657342657,0.395104895104895,0.0122377622377622,0.006993006993007,0.00874125874125874,0.0034965034965035,0.00174825174825175,0,0,0,0,0.00174825174825175,0.00874125874125874,0.354895104895105,0,0,0,0.00174825174825175,0.00174825174825175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
