"sample.depths","sample.ages","Abies","Alnus.undiff.","Betula","Pinaceae.undiff.","Cyperaceae","Fagus","Ilex","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Betulaceae.undiff.","Fraxinus","Juglans","Myrica","Pinus","Poaceae","Acer.saccharum","Acer.spicatum","Ericaceae","Larix","Salix","Tilia","Artemisia","Carya","Castanea","Platanus","Urtica","Alnus..tetraporate.","Alnus..pentaporate.","Acer.rubrum","Populus","Rosaceae","Chenopodium.type","Corylus","Acer.undiff.","Nyssa","Taxus","Cornus","Viburnum","Acer.negundo","Thalictrum","Celtis","Juniperus.Thuja","Rumex","Epilobium"
20,190,0.0113851992409867,0.0303605313092979,0.436432637571158,0.0246679316888046,0.00379506641366224,0.0872865275142315,0.00379506641366224,0.0455407969639469,0.0910815939278937,0.0455407969639469,0.0379506641366224,0.00379506641366224,0.00759013282732448,0.00379506641366224,0.015180265654649,0.015180265654649,0.00759013282732448,0.00759013282732448,0.0910815939278937,0.015180265654649,0.015180265654649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,660,0.00373831775700935,0.011214953271028,0.478504672897196,0.0130841121495327,0.00747663551401869,0.085981308411215,0.00373831775700935,0.0149532710280374,0.0560747663551402,0.0448598130841121,0.0672897196261682,0,0.011214953271028,0,0.0299065420560748,0.0261682242990654,0,0,0.085981308411215,0.00373831775700935,0.0373831775700935,0.00373831775700935,0.00373831775700935,0.00373831775700935,0.00373831775700935,0.00373831775700935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1157,0.0122116689280868,0,0.461329715061058,0.0366350067842605,0.00271370420624152,0.127544097693351,0,0.00814111261872456,0.028493894165536,0.0515603799185889,0.0814111261872456,0,0.0108548168249661,0.00271370420624152,0.00271370420624152,0.0162822252374491,0.00271370420624152,0.00542740841248304,0.062415196743555,0.00542740841248304,0.0217096336499322,0,0.00271370420624152,0.00271370420624152,0.00271370420624152,0,0.00542740841248304,0.00814111261872456,0.00542740841248304,0.00271370420624152,0.0135685210312076,0.0135685210312076,0.00271370420624152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1680,0.00931098696461825,0.0148975791433892,0.536312849162011,0.0540037243947858,0.0037243947858473,0.0819366852886406,0,0.0260707635009311,0.0074487895716946,0.0446927374301676,0.0595903165735568,0,0.0297951582867784,0,0.0186219739292365,0.0111731843575419,0.0037243947858473,0,0.0540037243947858,0,0.037243947858473,0,0,0,0,0,0,0,0.0037243947858473,0,0,0,0,0.0037243947858473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2230,0.00131926121372032,0.00659630606860158,0.150395778364116,0.00857519788918206,0,0.0343007915567282,0.00131926121372032,0.0211081794195251,0.66622691292876,0.0329815303430079,0.0105540897097625,0,0.00659630606860158,0,0.0158311345646438,0.00395778364116095,0,0.00263852242744063,0.016490765171504,0.00263852242744063,0.00923482849604222,0,0.00131926121372032,0,0,0.00131926121372032,0.00131926121372032,0,0.00263852242744063,0,0,0,0,0,0.00263852242744063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2806,0.0107003891050584,0,0.568093385214008,0.0252918287937743,0,0.140077821011673,0,0.0116731517509728,0.0116731517509728,0.0350194552529183,0.0466926070038911,0.00194552529182879,0.00972762645914397,0.00194552529182879,0.0214007782101167,0.0155642023346304,0.00389105058365759,0,0.0359922178988327,0,0.0272373540856031,0,0,0,0.00194552529182879,0.00194552529182879,0,0.00389105058365759,0.00194552529182879,0.00194552529182879,0.00583657587548638,0.00778210116731518,0.00389105058365759,0,0,0.00194552529182879,0.00194552529182879,0,0,0,0,0,0,0,0,0,0,0,0
140,3409,0.00185185185185185,0.0333333333333333,0.522222222222222,0.00555555555555556,0,0.133333333333333,0.0037037037037037,0.0481481481481481,0.00740740740740741,0.0444444444444444,0.0518518518518519,0,0.0148148148148148,0,0.0148148148148148,0.00740740740740741,0,0.00740740740740741,0.0703703703703704,0.0037037037037037,0.0259259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0.0037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4039,0.00571428571428571,0.0380952380952381,0.552380952380952,0.00380952380952381,0,0.0914285714285714,0,0.0380952380952381,0.00380952380952381,0.060952380952381,0.00761904761904762,0,0.0114285714285714,0.00380952380952381,0.0380952380952381,0.0114285714285714,0,0,0.0647619047619048,0.00380952380952381,0.0228571428571429,0,0.00380952380952381,0.00380952380952381,0.00380952380952381,0.00761904761904762,0.00380952380952381,0.00380952380952381,0.00380952380952381,0.00380952380952381,0,0,0,0,0.00380952380952381,0,0,0.00380952380952381,0,0,0,0,0,0,0,0,0,0,0
180,4695,0.00844772967265047,0,0.515311510031679,0.0232312565997888,0,0.124604012671595,0.00211193241816262,0.0147835269271383,0.00633579725448786,0.0675818373812038,0.0168954593453009,0,0.0147835269271383,0.00211193241816262,0.00633579725448786,0.00844772967265047,0.00844772967265047,0.00422386483632524,0.0623020063357973,0.0105596620908131,0.0359028511087645,0,0,0.00211193241816262,0.00211193241816262,0,0,0,0,0.00633579725448786,0.0147835269271383,0.0190073917634636,0.00844772967265047,0,0,0,0,0.00211193241816262,0.00211193241816262,0.00211193241816262,0.00211193241816262,0.00633579725448786,0,0,0,0,0,0,0
200,5378,0.00555555555555556,0.037037037037037,0.507407407407407,0.00740740740740741,0,0.0481481481481481,0.00740740740740741,0.0444444444444444,0.012962962962963,0.0296296296296296,0.133333333333333,0,0.0111111111111111,0.0037037037037037,0.0296296296296296,0.0407407407407407,0,0,0.0481481481481481,0.0037037037037037,0.0148148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037037037037037,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0
