"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Indeterminable","Iva","Juglans","Lamiaceae","Larix","Lemnaceae","Liquidambar","Lycopodium.annotinum","Lycopodium.obscurum","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae.undiff.","Rubus","Salix","Sambucus","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Viburnum","Vitis"
0,1,0,0,1,4,0,0,3,0,5,59,0,3,0,32,0,0,10,0,0,0,4,2,0,0,1,7,0,0,12,3,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,13,1,7,23,0,1,2,0,68,0,0,10,0,0,1,0,0,0,0,1,22,13,0,0,0
16,36,0,3,0,6,1,0,4,0,4,84,0,1,0,31,0,0,2,0,0,0,3,1,0,0,0,0,0,0,9,2,0,0,0,4,0,0,0,0,0,0,2,0,0,13,0,0,0,0,11,0,0,17,0,2,1,1,81,2,0,3,0,0,0,0,0,4,1,0,18,2,0,0,1
32,71,0,1,0,6,0,0,4,0,0,34,0,5,1,27,0,0,5,0,0,4,3,4,0,0,9,3,0,0,16,0,0,1,0,3,0,0,0,0,1,0,1,0,0,17,0,0,0,0,10,0,4,24,0,0,0,1,99,0,0,2,1,0,0,0,0,3,1,0,17,1,0,0,0
38,84,0,1,0,5,0,0,5,0,1,13,0,4,2,14,0,0,6,0,0,1,0,3,0,0,7,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,7,0,0,9,0,1,3,1,116,0,0,1,0,0,0,0,0,2,2,2,13,0,0,0,0
52,217,0,0,0,2,2,0,6,0,0,4,0,2,1,23,0,0,6,0,0,1,2,0,0,0,6,1,0,0,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,34,1,0,0,0,16,0,3,10,0,1,1,1,151,0,0,1,0,0,0,1,0,3,0,0,18,1,0,0,0
57,301,0,1,0,9,0,0,7,0,0,6,0,1,1,23,0,1,4,0,0,2,0,3,0,0,6,1,0,0,19,4,0,3,0,1,0,0,0,0,0,0,1,1,0,38,0,0,0,0,9,0,5,8,0,1,1,0,126,0,0,1,0,0,0,0,0,4,2,0,19,3,0,0,0
64,375,0,1,0,5,1,0,3,0,1,5,0,3,2,36,0,0,3,0,0,3,0,3,0,0,3,1,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,7,0,0,7,0,0,1,0,136,0,1,0,0,0,0,0,0,1,0,0,21,0,0,0,0
96,639,0,0,0,6,0,0,6,0,0,4,0,5,1,24,0,0,6,0,0,2,2,1,0,0,6,1,0,0,11,2,0,0,0,2,0,0,0,0,0,0,0,0,0,26,1,0,0,0,18,0,3,8,0,1,0,0,149,0,0,4,0,0,0,0,0,4,3,1,13,3,0,0,0
128,903,0,1,0,4,0,0,4,0,2,7,0,2,2,38,0,0,4,0,0,0,2,1,0,0,2,3,0,0,14,1,0,0,0,3,0,0,0,0,0,0,1,1,0,14,0,0,0,0,12,0,1,5,0,0,0,0,189,0,0,2,0,0,0,0,0,0,4,1,6,0,0,0,0
160,1167,0,0,2,0,0,0,5,0,0,4,0,8,3,24,0,1,2,0,0,0,3,3,0,0,4,1,0,0,11,0,0,2,0,9,0,1,0,0,1,0,3,3,0,9,2,0,0,0,19,0,2,12,0,4,0,0,173,0,0,1,0,0,0,0,0,0,1,0,10,0,0,0,0
