"sample.depths","sample.ages","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Anacardiaceae","Apiaceae","Aquatics.undiff.","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Athyrium","Betula","Brasenia.schreberi","Brassicaceae","Carya","Ceanothus","Celtis","Cerealia","Cornus","Corylus","Crataegus.type","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Gleditsia","Herbs.undiff.","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemnaceae","Lycopodium.type","Menyanthes.trifoliata","Moraceae.undiff.","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum","Populus","Potentilla.type","Prunus.Sorbus","Pteridium.type","Pyrus.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Saxifragaceae","Shepherdia","Shrubs.undiff.","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Vitis","Woodsia"
780,11381,0,0,0,0,4,0,37,1,4,6,0,0,0,0,0,5,0,1,0,87,1,0,11,0,0,0,0,4,0,4,12,0,0,0,1,0,0,0,0,14,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0,6,72,8,84,4,3,0,2,0,0,14,0,75,0,0,0,0,0,3,0,2,0,1,0,0,1,2,0,0,0,83,0,1,0,0
800,11705,0,0,0,0,1,0,8,0,8,3,0,1,0,0,0,4,0,0,0,91,2,0,3,0,1,0,0,7,0,1,5,0,0,0,0,0,0,0,0,6,0,0,0,0,7,1,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,7,0,11,52,2,52,0,10,0,2,0,0,5,0,25,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2,39,0,0,1,0
820,11808,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,13,0,2,0,87,0,1,0,0,0,0,0,5,0,9,10,0,0,0,2,0,1,0,1,56,0,1,0,0,5,10,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,9,0,101,78,5,48,1,14,0,0,0,0,0,0,18,0,0,0,1,0,9,0,0,0,0,0,1,3,0,7,0,0,28,1,1,0,0
840,11872,0,0,0,0,1,0,6,0,1,3,1,0,0,0,0,16,0,3,0,26,0,1,0,0,0,0,0,3,0,1,6,0,0,0,0,1,0,0,0,14,0,0,0,0,9,10,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,153,1,2,8,0,14,0,1,0,0,0,0,12,0,0,0,0,0,4,0,0,0,1,0,2,0,0,2,0,0,3,0,2,0,0
860,11936,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,5,0,2,0,20,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,10,11,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,4,0,117,1,1,3,0,5,0,1,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0
884,12013,0,1,1,0,0,0,6,1,6,6,0,0,0,0,0,41,0,7,0,66,0,0,0,0,0,0,0,7,0,15,14,0,0,0,0,0,0,0,1,15,0,1,0,0,9,73,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,7,0,195,0,0,3,0,22,0,2,0,1,1,0,15,0,0,0,0,2,23,0,0,0,1,0,0,2,0,0,0,6,13,1,1,0,0
900,12064,0,0,0,0,0,0,8,1,3,2,0,0,0,0,0,14,0,2,0,17,0,0,0,0,0,0,0,1,0,3,11,0,0,0,0,0,1,0,0,5,0,0,0,0,11,81,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,208,1,0,2,0,21,0,5,0,0,0,0,6,0,0,0,1,0,11,0,0,0,1,0,0,1,0,8,0,1,11,0,0,0,0
920,12128,0,0,0,0,0,0,12,0,2,3,0,0,0,0,0,19,0,2,0,37,0,1,0,0,0,0,0,9,0,5,8,0,0,0,0,0,0,0,0,11,0,0,0,0,8,21,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,123,0,0,0,0,18,0,2,1,0,0,0,9,0,0,0,0,0,9,0,1,0,0,0,3,0,0,1,0,0,14,0,1,0,0
940,12191,0,0,0,0,0,0,9,0,1,2,0,0,0,0,0,15,0,3,0,20,0,0,0,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0,0,14,0,0,0,0,6,41,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,3,0,168,1,0,0,0,14,0,1,0,0,1,0,17,0,0,0,0,0,7,0,0,0,0,1,1,0,0,3,1,0,8,1,2,0,0
960,12255,0,0,0,0,0,0,8,0,1,2,0,0,0,0,0,9,0,0,0,28,1,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,9,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,105,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,7,2,0,0,0
980,12319,0,0,0,0,1,0,5,0,5,1,0,0,0,0,0,14,0,2,0,22,0,0,0,0,0,0,0,8,0,4,2,0,0,0,0,1,0,0,0,10,0,0,0,0,5,39,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,3,0,102,0,0,6,1,10,0,1,0,0,0,0,6,0,0,1,0,0,8,0,0,1,0,0,0,0,0,7,0,1,5,0,1,0,0
1000,12383,0,0,0,0,0,0,6,0,2,2,0,0,0,0,1,22,1,7,0,44,0,0,0,0,0,0,0,1,0,1,8,0,0,0,2,0,0,0,0,22,1,0,0,0,9,15,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,6,0,150,1,0,6,0,22,0,1,0,0,0,1,11,1,0,0,0,0,11,0,0,0,1,0,0,1,0,0,0,4,8,1,3,0,0
1020,12447,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,16,0,6,0,15,1,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,16,0,0,0,0,8,17,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,115,0,0,5,0,26,0,1,0,0,1,0,13,0,1,0,0,0,14,0,0,0,0,0,1,1,0,1,0,0,7,1,1,0,0
1040,NA,0,0,0,0,0,0,5,0,2,9,0,0,0,0,0,20,0,2,0,18,0,0,0,0,0,0,0,6,0,2,6,0,0,0,0,0,0,0,0,6,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,86,0,0,2,0,11,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,1,0,1,0,0,2,0,3,2,0,3,0,0
1060,NA,0,0,0,0,1,0,2,0,8,14,0,0,0,0,0,22,0,5,0,25,0,0,0,0,0,0,0,1,0,9,10,0,0,0,0,0,0,0,0,17,1,0,0,0,24,0,1,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,4,0,115,0,0,7,1,19,0,5,0,0,0,0,23,0,0,0,0,0,11,0,1,0,0,0,2,2,0,4,0,2,3,2,3,0,0
