"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Celtis","Cephalanthus","Amaranthaceae.undiff.","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Liquidambar","Lonicera","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Quercus","Saxifragaceae","Ulmus","Poaceae","Acer.saccharum.type","Acer.saccharinum.type","Castanea","Fagus","Magnolia","Salix","Ericaceae","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Cupressaceae.undiff.","Acer.rubrum","Fraxinus.nigra.type","Morus","Rhus","Rubus","Alnus","Brassicaceae","Tilia","Cornus","Polygonum","Cyperaceae","Pinus.subg..Strobus","Viburnum","Herbs.undiff.","Liriodendron","Prunus.Sorbus","Parthenocissus","Bidens.type","Corylus","Sambucus","Trees.undiff.","Juglans.undiff.","Vitis","Lamiaceae","Plantago","Rhamnaceae","Populus","Acer.negundo","Tsuga","Acer.pensylvanicum","Acer.spicatum","Thalictrum","Juglans.cinerea","Iva.annua.type","Picea","Artemisia","Ilex","Urtica.type","Onagraceae","Juglans.nigra","Sarcobatus.vermiculatus","Caryophyllaceae","Cannabaceae","Shrubs.undiff."
0,NA,324,11,1,4,2,2,1,2,2,31,1,24,3,34,131,1,64,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,560,335,2,0,7,0,10,0,0,4,8,0,147,1,7,42,0,84,0,1,2,1,1,11,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,790,357,7,0,4,0,12,0,2,1,13,0,133,0,10,63,0,77,3,1,1,1,0,12,2,0,4,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1105,343,2,0,4,1,0,0,0,3,10,0,160,3,6,45,0,83,0,2,3,1,0,10,2,0,1,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1419,397,3,0,9,0,4,0,1,11,11,0,207,1,7,58,0,67,0,0,2,0,0,6,0,2,0,0,0,2,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1755,324,0,2,8,0,0,0,0,1,9,0,181,0,4,26,0,69,0,0,2,2,0,10,1,0,5,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2176,423,3,0,6,0,3,0,1,7,15,0,204,1,6,42,0,116,1,0,1,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2598,406,1,1,6,0,5,0,0,2,10,0,231,0,6,29,0,86,0,1,1,2,0,16,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3019,509,1,0,9,0,1,0,0,2,19,0,297,0,8,51,0,105,3,0,1,0,0,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5755,441,1,0,6,3,11,0,1,2,9,0,62,1,5,46,1,155,1,5,8,0,0,0,1,0,3,0,0,1,1,4,2,0,0,89,1,0,0,1,0,4,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
