"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Carya","Caryophyllaceae","Castanea","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Fraxinus.nigra","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Larix","Lycopodium.type","Myrica","Picea","Pinus","Plantago","Poaceae","Populus","Pteridium","Quercus","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown"
1,63,4,0,66,0,13,1,2,22,0,159,0,0,2,0,0,2,58,219,3,0,0,14,8,0,0,0,13,4,86,28,1,21,0,0,1,1,1,18,1,7,0,0,1,0,1
5,419,10,0,54,0,1,0,1,21,1,131,0,0,0,0,0,1,44,171,4,2,0,17,1,0,0,0,14,6,67,44,0,18,0,1,3,0,1,15,0,8,0,0,1,0,5
10,864,11,0,71,1,0,1,1,17,1,140,0,0,0,1,0,2,32,160,5,0,0,20,2,0,0,1,7,5,82,27,0,8,0,0,2,0,0,15,0,4,1,0,1,0,1
20,1753,9,0,73,1,0,0,0,0,0,141,1,0,0,1,1,1,37,173,3,4,0,13,0,0,0,0,12,5,76,32,0,22,0,1,4,1,0,31,0,1,0,1,4,2,0
30,2643,9,0,84,0,0,3,0,17,1,128,0,1,0,2,0,1,22,170,3,0,0,10,2,0,1,0,5,5,49,33,0,23,0,1,3,0,2,18,0,6,1,0,3,1,2
40,3532,7,0,73,0,0,2,3,14,1,138,0,0,0,0,0,0,22,111,5,1,0,15,1,0,0,0,4,4,75,37,0,16,0,1,4,0,0,12,0,6,1,0,1,3,4
50,4422,11,1,79,0,0,2,1,19,0,126,1,0,0,0,0,0,17,151,3,1,0,11,1,0,0,0,6,2,58,45,0,17,0,0,2,0,0,24,0,4,5,0,3,0,1
60,5311,8,0,74,1,0,0,1,19,0,115,0,0,0,0,0,0,22,134,6,0,0,12,1,0,0,0,9,1,63,52,0,9,0,1,1,0,0,4,0,5,7,0,3,2,4
70,6201,9,0,66,1,0,5,2,15,0,136,2,0,0,0,0,0,7,64,7,0,0,8,2,0,0,0,3,0,39,50,0,7,1,0,4,0,1,15,0,6,4,0,0,0,0
80,7091,10,0,72,0,0,2,0,4,1,137,0,0,0,0,0,1,15,21,0,0,0,7,0,1,0,0,8,1,47,90,0,10,1,1,1,0,2,0,0,3,0,0,3,0,1
90,7980,9,0,90,0,1,0,0,7,0,94,0,0,0,0,0,1,18,15,3,0,1,2,0,0,0,0,4,0,35,82,0,12,0,2,0,0,0,0,0,4,1,0,0,2,2
100,NA,3,0,56,1,1,0,2,2,0,161,0,0,0,0,0,2,22,21,2,0,0,10,0,0,0,0,10,2,40,51,0,4,0,2,1,0,6,0,0,1,0,0,0,1,3
103,NA,0,0,8,0,2,0,0,2,0,93,0,0,0,0,0,0,26,42,0,0,0,2,0,0,0,0,23,9,48,181,0,13,1,2,0,0,0,0,0,9,0,0,0,1,1
