"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Indeterminable","Isoëtes","Larix","Lycopodium.annotinum","Myrica","Picea","Pinus","Poaceae","Populus","Quercus","Rosaceae","Salix","Sarcobatus.vermiculatus","Sphagnum","Tsuga","Ulmus","Unknown"
1,NA,0,0,67,0,2,0,0,90,0,0,17,1,0,5,0,0,1,4,3,10,0,156,9,2,0,1,0,0,0,8,0,0,3
10,502,0,0,45,0,0,2,0,108,0,2,27,3,0,4,0,0,1,7,6,11,0,158,8,3,0,0,0,0,0,3,0,0,1
20,734,0,0,61,0,0,2,0,74,1,0,17,3,0,3,0,0,1,3,14,2,0,172,6,4,0,0,0,0,0,7,0,0,2
30,965,0,0,52,0,0,1,2,89,0,0,26,0,0,3,0,0,1,4,5,5,0,162,8,16,0,1,0,2,0,5,0,0,2
40,1197,0,0,53,0,0,0,0,79,0,0,4,0,0,1,0,0,0,0,3,5,0,172,4,2,0,1,0,1,0,4,0,0,1
50,1429,1,0,53,0,0,0,0,50,0,0,8,1,1,1,1,0,1,1,2,5,0,198,12,1,0,0,0,2,1,4,0,0,1
60,1661,0,0,76,0,0,1,1,79,0,0,6,1,0,2,0,0,2,0,4,4,0,152,3,4,0,0,0,0,0,4,0,0,0
70,1893,0,0,88,0,0,0,1,95,0,2,8,0,0,0,0,0,1,4,1,5,0,153,7,0,0,0,0,0,0,4,0,0,0
80,2125,0,0,78,0,1,1,0,72,0,0,5,3,1,3,0,0,1,0,2,2,0,146,5,2,0,1,0,0,0,2,0,0,0
90,2357,0,0,96,2,0,0,1,106,0,0,4,0,1,1,0,0,2,3,4,3,0,130,3,1,0,1,0,0,0,2,0,0,0
100,2589,0,0,86,0,0,1,0,68,0,0,2,0,0,3,0,0,0,0,2,5,0,159,6,1,0,0,0,1,0,6,0,0,0
110,2789,0,0,92,0,0,1,2,77,0,0,5,1,1,2,0,0,0,0,3,5,0,153,2,9,0,0,0,0,0,2,0,0,0
115,2843,0,0,155,1,0,0,2,72,0,1,3,2,0,0,0,0,0,0,1,10,0,101,2,5,0,0,0,0,0,0,0,0,0
120,2896,0,0,156,0,0,1,0,51,0,0,1,0,1,0,0,0,1,0,0,8,0,128,2,3,0,0,0,2,0,0,0,1,0
125,2949,0,0,115,0,0,2,1,62,0,0,0,2,1,0,0,2,1,0,2,6,0,127,3,3,0,1,0,0,0,0,0,0,1
130,3002,0,0,131,0,0,0,0,46,0,0,2,1,0,1,0,0,2,1,1,3,0,142,5,0,0,0,0,0,0,0,0,0,0
140,3108,1,0,140,0,0,1,3,54,0,0,2,1,0,2,0,1,0,0,4,5,1,108,2,6,0,0,0,0,0,1,0,1,0
150,3215,0,0,104,0,0,1,1,84,0,0,2,3,0,2,0,0,4,0,4,1,0,108,5,2,0,0,0,3,0,1,0,0,2
160,3321,0,1,127,0,0,2,0,105,0,0,4,0,1,3,0,0,1,0,13,4,1,96,4,3,0,0,0,1,0,0,0,0,0
170,3427,1,0,125,0,1,0,1,131,0,0,7,0,0,1,0,0,2,0,18,12,0,89,4,8,0,1,0,1,0,3,0,0,1
180,3533,0,0,109,0,0,1,0,151,0,0,6,2,0,2,0,0,1,0,23,12,0,79,0,1,0,0,0,2,0,4,0,0,0
190,3640,0,0,162,0,0,0,1,127,0,0,8,5,0,1,0,0,1,0,15,9,0,51,1,2,0,1,1,1,0,2,0,0,1
200,3746,2,0,131,0,0,2,0,148,0,0,2,1,0,0,0,0,2,0,6,7,0,40,2,2,0,0,0,1,0,0,0,0,0
210,3978,0,0,156,0,0,1,0,140,0,1,4,1,0,2,0,1,3,0,4,7,0,34,3,3,0,0,0,2,0,1,0,0,0
220,4587,0,0,159,0,0,0,0,131,0,0,5,2,1,1,0,0,1,0,1,13,0,21,1,6,0,0,0,0,0,2,0,0,0
230,5195,1,0,201,1,0,0,0,118,0,1,6,0,0,1,0,0,2,0,0,5,0,10,1,4,2,0,0,0,0,2,0,0,0
240,5804,0,0,203,0,0,0,1,120,0,0,5,1,1,1,0,0,3,0,0,7,0,13,4,5,2,0,0,1,0,0,0,0,1
250,NA,0,0,214,0,0,0,1,92,0,0,8,5,0,2,0,0,3,0,2,4,0,12,3,2,3,0,0,2,0,0,0,0,0
255,NA,0,0,241,1,0,0,1,99,0,0,3,3,0,1,0,0,4,0,0,6,3,5,4,2,0,0,0,3,1,3,0,0,0
260,NA,1,0,94,0,1,2,0,212,0,0,48,1,0,5,0,0,7,0,0,6,0,10,7,1,0,0,0,7,0,7,0,1,1
265,NA,2,0,140,3,1,3,0,97,0,0,191,2,2,3,1,0,15,0,0,9,1,15,15,16,5,0,0,49,0,8,1,0,6
270,NA,0,0,64,0,1,3,0,83,0,1,115,1,0,2,0,0,20,0,0,12,0,7,12,10,0,0,0,20,0,1,0,0,9
