"sample.depths","sample.ages","Abies","Alisma","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carpinus","Carya","Corylus","Cupressaceae","Cyperaceae","Ephedra","Equisetum","Ericaceae","Fraxinus","Huperzia.selago","Juglans","Larix","Lycopodiaceae.undiff.","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Picea","Pinus","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogeton","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Shepherdia.argentea","Shepherdia.canadensis","Sparganium","Symphoricarpos","Thalictrum","Typha.latifolia","Ulmus"
0,-18,0,0,104,16,8,62,6,0,226,0,0,16,2,34,0,6,0,2,0,0,2,0,0,0,0,2,0,162,166,0,40,0,0,10,0,6,0,0,0,0,28,0,0,0,0,2,2,0
5,197,0,0,316,38,22,116,18,2,720,0,0,28,0,56,2,4,2,4,0,0,10,4,0,0,0,0,0,520,590,0,58,0,0,4,0,52,0,0,0,0,52,0,0,0,0,4,8,6
10,411,0,0,328,34,24,126,30,0,698,2,0,18,2,80,0,16,6,8,0,0,10,0,0,0,0,0,0,568,584,2,68,0,0,12,0,48,2,6,0,0,68,0,0,0,0,2,0,2
20,769,0,0,320,26,34,140,26,0,714,0,0,26,2,72,0,14,4,2,0,0,16,2,0,2,0,0,0,486,514,2,108,0,2,14,0,32,0,4,0,0,50,2,0,0,0,0,0,16
25,842,0,0,274,30,16,128,6,0,616,6,0,34,2,52,0,4,4,12,0,0,6,2,0,0,0,2,0,414,408,0,38,0,8,14,2,50,0,2,0,0,24,0,2,0,0,4,2,0
30,914,0,0,174,14,16,62,4,0,388,2,0,16,2,54,0,4,0,0,0,0,4,0,0,0,0,0,0,236,256,0,78,0,0,6,0,24,0,8,0,0,32,0,0,0,0,6,0,0
35,987,0,0,332,8,12,158,24,0,734,2,0,26,0,58,0,8,4,4,0,0,6,6,0,2,2,2,0,426,456,0,64,0,2,6,0,76,0,6,0,0,54,0,0,0,0,6,0,10
40,1059,0,0,242,16,10,100,14,0,606,2,0,28,0,60,0,6,0,2,2,0,8,0,0,0,2,0,0,352,316,0,64,0,2,8,0,58,2,4,0,0,44,0,0,2,0,0,0,6
45,1146,0,0,282,20,16,86,20,0,562,0,0,20,0,46,0,2,2,4,0,2,10,2,0,0,0,0,0,314,330,4,46,0,0,6,0,34,0,0,0,0,42,0,0,2,0,6,0,10
50,1248,0,0,194,16,10,110,12,0,582,2,0,26,0,42,0,2,2,4,0,0,6,0,0,2,0,0,0,314,292,0,52,0,0,6,0,52,0,6,0,0,50,0,0,0,0,4,6,2
55,1350,0,0,172,12,6,40,6,0,328,2,0,16,0,34,0,0,2,4,0,0,0,0,0,0,0,0,0,106,154,0,28,0,0,4,0,22,0,0,0,0,40,0,0,0,0,2,4,2
60,1452,2,2,62,4,10,68,10,0,294,0,0,8,0,22,0,4,2,2,0,0,4,0,0,2,0,0,0,102,96,2,44,0,0,4,0,36,0,2,2,0,28,0,0,0,0,0,0,2
65,1554,0,0,168,20,18,108,8,0,390,0,0,20,2,64,0,10,0,0,0,0,2,0,0,0,0,0,0,218,250,0,68,0,0,2,0,34,2,4,0,0,42,0,0,0,0,2,0,4
70,1656,0,0,220,14,16,106,8,0,614,0,0,38,2,94,0,6,0,8,0,0,4,2,0,0,0,0,0,264,234,0,114,0,0,12,0,60,0,2,0,0,58,0,0,0,0,2,6,2
75,1792,0,0,190,12,4,100,12,0,448,0,0,26,0,68,0,0,2,8,0,0,6,4,0,0,2,0,0,206,212,2,82,0,0,12,0,52,2,2,0,0,48,0,0,0,2,8,0,4
80,1962,0,0,194,30,14,106,14,0,624,0,0,36,0,96,0,10,0,2,0,0,0,0,0,0,0,0,0,242,286,0,98,0,0,8,2,42,0,0,2,0,42,0,0,0,0,4,4,6
85,2131,0,0,90,18,12,94,12,0,458,0,0,24,0,46,0,8,0,2,0,0,2,0,0,0,0,2,0,140,104,2,88,0,0,16,0,38,0,4,0,0,44,0,0,0,0,2,2,4
90,2301,0,0,178,40,20,174,18,0,844,0,0,46,4,70,0,30,0,0,0,0,8,2,2,0,2,2,0,358,292,2,106,0,2,6,0,70,4,6,0,0,52,0,0,0,0,16,6,10
95,2471,0,0,10,8,10,36,6,0,52,0,0,4,2,10,0,2,0,2,0,0,0,0,0,0,8,0,0,4,24,0,24,0,0,2,0,10,0,0,0,0,8,0,0,0,0,2,2,2
105,2810,0,0,22,14,28,82,2,16,174,0,0,36,0,12,0,12,0,18,0,2,0,0,0,0,0,0,0,4,56,0,46,0,0,0,0,48,2,4,0,0,24,0,0,0,0,0,2,8
115,3150,0,0,16,10,16,66,8,0,88,0,0,26,4,12,0,6,0,2,0,0,0,0,0,0,0,0,0,10,40,0,44,0,0,0,0,6,0,4,0,0,14,0,0,0,0,0,2,4
125,3489,0,0,30,20,16,114,20,2,112,2,0,40,4,16,0,8,0,4,0,0,0,0,0,0,0,2,0,10,56,0,48,0,2,0,0,0,0,4,0,0,34,0,0,0,0,0,0,0
135,3828,0,0,34,36,28,136,10,0,44,0,0,24,2,34,0,18,0,0,0,0,0,0,0,0,4,0,0,12,60,2,50,0,0,0,0,4,2,10,0,0,36,2,2,0,0,2,6,2
145,4168,0,0,30,62,20,86,10,0,30,2,0,32,2,16,0,6,0,8,0,0,0,0,0,0,0,0,0,12,54,0,46,0,0,0,0,6,2,8,0,0,20,0,0,0,0,0,12,2
155,4507,0,0,20,32,30,132,8,0,22,4,0,56,10,22,0,14,0,0,0,0,0,0,0,0,4,0,0,10,50,0,56,0,0,0,0,2,0,4,0,2,10,0,0,0,0,2,2,8
165,4847,0,0,22,52,20,152,28,0,28,0,0,10,2,10,0,6,0,0,0,0,0,0,0,0,60,0,0,0,50,0,50,0,0,0,0,6,0,4,0,2,14,0,0,0,0,2,2,6
175,5186,0,0,30,58,24,136,8,0,56,2,2,32,2,16,0,24,0,8,0,0,0,0,0,0,2,0,0,8,38,0,68,0,0,0,0,10,0,6,0,0,24,2,0,0,0,0,4,2
185,5526,0,0,36,28,28,118,16,0,22,0,0,16,0,32,0,16,0,2,0,0,0,0,0,0,74,0,0,8,70,0,58,2,0,0,0,2,0,2,0,0,12,0,0,0,0,0,10,0
195,5857,0,0,26,32,24,88,12,0,34,2,0,14,2,42,0,18,0,2,0,0,0,0,0,0,4,0,0,6,68,0,56,0,0,0,2,2,2,4,0,0,12,0,0,0,0,0,4,8
205,6166,0,0,42,50,48,108,14,0,20,0,0,28,4,24,0,18,0,2,0,0,0,0,0,0,72,0,0,10,46,0,64,0,0,0,0,2,2,10,0,0,24,0,0,0,2,2,8,0
215,6474,0,0,24,32,24,110,6,0,10,0,0,54,0,42,0,16,0,0,0,0,0,0,0,0,14,0,0,8,40,0,44,0,0,0,0,2,2,6,0,0,12,0,0,0,0,0,4,2
225,6782,0,0,26,48,48,162,20,2,16,0,0,42,0,26,0,16,0,2,0,0,0,0,0,0,8,0,0,10,46,0,94,0,0,0,0,0,2,8,0,0,20,0,0,0,0,2,4,6
235,7082,0,0,26,48,46,136,8,4,26,0,0,36,0,42,0,32,0,0,0,0,0,4,0,0,6,0,0,6,50,2,86,0,0,0,2,2,4,10,0,0,40,0,2,0,0,4,12,4
245,7357,0,0,24,78,74,192,20,0,24,0,0,16,4,72,0,34,0,0,0,0,0,0,0,0,74,2,0,20,76,0,98,0,2,0,4,0,8,6,0,6,34,0,0,0,0,0,4,4
255,7631,0,0,24,38,30,134,22,0,14,0,0,16,0,46,0,6,0,2,0,0,0,0,0,0,12,0,0,4,36,0,56,0,0,0,0,2,0,10,0,0,26,0,0,0,0,0,42,2
