"sample.depths","sample.ages","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Ostrya.Carpinus","Carya","Celtis","Cephalanthus","Cerealia","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Brassicaceae","Cyperaceae","Ephedra","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Humulus","Juglans.cinerea","Juglans.nigra","Fabaceae","Liquidambar","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.amphibium","Polygonum.lapathifolium","Populus","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Juniperus.Thuja","Tilia","Tsuga","Ulmus"
1.5,2,0.00209643605870021,0,0,0.274633123689727,0.0146750524109015,0.00209643605870021,0.00209643605870021,0.00628930817610063,0,0,0,0.0146750524109015,0,0.00628930817610063,0,0,0.0733752620545073,0,0,0.00419287211740042,0,0.253668763102725,0.00628930817610063,0,0,0.00209643605870021,0,0,0.00209643605870021,0.00419287211740042,0,0.00838574423480084,0.00209643605870021,0.00209643605870021,0,0,0.00838574423480084,0.249475890985325,0.010482180293501,0.00209643605870021,0.00209643605870021,0.00209643605870021,0.00419287211740042,0,0.039832285115304
10,209,0,0.00226244343891403,0.00904977375565611,0.418552036199095,0.00678733031674208,0.00452488687782805,0,0.00226244343891403,0.00226244343891403,0,0.00678733031674208,0.0158371040723982,0,0.00678733031674208,0.00226244343891403,0,0.190045248868778,0,0,0.0113122171945701,0,0.085972850678733,0,0,0.00452488687782805,0,0,0.00226244343891403,0,0,0.00226244343891403,0.0113122171945701,0,0.00226244343891403,0,0,0.00226244343891403,0.171945701357466,0.00678733031674208,0.0203619909502262,0,0.00226244343891403,0,0,0.00904977375565611
20,452,0,0.00298507462686567,0.00298507462686567,0.0716417910447761,0.00597014925373134,0.0104477611940299,0.00597014925373134,0.00746268656716418,0.00149253731343284,0,0.00149253731343284,0.00298507462686567,0,0.0134328358208955,0,0,0.113432835820896,0,0.00298507462686567,0.00746268656716418,0.00447761194029851,0.41044776119403,0,0,0.00298507462686567,0,0.00149253731343284,0.00149253731343284,0,0.0164179104477612,0.0208955223880597,0.0388059701492537,0,0.0104477611940299,0,0,0,0.202985074626866,0,0.0194029850746269,0,0,0,0.00447761194029851,0.0149253731343284
25,573,0,0.00562851782363977,0.00187617260787992,0.0075046904315197,0.00187617260787992,0.00187617260787992,0,0.00938086303939963,0,0,0,0.00187617260787992,0,0.0075046904315197,0,0.00187617260787992,0.362101313320826,0,0,0.0075046904315197,0.00375234521575985,0.0431519699812383,0,0,0.00375234521575985,0,0.00187617260787992,0,0,0.0300187617260788,0.0450281425891182,0.232645403377111,0,0.00562851782363977,0.00187617260787992,0.00187617260787992,0,0.204502814258912,0,0.0075046904315197,0,0,0,0.00938086303939963,0
30,694,0,0.00265957446808511,0,0.0292553191489362,0.00531914893617021,0,0,0,0,0,0,0.00797872340425532,0,0.00531914893617021,0,0,0.204787234042553,0,0,0,0,0.0186170212765957,0,0,0,0,0,0,0.00265957446808511,0.0425531914893617,0.0106382978723404,0.593085106382979,0,0.00797872340425532,0,0,0,0.0611702127659574,0,0.00265957446808511,0,0,0,0.00531914893617021,0
35,816,0.00429184549356223,0.00858369098712446,0,0.0257510729613734,0,0,0,0,0,0.00429184549356223,0,0.0128755364806867,0.00858369098712446,0.00858369098712446,0,0,0.553648068669528,0,0,0.00429184549356223,0,0.0214592274678112,0,0,0,0,0,0,0,0,0.0171673819742489,0.244635193133047,0,0.00858369098712446,0,0,0,0.0643776824034335,0,0.00429184549356223,0,0,0,0.00429184549356223,0.00429184549356223
40,937,0,0.00289855072463768,0,0.0173913043478261,0.00289855072463768,0.00579710144927536,0.00289855072463768,0.00289855072463768,0,0,0,0.00579710144927536,0,0,0.00289855072463768,0,0.0898550724637681,0,0.00289855072463768,0.00869565217391304,0.00579710144927536,0.0463768115942029,0,0,0.00289855072463768,0,0.00289855072463768,0,0,0.00289855072463768,0.0376811594202899,0.376811594202899,0,0.0260869565217391,0,0,0,0.342028985507246,0,0.00289855072463768,0,0,0,0.00579710144927536,0.00289855072463768
50,1180,0.00578034682080925,0.00289017341040462,0,0.00289017341040462,0.00289017341040462,0.00578034682080925,0,0.00289017341040462,0,0,0,0.00289017341040462,0,0,0,0,0.0491329479768786,0,0,0.0202312138728324,0.0115606936416185,0.0664739884393064,0,0,0.00289017341040462,0,0,0.00289017341040462,0,0.0289017341040462,0.0549132947976879,0.38150289017341,0,0.0346820809248555,0,0,0,0.300578034682081,0,0.0173410404624277,0,0,0,0.00289017341040462,0
60,1423,0,0.00579710144927536,0.00289855072463768,0.0144927536231884,0.0144927536231884,0.00289855072463768,0.00579710144927536,0.00289855072463768,0,0,0,0,0,0.0144927536231884,0,0,0.0376811594202899,0,0.00869565217391304,0.0202898550724638,0,0.0289855072463768,0,0.00289855072463768,0.00289855072463768,0,0.00289855072463768,0,0,0.0144927536231884,0.0405797101449275,0.260869565217391,0,0.0115942028985507,0,0,0,0.48695652173913,0,0.0115942028985507,0,0,0,0.00289855072463768,0.00289855072463768
70,1666,0,0.00815217391304348,0,0.016304347826087,0.00815217391304348,0.00271739130434783,0.00815217391304348,0.0380434782608696,0,0.00815217391304348,0,0.0135869565217391,0,0.00815217391304348,0,0,0.0815217391304348,0,0.0244565217391304,0.00271739130434783,0.00271739130434783,0.0298913043478261,0,0.00271739130434783,0,0,0.00271739130434783,0,0.00271739130434783,0.111413043478261,0.0271739130434783,0.279891304347826,0,0.0108695652173913,0,0,0,0.279891304347826,0,0.00271739130434783,0.00271739130434783,0,0,0.0108695652173913,0.0135869565217391
