"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.undiff.","Adiantum","Alnus.incana","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.virginianum","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cyperaceae","Diphasiastrum.complanatum","Drosera","Ephedra","Equisetum","Ericales","Eriocaulon","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.undiff.","Huperzia.lucidula","Ilex.Nemopanthus","Impatiens","Indeterminable","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Lemna","Liquidambar","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda.cinnamomea","Osmunda.regalis","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum.viviparum","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
905,0,8,21,0,0,28,1,2,7,0,1,2,509,0,0,0,1,0,0,0,0,1,10,0,0,0,0,0,0,27,7,4,2,0,0,0,0,0,0,15,7,0,0,0,1,0,0,0,0,0,5,0,3,0,19,27,93,148,6,4,0,4,0,0,37,0,0,1,0,0,0,0,0,0,0,0,1,29,0,4,1
912,126,11,16,0,0,15,1,1,0,0,0,1,545,0,0,0,1,0,0,0,0,2,6,0,0,0,0,1,0,8,0,2,3,1,0,0,0,0,0,27,9,0,0,0,0,1,0,0,0,0,0,0,0,0,8,24,126,163,2,2,0,2,0,0,40,0,0,0,0,1,0,0,0,2,1,0,1,41,0,9,0
920,271,33,20,3,0,24,0,1,0,0,0,1,346,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,5,3,1,0,1,0,0,0,0,0,52,15,0,0,0,1,0,1,0,1,0,1,0,0,0,20,23,108,281,2,5,0,1,0,0,26,0,0,0,0,0,0,0,0,1,0,0,1,37,0,14,0
928,418,3,13,2,0,35,0,1,1,0,5,1,531,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,12,8,14,2,0,0,0,0,1,0,10,7,0,0,0,1,1,3,0,0,0,5,0,0,0,26,13,93,132,1,8,0,4,0,0,36,0,0,0,0,2,0,0,0,2,1,0,3,21,0,16,0
936,566,12,17,3,0,33,1,5,4,0,2,1,308,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,1,7,2,6,1,1,0,0,0,1,0,31,7,0,0,0,0,0,22,0,1,0,7,0,0,0,10,28,79,255,0,6,0,2,0,2,35,0,0,0,0,10,0,0,0,0,1,0,0,41,0,13,0
944,717,7,36,1,0,16,1,0,1,0,3,0,381,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,25,4,6,1,1,0,0,0,2,1,62,6,0,0,0,0,1,0,0,0,0,0,0,0,0,9,12,71,136,3,4,0,3,0,1,17,0,0,0,0,0,0,0,0,2,4,0,1,100,0,2,0
952,869,14,21,1,0,27,1,0,1,0,5,0,406,1,1,0,2,0,0,0,0,0,7,0,0,0,1,2,0,16,12,4,4,1,1,1,0,1,0,17,5,0,0,0,0,1,0,0,5,0,2,0,0,0,14,17,66,190,4,6,0,2,0,1,37,1,0,0,0,0,0,0,0,0,1,0,1,109,0,18,1
960,1022,8,33,2,0,10,1,1,1,0,1,2,397,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0,1,20,9,8,0,4,0,0,0,1,0,40,6,0,0,0,0,0,0,0,2,0,2,0,0,0,10,5,120,190,1,3,0,1,0,1,27,0,1,0,0,2,0,0,0,4,0,0,1,108,0,24,1
968,1177,5,50,2,0,18,0,0,2,0,2,1,366,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1,23,5,1,0,2,1,0,0,0,0,51,6,0,0,0,1,1,2,0,1,0,4,0,0,0,7,12,77,209,2,3,0,3,0,4,29,0,0,0,0,1,0,0,0,0,1,0,0,215,0,9,1
976,1334,7,20,2,0,15,0,0,1,0,4,1,396,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,1,14,8,7,6,0,0,1,0,0,0,25,5,0,2,0,0,0,2,0,2,0,0,0,1,0,14,19,115,162,1,2,0,2,0,2,34,0,1,0,0,0,0,0,1,2,4,0,0,158,0,14,0
