"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Salix","Rosaceae.undiff.","Juniperus.type","Poaceae","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rubus.chamaemorus","Vaccinium.uliginosum.type","Picea.undiff.","Ericaceae.undiff.","Ambrosia.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Juniperus.communis.Thuja.occidentalis.type","Brassicaceae","Vaccinium.oxycoccos","Dryas","Ulmus","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","cf..Oxyria.digyna","Thalictrum","Pyrola","Amaranthaceae","Acer.spicatum"
0,0,640,6,38,1,162,2,235,1,1,85,15,3,3,5,1,2,1,3,2,4,2,1,7,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,258,720,3,32,7,84,0,384,0,1,114,19,0,1,0,0,0,0,0,0,2,0,0,3,61,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,773,504,1,47,5,70,0,212,0,1,107,9,1,0,0,0,2,0,0,2,5,1,0,0,39,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,1289,384,8,81,0,50,0,90,0,1,92,8,1,4,0,0,3,0,0,0,4,1,0,0,36,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
35,1804,441,2,71,0,59,3,175,0,4,68,9,1,0,2,2,0,0,0,5,3,0,0,0,33,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
45,2320,436,1,61,0,65,0,178,0,2,66,3,0,2,5,2,2,0,2,0,2,0,0,0,36,3,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0
55,2836,523,4,107,3,121,0,166,0,1,87,0,0,1,3,0,2,0,0,7,1,0,0,0,13,3,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
65,3351,365,2,70,0,51,1,140,0,0,63,0,0,1,0,1,4,0,0,5,1,1,0,0,17,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
75,3867,542,1,119,1,73,1,216,0,1,85,2,0,0,1,1,5,0,0,13,5,0,0,0,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4307,470,1,142,0,93,0,112,0,0,75,0,0,4,1,0,4,0,0,14,0,0,0,0,15,3,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0
95,4656,661,0,215,0,144,0,140,0,1,112,1,0,2,3,0,7,0,0,2,1,0,0,0,23,5,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0
105,5005,643,4,210,1,178,0,151,0,3,50,2,0,2,1,0,5,0,0,6,3,0,0,1,13,6,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0
115,5354,468,4,142,1,144,0,130,0,3,19,0,0,3,1,1,6,0,0,0,3,1,0,0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
125,5703,519,6,101,3,237,1,134,0,0,12,1,0,2,1,1,1,0,0,4,4,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
