"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
80,792,0,0.007005254,0.024518389,0,0.014010508,0,0,0.073555166,0.007005254,0.04028021,0,0,0.007005254,0.001751313,0,0.001751313,0.003502627,0.001751313,0.045534151,0.003502627,0.00525394,0.001751313,0.00525394,0.003502627,0,0,0,0,0.03502627,0,0.019264448,0,0,0.010507881,0.003502627,0,0.133099825,0,0,0.416812609,0,0,0,0,0,0.042031524,0.010507881,0,0.001751313,0,0.001751313,0.014010508,0,0,0,0.024518389,0,0,0,0.001751313,0,0.001751313,0.024518389,0.001751313,0,0,0.001751313,0.007005254,0,0.001751313,0,0
88,885,0,0,0.009852217,0,0.004926108,0,0,0.05090312,0.004926108,0.031198686,0.001642036,0,0.004926108,0,0,0.001642036,0.003284072,0.001642036,0.018062397,0.008210181,0.004926108,0.006568144,0,0.001642036,0,0,0,0,0.036124795,0.001642036,0.006568144,0,0,0,0.014778325,0.008210181,0.121510673,0,0,0.479474548,0,0,0,0,0,0.057471264,0.004926108,0,0.001642036,0,0,0.011494253,0,0,0.001642036,0.075533662,0,0,0,0,0,0,0.022988506,0,0,0,0.001642036,0,0,0,0,0
96,985,0,0.004109589,0.010958904,0,0.008219178,0,0,0.052054795,0.006849315,0.016438356,0,0,0.006849315,0,0,0.001369863,0.002739726,0.002739726,0.020547945,0.001369863,0.012328767,0,0.005479452,0,0,0,0,0,0.032876712,0.004109589,0.009589041,0,0,0.005479452,0.021917808,0.005479452,0.150684932,0,0.001369863,0.454794521,0,0,0,0,0,0.039726027,0.006849315,0,0.002739726,0,0,0.023287671,0,0,0.001369863,0.056164384,0.001369863,0,0,0.001369863,0,0,0.026027397,0,0,0,0.002739726,0,0,0,0,0
104,1109,0,0.001644737,0.004934211,0,0.009868421,0,0,0.069078947,0.004934211,0.034539474,0.003289474,0,0.004934211,0,0,0,0,0.004934211,0.021381579,0.003289474,0.004934211,0.001644737,0.001644737,0.001644737,0,0,0,0,0.019736842,0.006578947,0.004934211,0,0,0,0.003289474,0,0.148026316,0,0,0.478618421,0,0,0,0,0,0.041118421,0.011513158,0,0.004934211,0,0,0.026315789,0,0,0,0.050986842,0.001644737,0,0,0,0,0,0.024671053,0.001644737,0,0,0,0.003289474,0,0,0,0
112,1271,0,0.001709402,0.015384615,0,0.008547009,0,0,0.068376068,0.01025641,0.034188034,0,0,0.003418803,0,0,0.001709402,0.001709402,0,0.041025641,0.001709402,0.001709402,0.001709402,0,0.001709402,0,0,0,0,0.034188034,0.001709402,0.003418803,0,0,0.003418803,0.001709402,0,0.157264957,0,0,0.435897436,0,0,0,0,0,0.04957265,0.013675214,0,0.003418803,0,0.001709402,0.023931624,0,0,0.001709402,0.032478632,0,0,0,0.001709402,0,0.003418803,0.029059829,0.005128205,0,0,0,0.003418803,0,0,0,0
120,1433,0,0.006734007,0.01010101,0,0.006734007,0,0,0.080808081,0.001683502,0.028619529,0.005050505,0,0.003367003,0,0,0.003367003,0.001683502,0.003367003,0.026936027,0.001683502,0.003367003,0.005050505,0.001683502,0,0,0,0,0,0.018518519,0.001683502,0,0,0,0,0.008417508,0.001683502,0.090909091,0.001683502,0,0.506734007,0,0,0,0,0,0.021885522,0.01010101,0,0.005050505,0,0.001683502,0.005050505,0,0,0.001683502,0.082491582,0.008417508,0,0,0.001683502,0,0,0.04040404,0.001683502,0,0,0,0,0,0,0,0
128,1595,0,0.003189793,0.004784689,0,0.004784689,0,0,0.054226475,0.025518341,0.011164274,0,0,0.006379585,0,0,0.003189793,0.001594896,0.003189793,0.022328549,0.011164274,0.001594896,0.007974482,0.004784689,0,0,0,0,0.001594896,0.04784689,0.004784689,0.01754386,0,0,0.001594896,0.003189793,0.004784689,0.057416268,0,0,0.492822967,0,0.001594896,0,0,0.003189793,0.046251994,0.003189793,0,0.003189793,0,0,0.035087719,0,0,0,0.070175439,0,0.001594896,0,0.004784689,0,0,0.03030303,0.001594896,0,0,0.001594896,0,0,0,0,0
136,1757,0,0,0.011958146,0,0.002989537,0,0,0.061285501,0.013452915,0.020926756,0,0,0.005979073,0.001494768,0,0.002989537,0.001494768,0,0.028400598,0.002989537,0.007473842,0.001494768,0.004484305,0,0,0,0,0,0.025411061,0.004484305,0.004484305,0,0,0.001494768,0.004484305,0.002989537,0.071748879,0.002989537,0,0.46038864,0,0,0,0,0,0.044843049,0.007473842,0,0.005979073,0,0,0.028400598,0,0,0,0.10612855,0,0,0,0.002989537,0.002989537,0,0.050822123,0,0,0,0,0,0,0.004484305,0,0
144,1919,0,0.001552795,0.010869565,0,0.00931677,0,0,0.077639752,0.01242236,0.01552795,0.001552795,0,0.00931677,0,0,0.001552795,0.004658385,0.001552795,0.034161491,0,0.00621118,0,0.00310559,0.001552795,0,0,0,0.001552795,0.043478261,0.004658385,0.00621118,0,0,0.001552795,0.00310559,0.00310559,0.072981366,0.001552795,0,0.439440994,0,0,0,0,0.001552795,0.035714286,0.00621118,0,0.001552795,0,0,0.01552795,0,0,0,0.099378882,0.001552795,0,0,0.001552795,0.00310559,0,0.057453416,0.00310559,0,0,0.00310559,0,0,0.001552795,0,0
152,NA,0,0,0.011164274,0,0.009569378,0,0,0.074960128,0.015948963,0.019138756,0.003189793,0,0,0,0,0,0.004784689,0,0.022328549,0,0.001594896,0.001594896,0.007974482,0.006379585,0.001594896,0,0,0,0.027113238,0.001594896,0.006379585,0.001594896,0,0.001594896,0.003189793,0.001594896,0.060606061,0.001594896,0,0.515151515,0,0,0,0,0.001594896,0.027113238,0,0,0.001594896,0,0.001594896,0.028708134,0,0,0.001594896,0.062200957,0.004784689,0,0,0.001594896,0,0,0.063795853,0.001594896,0,0,0,0,0,0.003189793,0,0
160,NA,0,0.003053435,0.01221374,0,0.007633588,0,0,0.067175573,0.010687023,0.027480916,0.001526718,0,0.00610687,0.001526718,0,0.003053435,0,0.003053435,0.027480916,0.001526718,0.004580153,0,0,0.001526718,0,0,0,0,0.027480916,0,0.001526718,0.004580153,0,0.001526718,0.001526718,0.004580153,0.094656489,0.003053435,0,0.453435115,0,0.001526718,0,0,0,0.041221374,0.004580153,0,0,0,0.004580153,0.030534351,0,0,0.003053435,0.082442748,0,0,0,0,0,0,0.059541985,0.001526718,0,0,0,0,0,0,0,0
168,NA,0,0,0.006319115,0,0.011058452,0,0,0.072669826,0.011058452,0.004739336,0,0,0.006319115,0,0,0,0.003159558,0,0.034755134,0.001579779,0.009478673,0.001579779,0,0.001579779,0,0,0,0,0.025276461,0.003159558,0.006319115,0.004739336,0,0,0,0.001579779,0.09478673,0.003159558,0,0.496050553,0.001579779,0,0,0,0,0.020537125,0.011058452,0,0,0,0.001579779,0.028436019,0,0,0,0.056872038,0,0,0,0.001579779,0,0,0.072669826,0.004739336,0,0,0,0,0,0.001579779,0,0
176,NA,0,0,0.004580153,0,0.016793893,0,0,0.067175573,0.016793893,0.01221374,0,0,0.007633588,0,0,0,0,0,0.009160305,0.004580153,0.001526718,0,0.004580153,0.004580153,0,0,0.001526718,0,0.019847328,0.007633588,0.004580153,0.003053435,0,0.001526718,0,0.003053435,0.091603053,0,0.001526718,0.532824427,0,0,0,0,0.001526718,0.018320611,0.003053435,0,0.001526718,0,0.004580153,0.022900763,0,0,0,0.045801527,0.001526718,0,0,0,0,0,0.082442748,0,0,0.001526718,0,0,0,0,0,0
